DIASEM,kWD,kVarD,kWR,kVarR,kV_l
Monday,198.42,67.96,1.93,1.87,13.282
Monday,205.4,57.72,0.0,0.6,13.149
Monday,195.63,68.41,7.24,1.0,13.03
Monday,198.91,58.28,4.06,0.78,13.121
Monday,181.64,57.48,5.73,0.56,13.435
Monday,184.52,61.43,1.63,0.29,13.15
Monday,184.73,59.23,5.2,1.04,13.112
Monday,192.26,56.38,5.38,0.0,13.403
Monday,190.53,55.47,5.33,1.07,13.269
Monday,159.74,48.36,2.97,1.01,13.207
Monday,160.59,45.64,1.2,0.61,13.109
Monday,170.97,50.83,2.73,0.39,12.967
Monday,137.83,40.03,0.0,0.17,13.024
Monday,148.85,47.21,0.45,2.12,13.128
Monday,147.39,45.47,3.14,0.19,13.167
Monday,156.35,51.12,1.51,1.93,13.253
Monday,144.82,43.8,2.75,1.36,13.283
Monday,128.48,36.32,2.84,0.78,13.233
Monday,122.47,37.54,5.9,0.31,13.233
Monday,118.18,40.23,4.95,1.63,13.049
Monday,131.49,39.51,2.93,2.04,12.877
Monday,105.28,32.89,4.81,0.44,13.122
Monday,101.2,34.45,1.83,0.82,13.057
Monday,102.88,32.15,2.49,1.63,13.102
Monday,92.67,32.52,4.37,1.2,13.159
Monday,86.82,30.69,1.14,2.2,13.013
Monday,72.21,22.01,2.58,0.66,13.033
Monday,79.24,26.85,1.02,1.33,13.185
Monday,70.17,21.07,3.18,0.25,13.217
Monday,83.02,24.17,5.45,2.26,13.102
Monday,73.56,23.17,1.87,0.56,13.275
Monday,62.61,20.55,3.34,0.0,13.167
Monday,66.5,23.6,1.65,0.92,13.047
Monday,52.6,15.34,1.28,0.92,13.206
Monday,64.52,21.74,1.15,2.15,13.482
Monday,50.72,16.13,5.18,0.8,13.099
Monday,54.75,15.91,6.54,0.99,13.375
Tuesday,32.95,11.79,3.72,1.36,13.407
Tuesday,48.8,16.38,1.93,1.95,13.425
Tuesday,25.99,7.55,4.06,0.96,13.077
Tuesday,21.46,7.56,2.5,1.62,13.502
Tuesday,39.38,11.35,4.2,1.31,13.217
Tuesday,32.95,9.47,3.44,0.82,13.162
Tuesday,44.51,13.64,3.42,1.05,13.165
Tuesday,67.23,23.87,3.91,1.02,13.29
Tuesday,35.52,10.04,2.13,0.45,13.208
Tuesday,39.06,13.81,2.39,1.73,13.173
Tuesday,49.56,16.3,0.42,0.17,13.393
Tuesday,54.64,15.59,2.34,1.7,13.092
Tuesday,49.89,16.24,0.87,1.57,13.044
Tuesday,52.26,16.55,2.78,0.94,13.319
Tuesday,64.91,21.1,1.56,0.54,13.306
Tuesday,66.27,22.46,3.15,0.86,13.364
Tuesday,53.35,17.83,3.68,1.28,13.039
Tuesday,67.35,24.23,0.87,1.45,13.362
Tuesday,72.67,21.26,1.78,1.17,13.272
Tuesday,65.44,22.58,1.59,1.6,13.464
Tuesday,83.97,26.27,4.12,0.67,13.013
Tuesday,76.85,26.33,5.56,1.14,13.233
Tuesday,101.24,35.57,4.28,0.06,13.158
Tuesday,98.05,35.24,2.48,1.46,12.962
Tuesday,102.19,30.79,5.2,1.09,13.093
Tuesday,100.3,31.72,0.73,0.75,13.369
Tuesday,110.75,39.36,5.25,1.7,13.13
Tuesday,96.29,34.25,2.02,1.41,13.092
Tuesday,111.03,34.4,0.0,0.0,13.33
Tuesday,132.47,47.06,6.98,1.02,13.348
Tuesday,111.56,34.86,5.37,0.13,13.348
Tuesday,148.7,46.09,1.45,1.64,13.082
Tuesday,126.62,43.12,3.25,2.49,13.191
Tuesday,158.62,50.39,2.68,0.69,13.355
Tuesday,146.89,46.4,3.15,1.04,13.102
Tuesday,169.33,52.64,0.78,0.85,13.088
Tuesday,167.49,52.7,1.98,1.21,13.324
Tuesday,154.64,45.03,3.7,1.39,13.434
Tuesday,188.92,53.82,3.33,1.77,13.027
Tuesday,195.45,66.52,4.8,0.41,12.81
Tuesday,183.68,59.73,3.12,1.94,12.982
Tuesday,185.48,61.9,6.52,0.44,13.048
Tuesday,190.44,65.55,1.93,1.17,13.179
Tuesday,185.25,55.28,3.39,1.7,13.292
Tuesday,210.47,62.87,0.13,1.43,13.178
Tuesday,195.9,59.21,1.12,0.44,13.095
Tuesday,203.68,61.98,4.99,0.58,13.223
Tuesday,198.03,67.5,1.59,0.72,13.056
Tuesday,201.69,62.51,3.8,0.97,13.193
Tuesday,196.31,60.04,2.91,1.69,13.104
Tuesday,224.44,74.27,1.43,0.22,13.602
Tuesday,210.28,62.02,2.48,1.28,13.323
Tuesday,222.65,64.24,2.23,1.37,13.075
Tuesday,212.64,71.4,2.27,1.33,13.05
Tuesday,204.87,69.76,4.13,1.28,13.134
Tuesday,208.15,63.22,3.98,1.91,12.953
Tuesday,204.7,67.73,2.13,1.29,13.09
Tuesday,209.4,59.2,1.64,1.51,13.089
Tuesday,203.64,63.61,3.42,1.34,13.333
Tuesday,202.42,66.04,2.85,2.08,13.136
Tuesday,188.59,56.63,4.54,0.0,13.081
Tuesday,191.98,59.1,6.98,1.77,12.999
Tuesday,215.13,70.73,4.26,0.84,13.024
Tuesday,187.13,61.23,2.95,0.83,13.19
Tuesday,179.47,52.47,2.74,0.42,13.168
Tuesday,190.4,64.07,1.71,0.0,13.37
Tuesday,197.66,56.61,1.64,0.77,13.106
Tuesday,162.91,58.25,1.49,0.59,13.359
Tuesday,171.58,50.82,2.41,1.3,13.239
Tuesday,162.32,48.74,2.36,0.12,13.199
Tuesday,145.39,43.04,4.12,1.86,12.899
Tuesday,166.81,59.94,2.4,1.16,13.006
Tuesday,153.52,46.51,2.7,0.85,13.311
Tuesday,149.19,49.0,1.17,0.57,13.41
Tuesday,135.0,48.5,5.47,0.53,13.231
Tuesday,142.33,50.67,3.76,0.32,13.314
Tuesday,126.22,35.77,5.68,0.67,13.139
Tuesday,124.87,40.17,4.2,1.0,13.144
Tuesday,109.06,35.78,5.23,0.89,13.101
Tuesday,102.38,34.42,2.63,0.15,13.346
Tuesday,124.02,38.06,4.08,0.84,13.251
Tuesday,99.04,30.33,7.06,0.46,13.165
Tuesday,102.23,28.66,1.16,1.1,13.151
Tuesday,93.59,26.47,4.76,2.12,13.283
Tuesday,84.23,27.29,5.55,1.38,13.248
Tuesday,78.65,22.5,3.63,0.81,13.075
Tuesday,86.05,25.49,4.15,0.03,13.457
Tuesday,71.67,21.98,4.92,0.15,13.239
Tuesday,69.02,19.71,1.99,0.0,13.202
Tuesday,66.85,18.88,3.63,1.44,13.422
Tuesday,75.37,26.69,1.67,0.54,13.354
Tuesday,66.63,20.98,1.96,1.04,13.187
Tuesday,60.28,17.87,2.05,0.63,13.28
Tuesday,47.35,15.94,2.78,1.05,13.04
Tuesday,36.1,10.14,3.22,1.84,13.104
Tuesday,58.64,17.57,3.69,0.59,12.861
Wednesday,56.93,20.32,0.82,0.8,13.383
Wednesday,43.62,15.35,6.04,0.52,12.915
Wednesday,49.68,16.44,4.78,1.52,13.302
Wednesday,51.39,14.77,4.12,0.38,13.075
Wednesday,51.45,15.72,2.45,0.32,13.053
Wednesday,52.3,14.76,2.86,0.17,13.171
Wednesday,37.92,11.28,3.84,0.15,13.24
Wednesday,59.48,16.78,3.63,1.28,13.292
Wednesday,31.11,9.02,0.42,2.54,13.466
Wednesday,54.85,18.14,4.14,0.4,13.254
Wednesday,52.62,15.16,7.48,1.57,13.332
Wednesday,58.69,17.16,0.16,1.15,13.11
Wednesday,71.73,25.27,4.53,0.34,13.307
Wednesday,70.22,21.55,3.57,0.83,13.223
Wednesday,45.28,13.88,2.83,0.86,13.131
Wednesday,42.81,12.28,5.11,0.59,13.186
Wednesday,73.01,25.09,1.18,2.16,13.191
Wednesday,57.4,19.18,3.25,0.0,13.229
Wednesday,72.17,23.37,5.25,1.23,13.26
Wednesday,85.57,28.19,2.7,1.2,13.124
Wednesday,63.74,18.36,2.36,0.65,13.089
Wednesday,63.55,19.12,3.18,1.09,13.312
Wednesday,93.66,30.6,2.31,1.53,12.946
Wednesday,96.48,34.36,5.38,1.09,13.107
Wednesday,98.62,34.06,1.6,1.25,13.433
Wednesday,106.99,35.44,4.35,1.42,12.794
Wednesday,102.87,33.07,1.07,0.0,13.096
Wednesday,101.43,28.52,4.03,1.89,13.303
Wednesday,121.28,42.6,2.84,2.37,12.952
Wednesday,118.29,33.75,0.0,1.59,13.59
Wednesday,116.71,33.88,2.99,1.61,12.812
Wednesday,145.07,48.66,1.35,0.16,13.415
Wednesday,144.52,49.86,2.31,0.93,13.434
Wednesday,154.9,53.12,5.37,0.51,13.337
Wednesday,145.37,45.96,1.28,0.65,13.167
Wednesday,154.07,45.32,1.37,1.58,13.254
Wednesday,155.48,43.97,5.22,0.52,13.065
Wednesday,161.54,56.23,3.18,0.92,13.321
Wednesday,177.73,63.67,5.38,0.0,13.032
Wednesday,171.81,51.46,3.5,0.9,13.159
Wednesday,188.16,65.72,1.64,1.05,13.349
Wednesday,192.0,59.94,2.9,0.58,13.033
Wednesday,213.66,65.15,4.9,0.57,13.145
Wednesday,180.81,57.93,4.45,2.13,13.225
Wednesday,208.23,58.44,3.0,0.27,12.999
Wednesday,200.72,63.31,3.08,0.37,13.375
Wednesday,204.08,60.4,2.83,0.51,13.251
Wednesday,191.05,64.38,2.11,1.72,12.973
Wednesday,203.46,65.15,5.98,2.26,13.193
Wednesday,217.79,76.12,3.01,1.2,13.084
Wednesday,210.21,73.94,1.26,0.57,13.101
Wednesday,212.78,64.97,2.26,0.74,13.212
Wednesday,209.3,63.3,4.12,1.64,13.094
Wednesday,224.77,79.82,3.99,0.45,13.345
Wednesday,212.02,67.91,2.79,1.87,13.094
Wednesday,188.25,54.16,1.97,1.85,13.347
Wednesday,203.29,57.67,3.04,1.04,13.193
Wednesday,188.4,67.68,0.42,1.39,13.328
Wednesday,173.08,56.48,0.99,1.45,13.119
Wednesday,199.97,56.86,4.23,1.93,13.124
Wednesday,217.41,69.77,2.26,0.37,13.027
Wednesday,201.06,64.41,3.58,1.71,13.287
Wednesday,185.1,58.28,4.88,0.77,13.341
Wednesday,184.26,65.62,4.0,0.54,13.518
Wednesday,202.69,72.14,3.03,1.06,13.394
Wednesday,188.49,54.66,6.28,0.87,13.237
Wednesday,183.22,53.53,4.03,0.41,13.168
Wednesday,177.79,55.58,2.45,0.04,13.258
Wednesday,174.21,60.4,4.13,0.43,13.196
Wednesday,177.6,58.59,3.63,1.87,13.42
Wednesday,169.97,57.52,1.68,2.18,13.342
Wednesday,161.29,52.59,3.11,1.39,13.074
Wednesday,142.69,42.35,2.75,1.71,13.097
Wednesday,153.86,53.15,0.0,0.69,13.405
Wednesday,135.72,38.15,2.73,0.95,13.246
Wednesday,149.12,50.09,2.56,1.17,13.165
Wednesday,118.45,35.01,2.32,0.35,13.378
Wednesday,124.93,39.69,0.46,0.41,13.142
Wednesday,120.76,43.23,2.45,1.06,13.158
Wednesday,101.23,32.71,2.94,0.81,13.131
Wednesday,128.13,36.46,3.16,0.36,12.906
Wednesday,119.95,37.7,1.25,1.23,13.33
Wednesday,94.2,31.35,3.98,0.84,13.019
Wednesday,102.15,29.07,1.13,1.61,13.115
Wednesday,92.94,27.9,2.65,1.0,13.088
Wednesday,56.27,15.84,5.01,0.82,13.309
Wednesday,82.02,26.51,1.93,1.08,13.19
Wednesday,74.23,23.05,2.21,0.9,13.202
Wednesday,71.51,22.9,4.66,0.6,12.948
Wednesday,55.17,16.75,2.41,0.76,13.187
Wednesday,60.01,19.96,2.54,1.45,12.979
Wednesday,57.5,16.9,3.34,1.39,13.246
Wednesday,68.84,24.27,4.62,1.77,13.255
Wednesday,56.89,20.3,0.0,0.0,13.197
Wednesday,50.72,16.2,1.72,0.76,13.506
Wednesday,64.8,20.56,1.45,0.75,13.279
Thursday,40.76,14.22,1.33,1.1,13.289
Thursday,40.98,12.42,1.68,0.73,13.221
Thursday,24.62,8.48,1.71,0.69,13.171
Thursday,59.76,18.11,3.46,1.47,13.345
Thursday,52.86,17.85,1.63,1.11,13.365
Thursday,52.25,16.03,3.19,0.3,13.005
Thursday,49.87,16.37,3.62,1.8,13.358
Thursday,44.55,15.77,1.88,1.6,13.277
Thursday,46.65,13.26,3.2,0.66,13.344
Thursday,43.01,14.82,5.52,1.5,13.27
Thursday,45.21,14.62,3.5,0.56,13.013
Thursday,49.98,15.51,2.02,1.68,13.024
Thursday,67.83,20.89,2.9,0.87,13.474
Thursday,60.36,17.24,1.59,0.52,13.238
Thursday,56.83,17.09,3.42,0.78,12.987
Thursday,54.59,18.01,4.32,0.54,13.252
Thursday,57.59,16.57,1.74,1.12,13.146
Thursday,85.22,28.43,2.68,1.11,12.923
Thursday,77.68,27.73,4.71,1.02,12.856
Thursday,77.36,27.73,2.24,0.67,12.96
Thursday,77.53,27.22,3.29,0.0,13.241
Thursday,74.19,25.56,1.43,1.06,13.193
Thursday,90.2,26.54,1.74,0.0,13.163
Thursday,105.29,37.65,2.21,1.15,13.243
Thursday,97.07,28.75,6.26,1.68,13.29
Thursday,104.17,36.41,2.39,1.16,12.885
Thursday,109.66,38.41,2.21,0.77,13.155
Thursday,118.68,39.14,2.16,0.89,13.076
Thursday,106.13,34.14,2.75,0.92,13.015
Thursday,126.11,37.33,3.98,0.67,13.118
Thursday,125.09,40.22,3.28,0.65,13.182
Thursday,149.1,45.21,6.09,0.45,13.16
Thursday,136.99,39.74,3.32,1.71,12.982
Thursday,156.71,45.49,5.17,0.99,13.128
Thursday,172.08,59.21,3.42,1.57,13.502
Thursday,157.73,55.8,3.91,0.85,13.042
Thursday,159.7,46.53,0.83,1.04,12.947
Thursday,173.0,48.62,2.81,0.9,13.241
Thursday,175.63,52.88,2.9,1.28,13.289
Thursday,169.57,49.3,2.64,1.5,13.27
Thursday,189.28,55.85,0.0,1.14,13.032
Thursday,209.81,68.54,4.32,0.6,13.35
Thursday,189.4,59.43,2.42,0.53,13.082
Thursday,193.46,60.81,2.34,2.0,13.03
Thursday,187.69,55.64,2.62,0.83,13.109
Thursday,205.06,68.32,2.66,0.83,13.184
Thursday,190.98,57.9,3.61,1.88,13.307
Thursday,194.69,60.73,1.09,1.65,13.294
Thursday,221.94,70.37,1.6,1.32,13.197
Thursday,200.27,70.57,3.44,0.76,13.34
Thursday,222.57,66.71,3.22,2.41,13.212
Thursday,228.11,76.99,2.44,1.24,13.334
Thursday,215.14,65.56,2.14,1.33,12.989
Thursday,218.38,76.77,1.75,0.9,12.964
Thursday,232.99,72.58,2.91,0.15,13.316
Thursday,209.54,67.14,4.77,0.2,12.991
Thursday,204.35,71.56,1.41,1.24,13.155
Thursday,194.94,65.08,5.28,1.24,13.185
Thursday,208.07,59.83,4.27,0.86,13.127
Thursday,221.32,64.39,2.32,0.3,13.132
Thursday,213.44,76.68,4.17,0.14,13.409
Thursday,190.54,53.79,0.8,0.8,12.821
Thursday,188.47,57.31,0.4,0.13,13.333
Thursday,188.9,67.38,1.07,1.54,13.544
Thursday,193.78,54.49,2.39,1.69,13.204
Thursday,184.64,54.08,2.51,2.7,13.197
Thursday,184.99,54.95,2.23,1.53,13.309
Thursday,181.52,52.08,3.15,0.64,13.474
Thursday,170.62,54.22,0.0,0.48,13.022
Thursday,168.61,55.2,3.74,0.0,13.213
Thursday,166.29,50.8,0.87,0.64,13.172
Thursday,158.11,45.65,2.01,0.89,13.284
Thursday,159.12,54.88,2.38,1.58,13.224
Thursday,168.31,57.96,1.27,1.37,13.299
Thursday,149.28,48.51,0.94,1.35,13.137
Thursday,138.09,40.19,1.49,1.13,13.207
Thursday,114.04,36.88,2.98,1.4,13.099
Thursday,130.51,43.12,3.88,1.87,13.1
Thursday,100.15,31.47,3.85,0.36,13.179
Thursday,100.33,35.03,1.51,0.73,13.179
Thursday,118.91,37.01,1.81,0.17,13.024
Thursday,111.93,35.92,1.62,1.97,13.436
Thursday,97.54,28.2,3.67,1.78,13.18
Thursday,75.78,24.63,0.0,1.45,12.992
Thursday,84.97,29.0,4.86,0.28,13.365
Thursday,76.83,26.01,2.27,1.1,13.088
Thursday,86.12,25.88,1.82,0.86,13.276
Thursday,98.87,35.53,3.51,1.05,13.197
Thursday,72.93,24.62,4.55,0.89,13.238
Thursday,58.34,18.31,3.51,1.31,13.226
Thursday,50.43,15.79,4.58,0.76,13.114
Thursday,58.8,20.13,3.2,1.51,13.206
Thursday,54.34,15.98,4.84,1.14,13.505
Thursday,41.1,13.61,4.87,0.82,12.864
Thursday,52.02,17.56,2.85,0.93,13.21
Thursday,36.32,11.67,5.16,0.74,13.265
Friday,58.48,20.46,3.25,1.49,13.042
Friday,56.41,17.91,3.13,0.84,12.994
Friday,55.45,17.59,1.62,1.18,13.524
Friday,38.05,11.52,2.57,0.76,13.144
Friday,48.08,17.0,4.17,0.11,13.512
Friday,41.11,12.55,1.03,1.54,13.28
Friday,38.63,12.97,3.97,0.37,13.211
Friday,39.78,12.44,3.52,1.41,13.271
Friday,30.55,10.84,3.42,1.25,13.295
Friday,30.35,10.8,0.0,0.01,13.377
Friday,55.82,15.76,2.85,0.43,13.265
Friday,47.37,17.03,3.97,0.69,13.222
Friday,54.07,17.76,1.86,0.51,13.226
Friday,65.1,18.61,3.14,0.29,13.403
Friday,39.04,12.48,0.0,1.44,13.323
Friday,52.42,14.89,4.01,0.86,13.05
Friday,66.2,21.44,2.01,1.23,13.105
Friday,72.36,21.33,4.31,0.74,13.25
Friday,68.29,21.13,0.24,1.18,13.107
Friday,87.58,26.66,4.04,0.55,13.144
Friday,83.44,27.38,2.64,0.98,13.057
Friday,73.08,25.27,4.21,1.35,13.161
Friday,81.02,28.76,1.61,1.03,13.264
Friday,104.56,32.03,2.07,0.73,13.349
Friday,106.16,34.56,6.36,0.35,13.201
Friday,86.4,24.23,1.76,1.1,13.511
Friday,126.33,39.13,1.94,1.21,13.189
Friday,123.87,44.2,2.59,0.84,13.679
Friday,137.33,39.76,1.47,0.54,13.35
Friday,124.54,43.54,4.79,1.33,13.275
Friday,131.03,43.53,5.59,2.49,13.125
Friday,127.73,38.77,1.94,0.82,12.776
Friday,172.13,58.91,0.41,1.2,13.177
Friday,148.71,45.08,4.76,1.23,13.227
Friday,172.75,60.74,4.66,0.0,13.488
Friday,154.18,44.19,4.23,1.07,12.993
Friday,167.83,48.59,4.73,0.58,13.486
Friday,153.21,52.09,1.7,1.83,13.162
Friday,171.58,54.21,2.75,0.85,13.309
Friday,190.58,55.61,0.92,0.53,12.819
Friday,171.08,54.93,0.87,0.87,13.221
Friday,199.78,60.68,4.47,1.1,13.148
Friday,195.72,63.4,1.99,0.66,13.302
Friday,184.52,62.64,6.42,0.97,13.214
Friday,193.46,67.43,3.11,0.19,13.029
Friday,196.79,56.03,2.04,0.86,13.342
Friday,203.7,66.69,4.2,1.47,13.304
Friday,200.76,72.01,5.7,2.18,13.29
Friday,199.56,63.22,3.73,1.42,13.351
Friday,206.65,70.58,1.17,1.16,13.365
Friday,200.17,57.61,3.56,1.71,13.197
Friday,198.21,69.35,5.06,1.61,12.996
Friday,211.88,69.19,2.26,2.0,12.992
Friday,221.88,77.89,1.84,1.65,13.402
Friday,195.99,67.22,4.52,0.93,13.307
Friday,211.66,73.98,3.21,1.16,13.215
Friday,203.74,57.98,1.35,1.11,13.135
Friday,198.93,67.09,2.43,1.18,13.205
Friday,216.7,64.09,1.87,1.12,13.204
Friday,200.1,60.28,3.44,0.53,13.149
Friday,219.16,67.06,3.16,0.0,13.095
Friday,192.27,62.93,4.73,0.6,13.525
Friday,201.66,66.59,4.06,0.0,13.234
Friday,191.84,68.01,0.65,1.04,13.109
Friday,182.66,51.33,3.61,1.0,13.005
Friday,193.06,57.04,4.35,0.0,13.091
Friday,181.06,55.94,3.68,1.41,13.308
Friday,184.77,63.83,4.55,1.52,13.314
Friday,173.3,56.15,2.18,1.06,13.167
Friday,157.5,50.55,1.57,2.0,13.208
Friday,163.01,55.56,4.4,2.12,13.154
Friday,159.55,53.04,1.4,0.28,13.034
Friday,163.95,49.71,0.0,1.62,13.395
Friday,138.8,39.83,4.54,1.26,13.256
Friday,142.58,45.2,1.91,1.25,13.571
Friday,119.2,41.77,2.54,1.56,13.087
Friday,138.87,45.53,0.9,0.57,13.179
Friday,114.9,32.66,1.01,0.64,13.332
Friday,101.64,32.04,1.27,0.5,13.163
Friday,114.68,35.64,2.46,0.55,12.992
Friday,121.58,39.71,3.55,0.94,13.058
Friday,88.23,28.85,0.0,0.13,13.215
Friday,87.57,31.18,4.13,0.37,13.252
Friday,86.05,26.42,1.23,1.35,13.186
Friday,76.91,24.05,1.4,0.96,13.351
Friday,88.07,28.98,4.02,1.23,13.349
Friday,70.78,24.84,2.89,0.0,13.248
Friday,67.21,22.62,0.7,0.53,13.204
Friday,76.82,24.4,5.77,0.67,13.162
Friday,58.59,20.22,1.71,1.02,13.283
Friday,67.47,21.51,3.37,0.65,13.338
Friday,49.07,17.52,3.3,1.56,13.209
Friday,43.34,13.11,5.12,0.97,13.267
Friday,33.84,9.82,2.32,1.01,13.151
Friday,70.56,24.44,4.51,1.01,12.988
Friday,45.15,13.72,1.89,1.42,13.05
Saturday,49.25,17.13,4.68,0.72,13.315
Saturday,44.79,14.72,1.86,1.67,13.267
Saturday,45.62,14.63,2.46,1.28,13.439
Saturday,43.62,12.52,5.84,1.09,13.208
Saturday,62.89,21.57,3.48,1.03,13.33
Saturday,31.47,8.98,3.16,1.31,13.398
Saturday,26.21,9.36,6.36,1.61,13.349
Saturday,32.63,11.43,3.54,1.57,13.109
Saturday,30.18,9.18,1.78,1.23,13.172
Saturday,53.63,15.56,4.1,1.53,13.219
Saturday,56.09,19.68,1.23,1.07,13.052
Saturday,39.19,12.48,4.69,1.75,13.271
Saturday,36.99,10.73,4.81,0.98,13.354
Saturday,50.68,16.21,2.14,0.0,13.128
Saturday,72.23,21.65,2.06,1.8,13.496
Saturday,30.79,9.63,3.26,1.06,13.156
Saturday,69.93,23.16,3.02,0.3,13.17
Saturday,56.76,20.05,1.53,0.88,13.164
Saturday,83.35,28.68,3.85,0.47,13.094
Saturday,65.19,19.09,0.0,2.26,13.263
Saturday,78.18,24.88,2.35,1.3,13.203
Saturday,69.96,22.34,2.39,0.06,13.449
Saturday,80.53,28.92,2.59,1.33,13.291
Saturday,110.73,31.77,3.46,0.76,13.281
Saturday,109.96,35.28,1.16,2.15,13.167
Saturday,102.31,36.13,3.88,0.37,12.988
Saturday,102.77,32.05,2.73,0.0,13.187
Saturday,97.39,29.31,2.02,1.04,13.072
Saturday,118.87,38.57,0.95,0.79,13.343
Saturday,128.29,39.21,1.23,0.75,13.195
Saturday,133.28,47.2,3.54,0.0,13.45
Saturday,138.7,39.78,1.55,1.26,13.31
Saturday,133.26,39.52,3.1,2.0,13.325
Saturday,149.87,42.97,4.59,0.0,13.235
Saturday,155.47,52.39,4.55,1.7,13.231
Saturday,174.77,53.03,5.34,0.66,13.298
Saturday,185.93,65.45,2.56,2.41,13.338
Saturday,169.51,59.58,1.37,1.26,13.093
Saturday,167.51,59.45,4.53,0.89,13.274
Saturday,179.44,53.92,3.46,1.66,13.593
Saturday,177.92,49.83,4.69,1.32,13.187
Saturday,180.5,56.14,3.02,0.64,13.162
Saturday,191.52,68.37,4.79,1.43,13.096
Saturday,184.53,62.94,4.27,0.69,12.983
Saturday,205.23,58.44,4.07,0.0,13.378
Saturday,200.56,67.43,3.76,2.22,13.209
Saturday,206.88,73.1,3.6,0.79,13.245
Saturday,204.51,73.1,3.35,0.63,13.477
Saturday,200.62,67.66,3.34,1.2,13.576
Saturday,199.82,69.75,4.49,0.06,13.067
Saturday,208.56,72.44,2.23,0.19,13.358
Saturday,206.09,63.61,5.6,0.7,13.294
Saturday,214.87,61.87,2.84,0.69,13.26
Saturday,212.45,71.85,4.48,1.04,13.272
Saturday,197.77,57.54,2.86,1.67,13.197
Saturday,212.34,65.98,2.63,0.72,13.439
Saturday,196.38,70.63,6.05,1.3,13.292
Saturday,202.76,65.85,2.54,1.36,13.252
Saturday,204.5,65.8,1.08,0.35,13.387
Saturday,183.55,65.31,1.93,1.14,13.335
Saturday,204.21,61.82,2.52,0.43,13.269
Saturday,202.16,72.77,6.23,1.64,13.249
Saturday,195.88,69.14,3.31,1.27,13.464
Saturday,189.75,58.65,4.4,1.01,13.277
Saturday,186.7,57.16,1.5,0.2,13.187
Saturday,176.44,51.19,3.53,1.07,13.072
Saturday,179.84,63.53,4.01,0.54,13.149
Saturday,172.49,50.86,5.7,1.42,13.043
Saturday,174.77,49.06,1.96,0.93,13.217
Saturday,156.24,54.87,3.91,0.51,13.239
Saturday,166.6,54.62,3.45,1.56,12.893
Saturday,160.52,53.57,1.47,1.43,13.203
Saturday,152.27,51.57,2.97,0.64,13.298
Saturday,143.76,40.74,2.6,1.7,13.225
Saturday,148.86,42.77,0.0,0.82,13.057
Saturday,119.81,38.34,3.9,0.81,13.391
Saturday,136.84,38.87,3.81,1.07,13.096
