usuario_id,perfil_origen_sintetico,repositorio_codigo,documentacion_tecnica,entorno_ide_cloud,simulador_circuitos,plataforma_cursos_online,wiki_colaborativa,foro_preguntas_programacion,monitoreo_infraestructura,simulador_redes,gestion_tickets_ti,suite_ofimatica_cloud,editor_disenio_3d,software_matematico,plataforma_lms,control_versiones_movil,panel_analitica
u_synth_052,perfil_mixto,5,0,3,7,1,4,2,0,7,3,1,12,7,4,8,1
u_synth_006,perfil_redes,3,1,5,4,1,34,2,23,22,26,4,2,9,15,4,6
u_synth_065,perfil_mixto,9,11,9,6,5,15,17,8,5,4,16,7,7,21,10,4
u_synth_080,perfil_mixto,10,5,3,41,7,18,11,2,6,18,0,38,3,6,4,0
u_synth_033,perfil_mixto,6,2,1,5,13,3,3,1,4,3,3,18,1,13,5,6
u_synth_053,perfil_mixto,11,0,6,11,19,5,22,6,5,1,14,13,8,18,2,7
u_synth_027,perfil_desarrollo,27,26,18,2,19,6,13,6,12,8,5,9,3,10,5,1
u_synth_028,perfil_desarrollo,15,11,10,0,10,3,4,0,2,7,2,0,0,3,13,2
u_synth_046,perfil_mixto,1,2,4,7,4,5,4,2,2,1,2,0,4,13,1,0
u_synth_062,perfil_mixto,6,1,5,9,4,9,12,1,9,20,7,5,19,14,13,27
u_synth_063,perfil_mixto,2,2,2,7,11,2,2,5,11,3,8,1,1,4,4,2
u_synth_022,perfil_desarrollo,24,9,19,4,5,3,37,14,3,2,17,3,7,9,22,0
u_synth_037,perfil_mixto,5,6,22,15,9,25,7,2,19,4,10,5,4,5,4,4
u_synth_034,perfil_mixto,1,20,10,20,26,2,24,0,0,3,10,15,8,14,12,14
u_synth_041,perfil_mixto,2,6,4,13,9,6,6,3,4,1,8,0,2,2,3,7
u_synth_055,perfil_mixto,2,3,7,5,4,4,3,1,10,4,1,4,2,2,1,6
u_synth_078,perfil_mixto,1,1,0,12,3,2,0,0,13,0,0,2,0,4,1,4
u_synth_087,perfil_mixto,0,1,10,3,10,10,3,3,7,2,13,20,2,2,21,9
u_synth_050,perfil_mixto,1,1,5,4,10,4,3,1,3,7,0,13,2,12,3,3
u_synth_011,perfil_redes,2,7,1,4,2,1,0,1,8,5,10,0,1,1,1,9
u_synth_051,perfil_mixto,16,4,16,3,23,6,18,0,0,4,4,5,13,5,9,2
u_synth_075,perfil_mixto,3,10,1,1,8,5,14,2,11,8,10,4,3,2,1,0
u_synth_029,perfil_desarrollo,4,3,14,0,8,3,4,0,0,2,2,1,0,8,2,0
u_synth_030,perfil_desarrollo,8,2,1,1,0,1,16,4,0,0,3,6,0,2,1,3
u_synth_032,perfil_mixto,13,4,1,8,19,12,6,2,5,8,3,7,2,18,1,2
u_synth_017,perfil_redes,0,15,1,1,1,1,21,35,23,26,20,4,1,7,1,12
u_synth_077,perfil_mixto,7,2,8,1,3,50,8,0,26,3,7,11,4,14,4,3
u_synth_002,perfil_redes,8,5,0,1,1,5,0,23,31,14,13,10,0,8,2,26
u_synth_070,perfil_mixto,4,7,12,9,1,2,8,7,10,3,8,10,1,6,7,1
u_synth_079,perfil_mixto,3,3,6,2,6,16,5,2,8,0,3,3,3,0,2,4
u_synth_004,perfil_redes,1,3,3,0,0,8,8,3,11,2,0,1,0,3,2,7
u_synth_036,perfil_mixto,15,4,3,6,3,1,10,3,2,9,1,1,5,11,3,1
u_synth_082,perfil_mixto,11,0,4,13,8,19,5,5,6,10,8,5,1,7,4,1
u_synth_086,perfil_mixto,4,16,6,6,9,9,17,8,19,7,2,29,7,6,11,3
u_synth_047,perfil_mixto,3,12,22,13,23,0,7,5,16,7,17,6,5,8,19,10
u_synth_005,perfil_redes,0,8,13,0,2,2,3,16,37,21,12,1,5,6,0,13
u_synth_039,perfil_mixto,2,3,10,1,4,2,14,7,0,0,3,1,2,2,2,0
u_synth_083,perfil_mixto,3,8,13,11,12,1,4,15,13,3,9,18,5,8,7,11
u_synth_010,perfil_redes,0,0,0,0,25,13,11,44,12,15,12,2,2,4,8,6
u_synth_066,perfil_mixto,14,0,2,4,4,4,0,9,5,4,5,4,2,1,2,0
u_synth_035,perfil_mixto,8,10,7,5,6,5,3,9,8,7,4,8,37,6,1,24
u_synth_081,perfil_mixto,2,4,4,16,11,3,4,1,0,3,3,11,5,28,1,0
u_synth_060,perfil_mixto,0,9,5,2,1,0,2,4,5,11,5,6,3,3,1,1
u_synth_076,perfil_mixto,3,0,2,3,6,0,2,1,6,9,5,10,2,1,0,3
u_synth_054,perfil_mixto,12,6,14,8,14,3,23,0,5,3,20,2,14,1,4,0
u_synth_072,perfil_mixto,7,3,10,8,10,11,1,3,10,1,1,12,0,8,1,8
u_synth_025,perfil_desarrollo,23,15,32,2,14,41,11,1,3,0,2,2,3,7,1,0
u_synth_057,perfil_mixto,4,4,20,5,18,12,7,28,3,1,16,14,3,2,3,5
u_synth_064,perfil_mixto,6,1,7,10,6,2,5,0,1,0,0,2,2,1,4,4
u_synth_074,perfil_mixto,6,3,3,2,3,11,4,0,7,10,6,6,4,1,9,4
u_synth_061,perfil_mixto,0,16,22,7,6,2,9,6,4,7,9,10,2,12,5,6
u_synth_020,perfil_redes,2,0,12,2,3,11,1,35,44,14,6,0,18,3,0,6
u_synth_007,perfil_redes,3,1,10,1,6,4,11,4,27,5,24,4,3,9,3,4
u_synth_056,perfil_mixto,18,1,24,13,4,1,21,1,6,12,9,8,20,18,6,10
u_synth_001,perfil_redes,0,2,0,1,1,4,7,4,8,7,0,6,1,2,1,3
u_synth_045,perfil_mixto,1,6,3,4,7,10,14,2,1,0,9,10,5,10,2,5
u_synth_008,perfil_redes,16,4,5,2,6,10,11,19,27,17,2,1,1,2,2,23
u_synth_049,perfil_mixto,6,14,16,14,1,13,32,2,12,15,7,22,3,17,0,1
u_synth_089,perfil_mixto,2,0,12,6,4,1,2,4,2,2,7,9,4,12,2,0
u_synth_040,perfil_mixto,4,0,3,5,2,1,6,1,8,3,0,2,1,0,0,0
u_synth_009,perfil_redes,3,0,8,0,10,14,9,18,22,16,3,0,11,1,9,15
u_synth_043,perfil_mixto,4,1,9,4,13,8,2,1,2,7,1,2,2,10,0,1
u_synth_073,perfil_mixto,0,1,2,7,6,11,1,10,8,1,1,7,2,3,5,3
u_synth_085,perfil_mixto,7,0,10,19,3,4,7,8,7,7,2,12,6,3,0,16
u_synth_015,perfil_redes,36,12,7,3,4,11,15,16,5,9,23,0,0,3,1,14
u_synth_058,perfil_mixto,9,3,5,19,6,20,10,2,6,1,18,3,20,6,7,0
u_synth_024,perfil_desarrollo,38,13,18,5,0,4,27,1,7,3,4,18,0,4,3,4
u_synth_084,perfil_mixto,14,0,4,17,15,6,15,8,4,10,6,3,8,8,10,7
u_synth_068,perfil_mixto,3,6,7,17,4,1,16,5,2,1,6,1,3,0,2,7
u_synth_026,perfil_desarrollo,17,1,6,1,0,0,10,1,0,1,1,0,0,0,4,2
u_synth_069,perfil_mixto,9,7,11,10,6,11,10,14,2,14,8,12,10,7,2,7
u_synth_048,perfil_mixto,4,0,1,3,13,17,5,7,6,8,8,17,3,14,13,21
