almacen,producto,periodo,ventas
Almacen A,Producto 3,2025-03,247
Almacen A,Producto 3,2025-04,232
Almacen A,Producto 3,2025-05,239
Almacen A,Producto 3,2025-06,205
Almacen A,Producto 3,2025-07,203
Almacen A,Producto 3,2025-08,181
Almacen A,Producto 3,2025-09,200
Almacen A,Producto 3,2025-10,224
Almacen A,Producto 3,2025-11,197
Almacen A,Producto 4,2023-06,59
Almacen A,Producto 4,2023-07,65
Almacen A,Producto 4,2023-08,53
Almacen A,Producto 4,2023-09,63
Almacen A,Producto 4,2023-10,55
Almacen A,Producto 4,2023-11,71
Almacen A,Producto 4,2023-12,77
Almacen A,Producto 4,2024-01,74
Almacen A,Producto 4,2024-02,82
Almacen A,Producto 4,2024-03,82
Almacen A,Producto 4,2024-04,80
Almacen A,Producto 4,2024-05,84
Almacen A,Producto 4,2024-06,63
Almacen A,Producto 4,2024-07,55
Almacen A,Producto 4,2024-08,45
Almacen A,Producto 4,2024-09,62
Almacen A,Producto 4,2024-10,48
Almacen A,Producto 4,2024-11,56
Almacen A,Producto 4,2024-12,57
Almacen A,Producto 4,2025-01,75
Almacen A,Producto 4,2025-02,72
Almacen A,Producto 4,2025-03,75
Almacen A,Producto 4,2025-04,60
Almacen A,Producto 4,2025-05,57
Almacen A,Producto 4,2025-06,64
Almacen A,Producto 4,2025-07,60
Almacen A,Producto 4,2025-08,32
Almacen A,Producto 4,2025-09,45
Almacen A,Producto 4,2025-10,47
Almacen A,Producto 4,2025-11,78
Almacen B,Producto 1,2023-06,290
Almacen B,Producto 1,2023-07,242
Almacen B,Producto 1,2023-08,292
Almacen B,Producto 1,2023-09,309
Almacen B,Producto 1,2023-10,232
Almacen B,Producto 1,2023-11,269
Almacen B,Producto 1,2023-12,254
Almacen B,Producto 1,2024-01,248
Almacen B,Producto 1,2024-02,260
Almacen B,Producto 1,2024-03,269
Almacen B,Producto 1,2024-04,235
Almacen B,Producto 1,2024-05,267
Almacen B,Producto 1,2024-06,287
Almacen B,Producto 1,2024-07,226
Almacen B,Producto 1,2024-08,234
Almacen B,Producto 1,2024-09,220
Almacen B,Producto 1,2024-10,263
Almacen B,Producto 1,2024-11,254
Almacen B,Producto 1,2024-12,294
Almacen B,Producto 1,2025-01,263
Almacen B,Producto 1,2025-02,233
Almacen B,Producto 1,2025-03,299
Almacen B,Producto 1,2025-04,270
Almacen B,Producto 1,2025-05,310
Almacen B,Producto 1,2025-06,290
Almacen B,Producto 1,2025-07,179
Almacen B,Producto 1,2025-08,194
Almacen B,Producto 1,2025-09,254
Almacen B,Producto 1,2025-10,232
Almacen B,Producto 1,2025-11,192
Almacen B,Producto 2,2023-06,181
Almacen B,Producto 2,2023-07,200
Almacen B,Producto 2,2023-08,210
Almacen B,Producto 2,2023-09,179
Almacen B,Producto 2,2023-10,231
Almacen B,Producto 2,2023-11,180
Almacen B,Producto 2,2023-12,261
Almacen B,Producto 2,2024-01,260
Almacen B,Producto 2,2024-02,245
Almacen B,Producto 2,2024-03,242
Almacen B,Producto 2,2024-04,235
Almacen B,Producto 2,2024-05,205
Almacen B,Producto 2,2024-06,241
Almacen B,Producto 2,2024-07,238
Almacen B,Producto 2,2024-08,219
Almacen B,Producto 2,2024-09,204
Almacen B,Producto 2,2024-10,204
Almacen B,Producto 2,2024-11,189
Almacen B,Producto 2,2024-12,208
Almacen B,Producto 2,2025-01,201
Almacen B,Producto 2,2025-02,258
Almacen B,Producto 2,2025-03,228
Almacen B,Producto 2,2025-04,269
Almacen B,Producto 2,2025-05,225
Almacen B,Producto 2,2025-06,266
Almacen B,Producto 2,2025-07,259
Almacen B,Producto 2,2025-08,251
Almacen B,Producto 2,2025-09,239
Almacen B,Producto 2,2025-10,208
Almacen B,Producto 2,2025-11,218
Almacen B,Producto 3,2023-06,142
Almacen B,Producto 3,2023-07,193
Almacen B,Producto 3,2023-08,121
Almacen B,Producto 3,2023-09,104
Almacen B,Producto 3,2023-10,138
Almacen B,Producto 3,2023-11,166
Almacen B,Producto 3,2023-12,156
Almacen B,Producto 3,2024-01,161
Almacen B,Producto 3,2024-02,228
Almacen B,Producto 3,2024-03,177
Almacen B,Producto 3,2024-04,213
Almacen B,Producto 3,2024-05,183
Almacen B,Producto 3,2024-06,154
Almacen B,Producto 3,2024-07,144
Almacen B,Producto 3,2024-08,108
Almacen B,Producto 3,2024-09,103
Almacen B,Producto 3,2024-10,135
Almacen B,Producto 3,2024-11,122
Almacen B,Producto 3,2024-12,145
Almacen B,Producto 3,2025-01,207
Almacen B,Producto 3,2025-02,227
Almacen B,Producto 3,2025-03,218
Almacen B,Producto 3,2025-04,209
Almacen B,Producto 3,2025-05,173
Almacen B,Producto 3,2025-06,161
Almacen B,Producto 3,2025-07,127
Almacen B,Producto 3,2025-08,72
Almacen B,Producto 3,2025-09,126
Almacen B,Producto 3,2025-10,132
Almacen B,Producto 3,2025-11,160
Almacen B,Producto 4,2023-06,109
Almacen B,Producto 4,2023-07,109
Almacen B,Producto 4,2023-08,116
Almacen B,Producto 4,2023-09,98
Almacen B,Producto 4,2023-10,109
Almacen B,Producto 4,2023-11,100
Almacen B,Producto 4,2023-12,136
Almacen B,Producto 4,2024-01,159
Almacen B,Producto 4,2024-02,142
Almacen B,Producto 4,2024-03,166
Almacen B,Producto 4,2024-04,135
Almacen B,Producto 4,2024-05,149
Almacen B,Producto 4,2024-06,107
Almacen B,Producto 4,2024-07,121
Almacen B,Producto 4,2024-08,104
Almacen B,Producto 4,2024-09,83
Almacen B,Producto 4,2024-10,110
Almacen B,Producto 4,2024-11,101
Almacen B,Producto 4,2024-12,133
Almacen B,Producto 4,2025-01,133
Almacen B,Producto 4,2025-02,166
Almacen B,Producto 4,2025-03,154
Almacen B,Producto 4,2025-04,180
Almacen B,Producto 4,2025-05,155
Almacen B,Producto 4,2025-06,141
Almacen B,Producto 4,2025-07,97
Almacen B,Producto 4,2025-08,75
Almacen B,Producto 4,2025-09,91
Almacen B,Producto 4,2025-10,135
Almacen B,Producto 4,2025-11,104
Almacen C,Producto 1,2023-06,204
Almacen C,Producto 1,2023-07,166
Almacen C,Producto 1,2023-08,160
Almacen C,Producto 1,2023-09,156
Almacen C,Producto 1,2023-10,171
Almacen C,Producto 1,2023-11,171
Almacen C,Producto 1,2023-12,204
Almacen C,Producto 1,2024-01,188
Almacen C,Producto 1,2024-02,211
Almacen C,Producto 1,2024-03,186
Almacen C,Producto 1,2024-04,240
Almacen C,Producto 1,2024-05,182
Almacen C,Producto 1,2024-06,177
Almacen C,Producto 1,2024-07,159
Almacen C,Producto 1,2024-08,137
Almacen C,Producto 1,2024-09,153
Almacen C,Producto 1,2024-10,178
Almacen C,Producto 1,2024-11,156
Almacen C,Producto 1,2024-12,199
Almacen C,Producto 1,2025-01,152
Almacen C,Producto 1,2025-02,155
Almacen C,Producto 1,2025-03,198
Almacen C,Producto 1,2025-04,199
Almacen C,Producto 1,2025-05,164
Almacen C,Producto 1,2025-06,206
Almacen C,Producto 1,2025-07,208
Almacen C,Producto 1,2025-08,184
Almacen C,Producto 1,2025-09,148
Almacen C,Producto 1,2025-10,203
Almacen C,Producto 1,2025-11,174
Almacen C,Producto 2,2023-06,112
Almacen C,Producto 2,2023-07,80
Almacen C,Producto 2,2023-08,93
Almacen C,Producto 2,2023-09,88
Almacen C,Producto 2,2023-10,102
Almacen C,Producto 2,2023-11,94
Almacen C,Producto 2,2023-12,107
Almacen C,Producto 2,2024-01,102
Almacen C,Producto 2,2024-02,111
Almacen C,Producto 2,2024-03,109
Almacen C,Producto 2,2024-04,123
Almacen C,Producto 2,2024-05,101
Almacen C,Producto 2,2024-06,117
Almacen C,Producto 2,2024-07,91
Almacen C,Producto 2,2024-08,73
Almacen C,Producto 2,2024-09,77
Almacen C,Producto 2,2024-10,100
Almacen C,Producto 2,2024-11,88
Almacen C,Producto 2,2024-12,109
Almacen C,Producto 2,2025-01,94
Almacen C,Producto 2,2025-02,123
Almacen C,Producto 2,2025-03,130
Almacen C,Producto 2,2025-04,125
Almacen C,Producto 2,2025-05,122
Almacen C,Producto 2,2025-06,94
Almacen C,Producto 2,2025-07,78
Almacen C,Producto 2,2025-08,76
Almacen C,Producto 2,2025-09,99
Almacen C,Producto 2,2025-10,97
Almacen C,Producto 2,2025-11,108
Almacen C,Producto 3,2023-06,86
Almacen C,Producto 3,2023-07,67
Almacen C,Producto 3,2023-08,69
Almacen C,Producto 3,2023-09,79
Almacen C,Producto 3,2023-10,82
Almacen C,Producto 3,2023-11,75
Almacen C,Producto 3,2023-12,78
Almacen C,Producto 3,2024-01,100
Almacen C,Producto 3,2024-02,100
Almacen C,Producto 3,2024-03,85
Almacen C,Producto 3,2024-04,93
Almacen C,Producto 3,2024-05,84
Almacen C,Producto 3,2024-06,91
Almacen C,Producto 3,2024-07,81
Almacen C,Producto 3,2024-08,77
Almacen C,Producto 3,2024-09,73
Almacen C,Producto 3,2024-10,68
Almacen C,Producto 3,2024-11,87
Almacen C,Producto 3,2024-12,85
Almacen C,Producto 3,2025-01,64
Almacen C,Producto 3,2025-02,86
Almacen C,Producto 3,2025-03,93
Almacen C,Producto 3,2025-04,82
Almacen C,Producto 3,2025-05,77
Almacen C,Producto 3,2025-06,75
Almacen C,Producto 3,2025-07,79
Almacen C,Producto 3,2025-08,63
Almacen C,Producto 3,2025-09,75
Almacen C,Producto 3,2025-10,85
Almacen C,Producto 3,2025-11,85
Almacen C,Producto 4,2023-06,107
Almacen C,Producto 4,2023-07,109
Almacen C,Producto 4,2023-08,77
Almacen C,Producto 4,2023-09,104
Almacen C,Producto 4,2023-10,83
Almacen C,Producto 4,2023-11,97
Almacen C,Producto 4,2023-12,118
Almacen C,Producto 4,2024-01,113
Almacen C,Producto 4,2024-02,113
Almacen C,Producto 4,2024-03,119
Almacen C,Producto 4,2024-04,132
Almacen C,Producto 4,2024-05,126
Almacen C,Producto 4,2024-06,112
Almacen C,Producto 4,2024-07,87
Almacen C,Producto 4,2024-08,83
Almacen C,Producto 4,2024-09,94
Almacen C,Producto 4,2024-10,97
Almacen C,Producto 4,2024-11,85
Almacen C,Producto 4,2024-12,93
Almacen C,Producto 4,2025-01,119
Almacen C,Producto 4,2025-02,130
Almacen C,Producto 4,2025-03,119
Almacen C,Producto 4,2025-04,101
Almacen C,Producto 4,2025-05,129
Almacen C,Producto 4,2025-06,101
Almacen C,Producto 4,2025-07,98
Almacen C,Producto 4,2025-08,59
Almacen C,Producto 4,2025-09,74
Almacen C,Producto 4,2025-10,82
Almacen C,Producto 4,2025-11,95
Almacen D,Producto 1,2023-06,181
Almacen D,Producto 1,2023-07,161
Almacen D,Producto 1,2023-08,106
Almacen D,Producto 1,2023-09,122
Almacen D,Producto 1,2023-10,141
Almacen D,Producto 1,2023-11,179
Almacen D,Producto 1,2023-12,190
Almacen D,Producto 1,2024-01,205
Almacen D,Producto 1,2024-02,180
Almacen D,Producto 1,2024-03,243
Almacen D,Producto 1,2024-04,214
Almacen D,Producto 1,2024-05,206
Almacen D,Producto 1,2024-06,169
Almacen D,Producto 1,2024-07,159
Almacen D,Producto 1,2024-08,142
Almacen D,Producto 1,2024-09,136
Almacen D,Producto 1,2024-10,133
Almacen D,Producto 1,2024-11,180
Almacen D,Producto 1,2024-12,205
Almacen D,Producto 1,2025-01,196
Almacen D,Producto 1,2025-02,205
Almacen D,Producto 1,2025-03,212
Almacen D,Producto 1,2025-04,218
Almacen D,Producto 1,2025-05,239
Almacen D,Producto 1,2025-06,188
Almacen D,Producto 1,2025-07,209
Almacen D,Producto 1,2025-08,132
Almacen D,Producto 1,2025-09,131
Almacen D,Producto 1,2025-10,143
Almacen D,Producto 1,2025-11,157
Almacen D,Producto 2,2023-06,48
Almacen D,Producto 2,2023-07,49
Almacen D,Producto 2,2023-08,52
Almacen D,Producto 2,2023-09,39
Almacen D,Producto 2,2023-10,44
Almacen D,Producto 2,2023-11,48
Almacen D,Producto 2,2023-12,45
Almacen D,Producto 2,2024-01,51
Almacen D,Producto 2,2024-02,49
Almacen D,Producto 2,2024-03,47
Almacen D,Producto 2,2024-04,47
Almacen D,Producto 2,2024-05,53
Almacen D,Producto 2,2024-06,50
Almacen D,Producto 2,2024-07,40
Almacen D,Producto 2,2024-08,29
Almacen D,Producto 2,2024-09,41
Almacen D,Producto 2,2024-10,35
Almacen D,Producto 2,2024-11,46
Almacen D,Producto 2,2024-12,42
Almacen D,Producto 2,2025-01,39
Almacen D,Producto 2,2025-02,46
Almacen D,Producto 2,2025-03,44
Almacen D,Producto 2,2025-04,56
Almacen D,Producto 2,2025-05,31
Almacen D,Producto 2,2025-06,36
Almacen D,Producto 2,2025-07,34
Almacen D,Producto 2,2025-08,21
Almacen D,Producto 2,2025-09,33
Almacen D,Producto 2,2025-10,35
Almacen D,Producto 2,2025-11,39
Almacen D,Producto 3,2023-06,52
Almacen D,Producto 3,2023-07,49
Almacen D,Producto 3,2023-08,46
Almacen D,Producto 3,2023-09,45
Almacen D,Producto 3,2023-10,50
Almacen D,Producto 3,2023-11,49
Almacen D,Producto 3,2023-12,60
Almacen D,Producto 3,2024-01,65
Almacen D,Producto 3,2024-02,75
Almacen D,Producto 3,2024-03,79
Almacen D,Producto 3,2024-04,71
Almacen D,Producto 3,2024-05,82
Almacen D,Producto 3,2024-06,79
Almacen D,Producto 3,2024-07,65
Almacen D,Producto 3,2024-08,58
Almacen D,Producto 3,2024-09,52
Almacen D,Producto 3,2024-10,58
Almacen D,Producto 3,2024-11,64
Almacen D,Producto 3,2024-12,77
Almacen D,Producto 3,2025-01,81
Almacen D,Producto 3,2025-02,91
Almacen D,Producto 3,2025-03,93
Almacen D,Producto 3,2025-04,85
Almacen D,Producto 3,2025-05,76
Almacen D,Producto 3,2025-06,71
Almacen D,Producto 3,2025-07,66
Almacen D,Producto 3,2025-08,69
Almacen D,Producto 3,2025-09,76
Almacen D,Producto 3,2025-10,66
Almacen D,Producto 3,2025-11,82
Almacen D,Producto 4,2023-06,155
Almacen D,Producto 4,2023-07,130
Almacen D,Producto 4,2023-08,123
Almacen D,Producto 4,2023-09,133
Almacen D,Producto 4,2023-10,111
Almacen D,Producto 4,2023-11,113
Almacen D,Producto 4,2023-12,142
Almacen D,Producto 4,2024-01,179
Almacen D,Producto 4,2024-02,152
Almacen D,Producto 4,2024-03,185
Almacen D,Producto 4,2024-04,178
Almacen D,Producto 4,2024-05,150
Almacen D,Producto 4,2024-06,128
Almacen D,Producto 4,2024-07,101
Almacen D,Producto 4,2024-08,99
Almacen D,Producto 4,2024-09,117
Almacen D,Producto 4,2024-10,130
Almacen D,Producto 4,2024-11,118
Almacen D,Producto 4,2024-12,132
Almacen D,Producto 4,2025-01,142
Almacen D,Producto 4,2025-02,205
Almacen D,Producto 4,2025-03,146
Almacen D,Producto 4,2025-04,141
Almacen D,Producto 4,2025-05,173
Almacen D,Producto 4,2025-06,124
Almacen D,Producto 4,2025-07,145
Almacen D,Producto 4,2025-08,106
Almacen D,Producto 4,2025-09,132
Almacen D,Producto 4,2025-10,142
Almacen D,Producto 4,2025-11,122
