Fecha,Cliente,Elemento,Arbitro,PesoSeco,PesoTotal,An_Vendedor,An_Comprador,An_Arbitro,Diferencia_Vendedor_Comprador,Diferencia_Arbitro_Vendedor
2022-03-08,Cliente E,AG,Arbitro Andes,640507.53,85373.16,6.812,7.227,6.96,-0.415,0.148
2022-04-19,Cliente F,AG,Arbitro Andes,194595.77,60815.76,13.939,14.78,14.134,-0.841,0.195
2024-01-08,Cliente B,CU,Arbitro Austral,285192.64,25709.5,22.315,22.842,21.456,-0.527,-0.859
2022-12-27,Cliente E,AS,Arbitro Andes,388292.81,53864.96,0.173,0.18,0.181,-0.007,0.008
2022-11-13,Cliente A,CU,Arbitro Andes,132210.09,28559.05,22.217,23.211,21.981,-0.994,-0.236
2023-06-20,Cliente F,CU,Arbitro Cordillera,551359.35,18776.75,26.073,27.557,26.234,-1.484,0.161
2023-01-10,Cliente G,CU,Arbitro Cordillera,123907.88,27314.51,34.217,33.759,32.925,0.458,-1.292
2022-07-22,Cliente H,AU,Arbitro Andes,312640.5,88480.41,0.477,0.467,0.483,0.01,0.006
2022-12-27,Cliente B,AG,Arbitro Meridiano,590119.11,27989.84,23.029,25.186,25.288,-2.157,2.259
2023-09-08,Cliente C,CU,Arbitro Austral,613799.77,54735.93,33.392,32.131,32.878,1.261,-0.514
2022-05-22,Cliente D,CU,Arbitro Austral,294260.95,52892.74,24.721,25.626,26.797,-0.905,2.076
2022-11-07,Cliente A,AG,Arbitro Andes,468545.32,6210.36,9.282,9.102,9.199,0.18,-0.083
2024-03-04,Cliente C,AG,Arbitro Andes,451323.96,37394.66,21.741,20.493,21.198,1.248,-0.543
2023-08-02,Cliente C,CU,Arbitro Meridiano,145121.47,85492.5,32.837,35.261,33.471,-2.424,0.634
2022-11-11,Cliente C,CU,Arbitro Pacifico,534780.56,19592.26,31.342,29.331,28.839,2.011,-2.503
2022-12-16,Cliente G,AU,Arbitro Pacifico,506781.79,49378.68,1.819,1.81,1.907,0.009,0.088
2024-01-26,Cliente E,CU,Arbitro Meridiano,434083.44,86494.68,31.207,30.385,30.749,0.822,-0.458
2023-03-01,Cliente G,AG,Arbitro Andes,590506.34,87412.34,37.751,41.592,40.135,-3.841,2.384
2022-01-21,Cliente B,CU,Arbitro Cordillera,583595.46,27304.57,23.354,24.691,24.202,-1.337,0.848
2023-10-23,Cliente C,CU,Arbitro Cordillera,527944.47,82184.17,25.524,25.278,25.13,0.246,-0.394
2024-01-01,Cliente E,AU,Arbitro Andes,145387.21,41050.97,0.459,0.414,0.436,0.045,-0.023
2023-04-16,Cliente B,CU,Arbitro Pacifico,526365.39,7329.85,22.702,23.866,23.339,-1.164,0.637
2023-11-02,Cliente E,CU,Arbitro Andes,244258.26,83244.28,28.328,28.471,29.859,-0.143,1.531
2022-02-05,Cliente A,CU,Arbitro Meridiano,398544.73,70435.95,33.431,34.263,34.162,-0.832,0.731
2023-06-16,Cliente G,CU,Arbitro Pacifico,513831.38,14839.76,32.262,31.502,31.096,0.76,-1.166
2022-11-04,Cliente E,CU,Arbitro Meridiano,64101.07,76607.56,33.255,31.405,31.749,1.85,-1.506
2023-08-31,Cliente F,CU,Arbitro Pacifico,313228.67,79702.93,32.35,30.555,33.584,1.795,1.234
2022-03-21,Cliente B,AU,Arbitro Cordillera,390870.19,4265.52,1.38,1.372,1.437,0.008,0.057
2023-05-29,Cliente D,CU,Arbitro Pacifico,541742.17,30910.5,19.299,19.528,20.353,-0.229,1.054
2023-03-18,Cliente A,CU,Arbitro Pacifico,356065.04,24948.92,29.988,34.47,32.475,-4.482,2.487
2023-04-24,Cliente H,CU,Arbitro Cordillera,607740.45,87681.63,24.482,25.716,25.003,-1.234,0.521
2022-06-08,Cliente F,AU,Arbitro Cordillera,261430.08,54502.69,0.236,0.275,0.261,-0.039,0.025
2022-01-15,Cliente H,AU,Arbitro Austral,537976.35,16706.32,1.127,0.99,1.093,0.137,-0.034
2024-04-13,Cliente D,AS,Arbitro Cordillera,623972.36,63441.6,0.294,0.282,0.275,0.012,-0.019
2023-03-01,Cliente H,AS,Arbitro Andes,541806.16,87781.02,0.471,0.489,0.491,-0.018,0.02
2023-03-09,Cliente F,CU,Arbitro Meridiano,447529.84,79152.73,28.534,27.744,29.799,0.79,1.265
2022-03-12,Cliente A,AG,Arbitro Cordillera,309865.72,52717.1,18.701,19.031,19.833,-0.33,1.132
2022-09-15,Cliente B,AG,Arbitro Cordillera,503037.3,31622.96,38.437,35.426,37.227,3.011,-1.21
2022-04-19,Cliente D,AU,Arbitro Andes,519902.21,86092.86,1.049,1.078,1.021,-0.029,-0.028
2023-02-14,Cliente F,AG,Arbitro Andes,147522.63,39755.18,34.171,30.353,32.333,3.818,-1.838
2022-04-28,Cliente C,CU,Arbitro Andes,487628.33,27519.06,25.008,24.425,25.577,0.583,0.569
2023-11-01,Cliente B,CU,Arbitro Andes,422494.77,46256.33,32.701,30.585,32.536,2.116,-0.165
2023-09-21,Cliente F,AU,Arbitro Cordillera,153458.03,61795.97,0.574,0.572,0.516,0.002,-0.058
2024-01-23,Cliente A,CU,Arbitro Austral,341520.83,57007.1,36.362,32.183,33.596,4.179,-2.766
2024-02-08,Cliente E,CU,Arbitro Cordillera,575549.02,12887.32,27.107,26.652,27.041,0.455,-0.066
2022-05-06,Cliente C,AG,Arbitro Cordillera,501467.45,32857.49,25.93,24.776,26.837,1.154,0.907
2023-12-06,Cliente G,AU,Arbitro Pacifico,482486.28,41173.85,1.868,1.82,1.869,0.048,0.001
2023-09-21,Cliente A,AG,Arbitro Meridiano,256364.25,59365.03,40.626,40.766,38.941,-0.14,-1.685
2022-09-30,Cliente E,AS,Arbitro Meridiano,231933.8,79596.67,0.213,0.202,0.22,0.011,0.007
2023-03-28,Cliente H,CU,Arbitro Pacifico,252298.82,44599.57,25.268,26.64,26.569,-1.372,1.301
2022-03-04,Cliente B,CU,Arbitro Cordillera,475939.02,66011.58,32.82,29.5,33.75,3.32,0.93
2023-10-13,Cliente D,AG,Arbitro Cordillera,451155.56,74615.49,10.721,10.291,11.034,0.43,0.313
2023-12-23,Cliente D,CU,Arbitro Andes,321126.16,5526.07,34.139,34.138,32.477,0.001,-1.662
2022-06-14,Cliente G,CU,Arbitro Pacifico,117829.24,66184.87,29.483,30.541,29.274,-1.058,-0.209
2023-10-02,Cliente H,CU,Arbitro Pacifico,252158.04,87560.39,22.467,21.572,22.763,0.895,0.296
2023-09-03,Cliente A,AU,Arbitro Cordillera,185872.39,31735.16,1.157,1.099,1.082,0.058,-0.075
2023-11-10,Cliente F,AU,Arbitro Austral,523807.04,53187.37,1.132,1.267,1.236,-0.135,0.104
2024-04-29,Cliente H,CU,Arbitro Cordillera,565044.29,57299.81,23.492,24.383,24.376,-0.891,0.884
2024-04-08,Cliente C,AU,Arbitro Andes,607004.17,59231.68,2.191,2.098,2.16,0.093,-0.031
2022-12-07,Cliente C,CU,Arbitro Austral,74793.25,45652.03,25.881,23.306,25.327,2.575,-0.554
2023-04-13,Cliente G,AG,Arbitro Austral,588474.09,49566.1,16.431,16.647,16.398,-0.216,-0.033
2023-10-15,Cliente E,AU,Arbitro Cordillera,240566.36,13857.34,1.69,1.844,1.899,-0.154,0.209
2022-12-06,Cliente B,AG,Arbitro Meridiano,644859.06,7374.24,32.349,29.345,27.75,3.004,-4.599
2023-05-04,Cliente C,AG,Arbitro Meridiano,240410.82,39446.7,15.424,15.947,15.543,-0.523,0.119
2023-07-15,Cliente A,AU,Arbitro Austral,433973.46,53047.3,2.673,2.368,2.491,0.305,-0.182
2023-02-04,Cliente C,AU,Arbitro Andes,226356.01,45210.42,1.379,1.317,1.298,0.062,-0.081
2023-01-12,Cliente H,AG,Arbitro Pacifico,563746.29,23299.22,16.499,18.365,17.033,-1.866,0.534
2023-06-07,Cliente F,AS,Arbitro Austral,283056.45,75372.52,0.463,0.538,0.51,-0.075,0.047
2024-03-26,Cliente G,CU,Arbitro Cordillera,531049.05,40472.43,23.287,22.737,21.982,0.55,-1.305
2023-05-31,Cliente C,CU,Arbitro Pacifico,247882.84,10767.82,28.057,25.072,27.645,2.985,-0.412
2022-04-08,Cliente D,AS,Arbitro Andes,249708.17,88804.48,0.118,0.106,0.119,0.012,0.001
2023-09-06,Cliente E,AU,Arbitro Pacifico,185709.57,22659.21,1.366,1.44,1.362,-0.074,-0.004
2023-12-02,Cliente B,CU,Arbitro Andes,649016.88,76247.48,22.598,22.232,22.807,0.366,0.209
2023-12-17,Cliente H,AG,Arbitro Andes,489135.85,82293.96,19.342,19.604,18.975,-0.262,-0.367
2022-10-27,Cliente C,CU,Arbitro Andes,179966.75,53182.32,28.099,30.115,26.992,-2.016,-1.107
2022-01-18,Cliente A,CU,Arbitro Pacifico,401003.64,12969.66,22.358,23.426,25.72,-1.068,3.362
2023-10-30,Cliente H,CU,Arbitro Andes,410974.67,17025.95,23.158,21.322,21.539,1.836,-1.619
2023-06-23,Cliente G,CU,Arbitro Cordillera,613706.24,79493.34,31.043,36.256,33.629,-5.213,2.586
2023-10-20,Cliente F,CU,Arbitro Pacifico,522724.52,62339.35,26.966,28.766,28.339,-1.8,1.373
2022-10-27,Cliente C,AG,Arbitro Meridiano,287378.61,32247.14,24.434,24.358,25.732,0.076,1.298
2022-10-19,Cliente G,AG,Arbitro Austral,60953.89,84057.82,14.983,15.362,14.733,-0.379,-0.25
2024-04-01,Cliente F,CU,Arbitro Cordillera,340929.95,15878.4,25.834,27.392,27.485,-1.558,1.651
2022-02-16,Cliente D,AU,Arbitro Andes,349332.51,87826.98,0.343,0.337,0.32,0.006,-0.023
2022-03-07,Cliente C,AU,Arbitro Pacifico,369308.8,37104.57,1.126,1.118,1.132,0.008,0.006
2022-07-22,Cliente D,CU,Arbitro Austral,92248.45,20808.78,32.738,31.527,31.953,1.211,-0.785
2024-02-27,Cliente E,CU,Arbitro Pacifico,377412.56,86094.03,19.247,23.643,21.727,-4.396,2.48
2022-08-22,Cliente A,AG,Arbitro Austral,621643.17,45353.54,23.904,22.011,22.968,1.893,-0.936
2023-07-21,Cliente H,CU,Arbitro Meridiano,303259.67,48499.21,23.019,24.205,23.046,-1.186,0.027
2024-06-05,Cliente A,CU,Arbitro Andes,312512.46,9306.87,24.743,23.86,24.068,0.883,-0.675
2023-09-14,Cliente D,CU,Arbitro Pacifico,275757.24,78694.43,19.882,20.72,20.428,-0.838,0.546
2022-05-03,Cliente B,AU,Arbitro Pacifico,636096.76,82355.87,1.409,1.614,1.573,-0.205,0.164
2024-01-06,Cliente F,CU,Arbitro Austral,181309.23,26627.1,24.988,25.766,26.801,-0.778,1.813
2024-03-18,Cliente F,CU,Arbitro Pacifico,417763.54,61274.71,30.163,27.344,29.026,2.819,-1.137
2023-11-15,Cliente F,AG,Arbitro Andes,567533.45,16465.99,13.358,14.001,13.52,-0.643,0.162
2022-10-07,Cliente F,AG,Arbitro Andes,154768.62,87877.67,32.907,31.832,30.508,1.075,-2.399
2023-07-28,Cliente F,CU,Arbitro Andes,62853.86,40840.1,30.416,29.401,29.46,1.015,-0.956
2023-11-27,Cliente D,CU,Arbitro Meridiano,138692.11,4548.03,22.775,23.215,25.316,-0.44,2.541
2022-12-15,Cliente G,CU,Arbitro Cordillera,624283.58,27474.46,25.174,24.829,23.972,0.345,-1.202
2022-11-19,Cliente E,CU,Arbitro Andes,588343.77,68415.41,26.303,28.358,28.846,-2.055,2.543
2023-09-13,Cliente B,AU,Arbitro Meridiano,304757.84,44466.07,0.539,0.575,0.546,-0.036,0.007
2023-06-27,Cliente G,AS,Arbitro Andes,248848.85,26793.08,0.192,0.172,0.176,0.02,-0.016
2023-10-02,Cliente D,AU,Arbitro Meridiano,186843.38,78664.32,2.289,2.28,2.391,0.009,0.102
2022-02-01,Cliente A,AU,Arbitro Cordillera,112310.18,89853.16,1.792,1.849,1.884,-0.057,0.092
2022-04-18,Cliente A,CU,Arbitro Austral,582906.63,28555.6,30.568,32.28,29.931,-1.712,-0.637
2022-04-12,Cliente G,CU,Arbitro Cordillera,399690.47,24305.84,33.084,30.409,33.77,2.675,0.686
2023-01-30,Cliente C,CU,Arbitro Cordillera,133156.32,63806.9,18.5,21.811,20.619,-3.311,2.119
2022-02-15,Cliente C,AU,Arbitro Meridiano,529588.05,30033.33,2.564,2.374,2.419,0.19,-0.145
2024-03-07,Cliente F,AG,Arbitro Andes,342698.06,6448.09,26.75,27.56,26.882,-0.81,0.132
2022-12-01,Cliente D,AU,Arbitro Andes,432849.01,73193.09,1.097,0.994,1.007,0.103,-0.09
2022-06-30,Cliente D,CU,Arbitro Cordillera,184300.48,13999.33,21.387,20.174,20.335,1.213,-1.052
2024-02-12,Cliente A,AG,Arbitro Austral,75612.49,87682.0,41.474,44.095,38.247,-2.621,-3.227
2023-08-02,Cliente H,AS,Arbitro Andes,187878.51,83745.17,0.05,0.05,0.05,0.0,0.0
2023-11-09,Cliente F,AG,Arbitro Meridiano,382655.63,34438.13,38.122,37.144,37.351,0.978,-0.771
2022-04-24,Cliente G,AG,Arbitro Meridiano,315855.72,26925.76,21.257,23.033,21.492,-1.776,0.235
2022-08-02,Cliente A,AG,Arbitro Pacifico,228493.64,41477.96,27.224,26.158,26.214,1.066,-1.01
2022-11-27,Cliente F,AG,Arbitro Cordillera,73818.85,27461.68,38.873,41.582,38.143,-2.709,-0.73
2023-01-26,Cliente D,CU,Arbitro Cordillera,386865.48,77879.24,29.41,30.937,29.753,-1.527,0.343
2022-03-03,Cliente F,CU,Arbitro Austral,344187.57,69630.34,34.162,34.594,32.342,-0.432,-1.82
2023-10-10,Cliente H,AU,Arbitro Cordillera,493562.78,59128.29,0.596,0.59,0.582,0.006,-0.014
2024-03-11,Cliente D,CU,Arbitro Austral,630310.48,48527.14,23.76,24.717,23.23,-0.957,-0.53
2022-08-31,Cliente F,CU,Arbitro Andes,393012.4,52591.56,21.626,19.385,20.27,2.241,-1.356
2024-05-30,Cliente E,AG,Arbitro Meridiano,145288.97,54792.47,34.966,33.495,35.647,1.471,0.681
2024-06-08,Cliente H,AG,Arbitro Meridiano,99079.45,64926.37,17.172,20.25,19.274,-3.078,2.102
2023-09-19,Cliente D,CU,Arbitro Austral,479796.5,6112.79,27.313,25.794,25.857,1.519,-1.456
2023-12-24,Cliente D,CU,Arbitro Pacifico,211403.25,74567.9,25.896,26.194,25.282,-0.298,-0.614
2023-03-05,Cliente A,AG,Arbitro Austral,125431.88,44609.9,6.704,6.562,6.547,0.142,-0.157
2023-09-21,Cliente H,AU,Arbitro Cordillera,526178.33,54775.17,0.488,0.409,0.457,0.079,-0.031
2023-09-20,Cliente F,CU,Arbitro Cordillera,233243.26,58405.21,33.167,31.33,33.872,1.837,0.705
2024-01-20,Cliente A,CU,Arbitro Pacifico,541341.8,30091.09,27.89,30.112,28.949,-2.222,1.059
2023-06-14,Cliente H,CU,Arbitro Pacifico,291529.89,9902.88,29.824,29.755,30.605,0.069,0.781
2022-07-24,Cliente C,CU,Arbitro Pacifico,495294.42,89851.65,28.913,30.298,28.266,-1.385,-0.647
2023-08-21,Cliente A,AS,Arbitro Austral,624412.62,34740.59,0.225,0.246,0.22,-0.021,-0.005
2023-02-19,Cliente C,AU,Arbitro Cordillera,188816.02,44999.22,1.531,1.569,1.6,-0.038,0.069
2022-11-09,Cliente H,AS,Arbitro Pacifico,305934.96,16612.12,0.204,0.196,0.208,0.008,0.004
2023-11-19,Cliente F,CU,Arbitro Cordillera,445042.98,67204.88,34.128,32.705,32.188,1.423,-1.94
2024-04-26,Cliente D,AG,Arbitro Andes,615671.52,59817.68,10.854,10.155,10.858,0.699,0.004
2022-08-08,Cliente G,AG,Arbitro Meridiano,418150.6,74108.17,19.056,18.406,17.913,0.65,-1.143
2023-11-28,Cliente D,CU,Arbitro Pacifico,215671.68,80944.5,32.595,34.676,34.089,-2.081,1.494
2024-01-06,Cliente F,CU,Arbitro Meridiano,578335.55,60152.61,28.983,28.272,30.902,0.711,1.919
2022-05-30,Cliente G,CU,Arbitro Meridiano,343462.8,26948.07,24.004,23.674,25.172,0.33,1.168
2023-02-05,Cliente C,CU,Arbitro Pacifico,209238.94,47760.56,27.217,24.739,25.849,2.478,-1.368
2023-12-17,Cliente G,CU,Arbitro Meridiano,168438.9,4546.79,22.796,21.037,21.469,1.759,-1.327
2022-01-05,Cliente A,AG,Arbitro Andes,58586.82,59553.34,8.405,8.71,8.432,-0.305,0.027
2022-05-26,Cliente G,CU,Arbitro Pacifico,165009.76,16603.89,24.725,26.783,27.777,-2.058,3.052
2022-03-11,Cliente B,AS,Arbitro Austral,318132.74,82119.57,0.544,0.489,0.481,0.055,-0.063
2022-06-05,Cliente B,CU,Arbitro Meridiano,247361.87,58581.18,30.361,29.113,30.854,1.248,0.493
2022-02-13,Cliente E,AU,Arbitro Pacifico,623403.2,27418.09,1.399,1.596,1.453,-0.197,0.054
2022-11-30,Cliente E,CU,Arbitro Meridiano,244690.93,82365.33,24.015,24.528,23.91,-0.513,-0.105
2022-08-02,Cliente B,AU,Arbitro Austral,328882.13,51059.86,1.185,1.141,1.148,0.044,-0.037
2022-04-08,Cliente H,AU,Arbitro Pacifico,410034.19,82085.96,1.185,1.128,1.192,0.057,0.007
2022-11-15,Cliente H,CU,Arbitro Pacifico,80030.56,69536.78,32.687,33.909,35.13,-1.222,2.443
2024-05-31,Cliente H,CU,Arbitro Pacifico,120832.91,78610.25,30.155,31.47,29.817,-1.315,-0.338
2022-04-18,Cliente F,AG,Arbitro Andes,319782.36,44182.35,19.585,20.882,20.442,-1.297,0.857
2023-06-22,Cliente C,CU,Arbitro Cordillera,468808.55,62249.7,20.344,21.352,22.2,-1.008,1.856
2023-11-22,Cliente B,AG,Arbitro Meridiano,84800.58,72451.76,25.422,29.387,28.509,-3.965,3.087
2022-01-28,Cliente A,CU,Arbitro Pacifico,579483.83,81494.55,23.221,22.164,22.495,1.057,-0.726
2023-10-24,Cliente C,AU,Arbitro Pacifico,516474.17,14521.2,1.234,1.255,1.187,-0.021,-0.047
2024-04-19,Cliente H,CU,Arbitro Meridiano,202893.82,47040.14,35.129,37.048,34.485,-1.919,-0.644
2022-12-20,Cliente C,CU,Arbitro Cordillera,440547.51,51534.66,27.753,28.299,27.148,-0.546,-0.605
2023-04-03,Cliente E,CU,Arbitro Cordillera,139813.59,84052.98,31.715,33.765,31.488,-2.05,-0.227
2024-01-08,Cliente D,CU,Arbitro Andes,616982.1,24550.03,25.98,28.763,26.814,-2.783,0.834
2022-11-21,Cliente G,AG,Arbitro Austral,60009.74,17137.93,7.873,7.282,7.205,0.591,-0.668
2022-07-24,Cliente B,CU,Arbitro Austral,251527.18,23101.95,29.785,36.966,34.635,-7.181,4.85
2022-12-14,Cliente F,CU,Arbitro Austral,163927.89,69875.35,30.429,26.857,28.731,3.572,-1.698
2022-11-15,Cliente H,AU,Arbitro Meridiano,557810.02,70804.86,1.377,1.378,1.496,-0.001,0.119
2022-04-06,Cliente H,CU,Arbitro Pacifico,169848.39,89728.64,32.03,32.034,32.272,-0.004,0.242
2024-02-20,Cliente C,CU,Arbitro Cordillera,219658.88,60984.15,26.359,25.302,25.127,1.057,-1.232
2022-12-13,Cliente G,CU,Arbitro Meridiano,613929.84,79326.54,31.661,32.888,31.075,-1.227,-0.586
2024-02-24,Cliente A,CU,Arbitro Meridiano,399545.86,38392.08,25.281,22.812,24.238,2.469,-1.043
2022-02-05,Cliente B,AU,Arbitro Meridiano,228574.74,47582.87,2.033,2.093,2.042,-0.06,0.009
2022-05-20,Cliente E,CU,Arbitro Austral,442685.58,40160.22,24.503,24.079,24.413,0.424,-0.09
2024-01-12,Cliente D,AG,Arbitro Meridiano,622931.36,53254.6,18.392,18.343,19.022,0.049,0.63
2023-03-02,Cliente A,AG,Arbitro Pacifico,646753.94,63418.65,37.9,37.079,35.774,0.821,-2.126
2022-01-06,Cliente H,AG,Arbitro Austral,448325.96,84430.11,9.45,10.231,9.778,-0.781,0.328
2023-08-21,Cliente B,AU,Arbitro Andes,359608.89,11516.19,1.443,1.645,1.531,-0.202,0.088
2023-05-23,Cliente H,AU,Arbitro Cordillera,205644.68,30795.34,2.242,2.208,2.349,0.034,0.107
2023-06-15,Cliente B,CU,Arbitro Pacifico,536766.52,80256.85,21.187,20.282,21.574,0.905,0.387
2023-12-31,Cliente E,CU,Arbitro Andes,176458.1,80811.69,23.201,21.58,23.86,1.621,0.659
2023-02-06,Cliente E,CU,Arbitro Meridiano,646337.71,49335.4,26.416,24.468,27.006,1.948,0.59
2023-04-23,Cliente D,CU,Arbitro Andes,198054.7,76732.91,23.281,21.976,21.951,1.305,-1.33
2022-06-02,Cliente G,AG,Arbitro Andes,111092.37,31653.23,19.468,20.913,19.922,-1.445,0.454
2024-02-27,Cliente A,AS,Arbitro Meridiano,505564.27,80952.16,0.538,0.431,0.475,0.107,-0.063
2023-06-30,Cliente E,CU,Arbitro Cordillera,623936.83,66828.02,22.077,18.676,19.93,3.401,-2.147
2023-05-22,Cliente A,CU,Arbitro Cordillera,548457.77,47839.34,26.019,25.073,24.574,0.946,-1.445
2024-01-05,Cliente H,CU,Arbitro Cordillera,373713.17,38670.15,22.114,20.923,21.95,1.191,-0.164
2022-06-06,Cliente C,CU,Arbitro Austral,633698.26,26402.48,32.909,33.974,32.609,-1.065,-0.3
2024-06-12,Cliente E,AU,Arbitro Meridiano,604911.23,68046.6,2.005,2.16,2.141,-0.155,0.136
2023-03-07,Cliente F,CU,Arbitro Cordillera,237947.14,19926.19,24.003,23.223,22.596,0.78,-1.407
2022-01-21,Cliente G,CU,Arbitro Andes,643243.37,28914.76,27.181,28.391,29.506,-1.21,2.325
2022-01-01,Cliente C,CU,Arbitro Meridiano,242964.12,25313.14,24.471,27.684,26.572,-3.213,2.101
2023-08-23,Cliente C,AG,Arbitro Austral,494969.05,66238.92,16.707,17.509,17.107,-0.802,0.4
2023-12-09,Cliente E,AG,Arbitro Pacifico,332168.46,60106.8,8.14,7.927,7.913,0.213,-0.227
2022-10-19,Cliente A,CU,Arbitro Pacifico,507977.33,7565.54,21.932,21.312,22.951,0.62,1.019
2022-06-19,Cliente B,AG,Arbitro Cordillera,455606.1,27714.23,11.218,11.272,10.628,-0.054,-0.59
2023-08-30,Cliente D,AU,Arbitro Austral,233092.34,25280.04,0.96,0.97,0.964,-0.01,0.004
2024-02-17,Cliente G,CU,Arbitro Meridiano,392461.85,21918.35,26.636,28.165,26.636,-1.529,0.0
2023-01-26,Cliente D,CU,Arbitro Andes,199148.81,85620.26,33.567,35.112,34.907,-1.545,1.34
2023-03-11,Cliente F,CU,Arbitro Austral,548774.1,5407.23,28.712,36.952,33.206,-8.24,4.494
2024-05-27,Cliente D,AU,Arbitro Andes,404507.17,88146.9,1.035,0.941,0.982,0.094,-0.053
2022-07-07,Cliente D,AU,Arbitro Cordillera,306706.11,85758.3,0.408,0.4,0.43,0.008,0.022
2022-10-03,Cliente E,AG,Arbitro Cordillera,269095.54,66766.06,30.241,29.786,30.117,0.455,-0.124
2022-01-14,Cliente B,CU,Arbitro Pacifico,134799.71,82365.05,34.836,33.043,31.812,1.793,-3.024
2022-04-26,Cliente A,AS,Arbitro Andes,101713.71,45032.75,0.278,0.29,0.298,-0.012,0.02
2024-05-18,Cliente D,CU,Arbitro Meridiano,479302.62,42219.68,28.797,30.237,31.281,-1.44,2.484
2024-03-09,Cliente G,AS,Arbitro Meridiano,382121.1,10616.46,0.473,0.459,0.492,0.014,0.019
2024-02-17,Cliente H,CU,Arbitro Austral,123651.64,30950.42,35.02,31.269,33.821,3.751,-1.199
2023-06-01,Cliente B,CU,Arbitro Andes,334742.04,20591.62,27.542,31.014,29.378,-3.472,1.836
2024-05-27,Cliente A,CU,Arbitro Pacifico,336284.5,68058.71,26.06,25.892,24.862,0.168,-1.198
2023-09-11,Cliente A,CU,Arbitro Austral,66899.95,68521.63,33.716,32.863,34.759,0.853,1.043
2022-12-18,Cliente H,AG,Arbitro Pacifico,454927.1,76228.0,19.709,20.274,20.186,-0.565,0.477
2023-01-25,Cliente F,CU,Arbitro Meridiano,558336.04,23247.19,21.878,23.385,23.845,-1.507,1.967
2023-06-16,Cliente B,AU,Arbitro Andes,387950.36,41608.96,0.548,0.632,0.557,-0.084,0.009
2023-02-03,Cliente B,AU,Arbitro Pacifico,133353.87,14941.98,0.386,0.382,0.38,0.004,-0.006
2022-06-23,Cliente G,AU,Arbitro Pacifico,253733.92,30583.56,0.836,0.797,0.789,0.039,-0.047
