comment_id,video_seed_id,fecha,categoria_real,comentario,likes
c000049,seed_cli_2,2024-10-09,Clima y Energia,"mi familia esta afectada por solar, tambien por tormenta, gracias por cubrir el tema",4
c000050,seed_cli_5,2024-10-09,Clima y Energia,"primera vez que escucho de apagon, alguien me explica que paso con renovables",1
c000005,seed_eco_2,2024-10-09,Economia,"interesante el analisis sobre salario y ahorro, deberian hacer una segunda parte",0
c000004,seed_eco_3,2024-10-09,Economia,yo creo que salario y empleo se van a poner peor el proximo mes,2
c000002,seed_eco_2,2024-10-09,Economia,"todos hablando de salario y de precios, menos los medios tradicionales",3
c000052,seed_cli_2,2024-10-09,Clima y Energia,"no puedo creer lo que paso con temperatura y apagon, alguien mas lo vio",3
c000033,seed_ent_1,2024-10-09,Entretenimiento,porque nadie habla de actriz y festival en las noticias grandes,2
c000039,seed_dep_4,2024-10-10,Deportes,"este canal explico partido mejor que cualquier noticiero, mencionaron liga",1
c000041,seed_dep_3,2024-10-10,Deportes,"mi familia esta afectada por portero, tambien por entrenador, gracias por cubrir el tema",1
c000032,seed_ent_5,2024-10-10,Entretenimiento,"este canal explico concierto mejor que cualquier noticiero, mencionaron trailer",0
c000018,seed_ent_3,2024-10-10,Entretenimiento,yo creo que premio y concierto se van a poner peor el proximo mes,3
c000003,seed_eco_4,2024-10-11,Economia,"credito otra vez en tendencias, la precios va para largo",3
c000007,seed_eco_5,2024-10-11,Economia,"interesante el analisis sobre inflacion y empleo, deberian hacer una segunda parte",2
c000025,seed_ent_3,2024-10-11,Entretenimiento,"primera vez que escucho de serie, alguien me explica que paso con pelicula",5
c000048,seed_cli_2,2024-10-11,Clima y Energia,"no puedo creer lo que paso con sismo y renovables, alguien mas lo vio",2
c000016,seed_eco_3,2024-10-11,Economia,"este canal explico dolar mejor que cualquier noticiero, mencionaron sueldo",2
c000043,seed_dep_3,2024-10-11,Deportes,"todos hablando de equipo y de transferencia, menos los medios tradicionales",9
c000013,seed_eco_2,2024-10-11,Economia,"sueldo otra vez en tendencias, la gasolina va para largo",4
c000009,seed_eco_5,2024-10-12,Economia,"este canal explico empleo mejor que cualquier noticiero, mencionaron peso",2
c000047,seed_cli_2,2024-10-12,Clima y Energia,yo creo que energia y huracan se van a poner peor el proximo mes,3
c000010,seed_eco_4,2024-10-12,Economia,"este canal explico salario mejor que cualquier noticiero, mencionaron desempleo",3
c000017,seed_ent_4,2024-10-12,Entretenimiento,yo creo que pelicula y cancion se van a poner peor el proximo mes,5
c000024,seed_ent_1,2024-10-12,Entretenimiento,"estreno otra vez en tendencias, la cancion va para largo",0
c000028,seed_ent_3,2024-10-12,Entretenimiento,"todos hablando de actor y de premio, menos los medios tradicionales",5
c000045,seed_dep_5,2024-10-12,Deportes,"llevo dias viendo videos sobre campeonato, la equipo cada vez es peor",2
c000030,seed_ent_2,2024-10-13,Entretenimiento,porque nadie habla de temporada y streaming en las noticias grandes,3
c000001,seed_eco_1,2024-10-13,Economia,"interesante el analisis sobre peso y gasolina, deberian hacer una segunda parte",5
c000031,seed_ent_3,2024-10-13,Entretenimiento,"todos hablando de guion y de trailer, menos los medios tradicionales",4
c000065,seed_eco_1,2024-10-14,Economia,yo creo que inversion y credito se van a poner peor el proximo mes,3
c000081,seed_ent_3,2024-10-14,Entretenimiento,porque nadie habla de pelicula y director en las noticias grandes,1
c000090,seed_ent_5,2024-10-14,Entretenimiento,"primera vez que escucho de actor, alguien me explica que paso con director",4
c000074,seed_ent_4,2024-10-14,Entretenimiento,porque nadie habla de estreno y actor en las noticias grandes,3
c000100,seed_dep_5,2024-10-14,Deportes,"llevo dias viendo videos sobre campeonato, la medalla cada vez es peor",2
c000102,seed_dep_3,2024-10-14,Deportes,"mi familia esta afectada por seleccion, tambien por gol, gracias por cubrir el tema",7
c000085,seed_ent_2,2024-10-14,Entretenimiento,yo creo que temporada y trailer se van a poner peor el proximo mes,0
c000055,seed_eco_3,2024-10-14,Economia,"precios otra vez en tendencias, la gasolina va para largo",5
c000114,seed_cli_2,2024-10-14,Clima y Energia,porque nadie habla de renovables y solar en las noticias grandes,2
c000056,seed_eco_5,2024-10-14,Economia,"interesante el analisis sobre dolar y desempleo, deberian hacer una segunda parte",3
c000082,seed_ent_2,2024-10-15,Entretenimiento,"interesante el analisis sobre guion y festival, deberian hacer una segunda parte",1
c000087,seed_ent_2,2024-10-15,Entretenimiento,"llevo dias viendo videos sobre guion, la streaming cada vez es peor",2
c000078,seed_ent_1,2024-10-15,Entretenimiento,"festival otra vez en tendencias, la temporada va para largo",1
c000077,seed_ent_5,2024-10-15,Entretenimiento,"primera vez que escucho de trailer, alguien me explica que paso con pelicula",0
c000115,seed_cli_4,2024-10-15,Clima y Energia,"tormenta otra vez en tendencias, la sequia va para largo",3
c000091,seed_ent_1,2024-10-15,Entretenimiento,"interesante el analisis sobre actriz y concierto, deberian hacer una segunda parte",2
c000094,seed_ent_3,2024-10-15,Entretenimiento,porque nadie habla de concierto y director en las noticias grandes,3
c000072,seed_ent_5,2024-10-15,Entretenimiento,"este canal explico director mejor que cualquier noticiero, mencionaron cancion",3
c000060,seed_eco_2,2024-10-15,Economia,yo creo que inversion y credito se van a poner peor el proximo mes,4
c000105,seed_dep_1,2024-10-15,Deportes,yo creo que portero y arbitro se van a poner peor el proximo mes,4
c000107,seed_dep_4,2024-10-15,Deportes,yo creo que transferencia y portero se van a poner peor el proximo mes,0
c000057,seed_eco_4,2024-10-15,Economia,"mi familia esta afectada por precios, tambien por salario, gracias por cubrir el tema",1
c000063,seed_eco_1,2024-10-15,Economia,"llevo dias viendo videos sobre inversion, la credito cada vez es peor",4
c000109,seed_dep_3,2024-10-15,Deportes,"interesante el analisis sobre liga y torneo, deberian hacer una segunda parte",5
c000058,seed_eco_1,2024-10-15,Economia,"sueldo otra vez en tendencias, la inflacion va para largo",3
c000104,seed_dep_2,2024-10-16,Deportes,yo creo que medalla y liga se van a poner peor el proximo mes,2
c000106,seed_dep_3,2024-10-16,Deportes,"no puedo creer lo que paso con jugador y seleccion, alguien mas lo vio",6
c000108,seed_dep_1,2024-10-16,Deportes,"no puedo creer lo que paso con lesion y portero, alguien mas lo vio",4
c000088,seed_ent_2,2024-10-16,Entretenimiento,"este canal explico festival mejor que cualquier noticiero, mencionaron cancion",6
c000110,seed_dep_1,2024-10-16,Deportes,"interesante el analisis sobre seleccion y partido, deberian hacer una segunda parte",1
c000112,seed_cli_2,2024-10-16,Clima y Energia,yo creo que calor y incendio se van a poner peor el proximo mes,1
c000111,seed_cli_2,2024-10-16,Clima y Energia,"este canal explico energia mejor que cualquier noticiero, mencionaron tormenta",5
c000059,seed_eco_5,2024-10-16,Economia,"peso otra vez en tendencias, la credito va para largo",1
c000075,seed_ent_2,2024-10-16,Entretenimiento,"todos hablando de premio y de banda, menos los medios tradicionales",3
c000066,seed_eco_2,2024-10-17,Economia,"no puedo creer lo que paso con sueldo y inflacion, alguien mas lo vio",0
c000080,seed_ent_1,2024-10-17,Entretenimiento,"primera vez que escucho de guion, alguien me explica que paso con banda",3
c000053,seed_eco_1,2024-10-17,Economia,"primera vez que escucho de desempleo, alguien me explica que paso con empleo",4
c000089,seed_ent_2,2024-10-17,Entretenimiento,porque nadie habla de streaming y premio en las noticias grandes,1
c000098,seed_dep_3,2024-10-17,Deportes,yo creo que liga y lesion se van a poner peor el proximo mes,4
c000101,seed_dep_4,2024-10-17,Deportes,"gol otra vez en tendencias, la lesion va para largo",3
c000061,seed_eco_4,2024-10-17,Economia,"interesante el analisis sobre deuda y dolar, deberian hacer una segunda parte",2
c000095,seed_dep_2,2024-10-17,Deportes,"llevo dias viendo videos sobre equipo, la entrenador cada vez es peor",5
c000062,seed_eco_4,2024-10-18,Economia,"inversion otra vez en tendencias, la impuestos va para largo",3
c000070,seed_eco_4,2024-10-18,Economia,"interesante el analisis sobre salario y mercado, deberian hacer una segunda parte",6
c000084,seed_ent_2,2024-10-18,Entretenimiento,porque nadie habla de estreno y premio en las noticias grandes,1
c000113,seed_cli_2,2024-10-18,Clima y Energia,yo creo que incendio y tormenta se van a poner peor el proximo mes,3
c000064,seed_eco_3,2024-10-19,Economia,"inflacion otra vez en tendencias, la empleo va para largo",3
c000054,seed_eco_3,2024-10-19,Economia,"todos hablando de dolar y de precios, menos los medios tradicionales",1
c000067,seed_eco_3,2024-10-19,Economia,"todos hablando de desempleo y de gasolina, menos los medios tradicionales",1
c000083,seed_ent_2,2024-10-19,Entretenimiento,yo creo que trailer y concierto se van a poner peor el proximo mes,2
c000069,seed_eco_3,2024-10-19,Economia,"este canal explico ahorro mejor que cualquier noticiero, mencionaron inversion",3
c000076,seed_ent_5,2024-10-19,Entretenimiento,"mi familia esta afectada por banda, tambien por estreno, gracias por cubrir el tema",4
c000099,seed_dep_2,2024-10-19,Deportes,"interesante el analisis sobre portero y transferencia, deberian hacer una segunda parte",1
c000097,seed_dep_3,2024-10-19,Deportes,"este canal explico portero mejor que cualquier noticiero, mencionaron transferencia",3
c000096,seed_dep_3,2024-10-19,Deportes,"lesion otra vez en tendencias, la portero va para largo",5
c000093,seed_ent_4,2024-10-19,Entretenimiento,"mi familia esta afectada por festival, tambien por serie, gracias por cubrir el tema",4
c000092,seed_ent_1,2024-10-19,Entretenimiento,"llevo dias viendo videos sobre temporada, la guion cada vez es peor",4
c000079,seed_ent_2,2024-10-19,Entretenimiento,"todos hablando de serie y de trailer, menos los medios tradicionales",2
c000068,seed_eco_3,2024-10-20,Economia,"este canal explico credito mejor que cualquier noticiero, mencionaron desempleo",3
c000071,seed_ent_1,2024-10-20,Entretenimiento,"director otra vez en tendencias, la estreno va para largo",2
c000073,seed_ent_1,2024-10-20,Entretenimiento,"mi familia esta afectada por concierto, tambien por festival, gracias por cubrir el tema",2
c000103,seed_dep_2,2024-10-20,Deportes,"interesante el analisis sobre jugador y arbitro, deberian hacer una segunda parte",3
c000086,seed_ent_2,2024-10-20,Entretenimiento,"primera vez que escucho de streaming, alguien me explica que paso con estreno",2
c000152,seed_dep_4,2024-10-21,Deportes,"primera vez que escucho de arbitro, alguien me explica que paso con seleccion",3
c000137,seed_ent_3,2024-10-21,Entretenimiento,"interesante el analisis sobre actriz y temporada, deberian hacer una segunda parte",2
c000161,seed_cli_4,2024-10-21,Clima y Energia,"mi familia esta afectada por apagon, tambien por sismo, gracias por cubrir el tema",2
c000127,seed_ent_5,2024-10-21,Entretenimiento,"mi familia esta afectada por director, tambien por temporada, gracias por cubrir el tema",3
c000150,seed_dep_1,2024-10-22,Deportes,"este canal explico lesion mejor que cualquier noticiero, mencionaron transferencia",6
c000148,seed_dep_2,2024-10-22,Deportes,"no puedo creer lo que paso con torneo y seleccion, alguien mas lo vio",6
c000146,seed_dep_4,2024-10-22,Deportes,"llevo dias viendo videos sobre gol, la jugador cada vez es peor",4
c000142,seed_dep_3,2024-10-22,Deportes,"mi familia esta afectada por torneo, tambien por gol, gracias por cubrir el tema",3
c000153,seed_dep_2,2024-10-22,Deportes,"primera vez que escucho de torneo, alguien me explica que paso con entrenador",3
c000154,seed_dep_5,2024-10-22,Deportes,"mi familia esta afectada por entrenador, tambien por lesion, gracias por cubrir el tema",1
c000120,seed_eco_1,2024-10-22,Economia,"primera vez que escucho de mercado, alguien me explica que paso con dolar",3
c000116,seed_eco_5,2024-10-22,Economia,"este canal explico salario mejor que cualquier noticiero, mencionaron precios",4
c000121,seed_eco_1,2024-10-23,Economia,"mi familia esta afectada por desempleo, tambien por impuestos, gracias por cubrir el tema",2
c000136,seed_ent_4,2024-10-23,Entretenimiento,porque nadie habla de estreno y actriz en las noticias grandes,4
c000123,seed_eco_5,2024-10-24,Economia,"no puedo creer lo que paso con desempleo y credito, alguien mas lo vio",2
c000147,seed_dep_4,2024-10-24,Deportes,"todos hablando de arbitro y de estadio, menos los medios tradicionales",0
c000144,seed_dep_5,2024-10-24,Deportes,"primera vez que escucho de torneo, alguien me explica que paso con entrenador",4
c000155,seed_dep_1,2024-10-24,Deportes,"mi familia esta afectada por gol, tambien por arbitro, gracias por cubrir el tema",2
c000132,seed_ent_4,2024-10-24,Entretenimiento,"llevo dias viendo videos sobre director, la actor cada vez es peor",1
c000125,seed_ent_3,2024-10-24,Entretenimiento,"no puedo creer lo que paso con pelicula y premio, alguien mas lo vio",7
c000122,seed_eco_3,2024-10-24,Economia,"mi familia esta afectada por desempleo, tambien por dolar, gracias por cubrir el tema",5
c000160,seed_cli_2,2024-10-25,Clima y Energia,"no puedo creer lo que paso con temperatura y contaminacion, alguien mas lo vio",5
c000151,seed_dep_5,2024-10-25,Deportes,"este canal explico transferencia mejor que cualquier noticiero, mencionaron medalla",3
c000118,seed_eco_5,2024-10-25,Economia,"credito otra vez en tendencias, la gasolina va para largo",2
c000145,seed_dep_5,2024-10-25,Deportes,"jugador otra vez en tendencias, la torneo va para largo",0
c000117,seed_eco_5,2024-10-25,Economia,"primera vez que escucho de deuda, alguien me explica que paso con gasolina",1
c000149,seed_dep_2,2024-10-25,Deportes,"todos hablando de torneo y de seleccion, menos los medios tradicionales",8
c000141,seed_dep_2,2024-10-25,Deportes,"interesante el analisis sobre jugador y liga, deberian hacer una segunda parte",1
c000139,seed_dep_4,2024-10-25,Deportes,"todos hablando de liga y de equipo, menos los medios tradicionales",4
c000138,seed_ent_4,2024-10-25,Entretenimiento,"primera vez que escucho de estreno, alguien me explica que paso con temporada",3
c000134,seed_ent_5,2024-10-25,Entretenimiento,"llevo dias viendo videos sobre guion, la actor cada vez es peor",2
c000129,seed_ent_5,2024-10-25,Entretenimiento,yo creo que streaming y guion se van a poner peor el proximo mes,5
c000124,seed_ent_2,2024-10-25,Entretenimiento,yo creo que actriz y temporada se van a poner peor el proximo mes,5
c000143,seed_dep_1,2024-10-25,Deportes,"llevo dias viendo videos sobre entrenador, la arbitro cada vez es peor",4
c000156,seed_cli_1,2024-10-26,Clima y Energia,"mi familia esta afectada por inundacion, tambien por huracan, gracias por cubrir el tema",3
c000135,seed_ent_1,2024-10-26,Entretenimiento,"primera vez que escucho de banda, alguien me explica que paso con actor",4
c000133,seed_ent_1,2024-10-26,Entretenimiento,porque nadie habla de temporada y actriz en las noticias grandes,4
c000162,seed_cli_3,2024-10-26,Clima y Energia,porque nadie habla de sequia y temperatura en las noticias grandes,5
c000128,seed_ent_1,2024-10-26,Entretenimiento,yo creo que premio y pelicula se van a poner peor el proximo mes,5
c000140,seed_dep_2,2024-10-26,Deportes,"primera vez que escucho de lesion, alguien me explica que paso con partido",4
c000126,seed_ent_1,2024-10-27,Entretenimiento,"todos hablando de festival y de guion, menos los medios tradicionales",5
c000159,seed_cli_5,2024-10-27,Clima y Energia,"todos hablando de sismo y de tormenta, menos los medios tradicionales",3
c000158,seed_cli_3,2024-10-27,Clima y Energia,"todos hablando de inundacion y de temperatura, menos los medios tradicionales",2
c000157,seed_cli_4,2024-10-27,Clima y Energia,"este canal explico calor mejor que cualquier noticiero, mencionaron sismo",3
c000119,seed_eco_5,2024-10-27,Economia,"ahorro otra vez en tendencias, la desempleo va para largo",4
c000131,seed_ent_2,2024-10-27,Entretenimiento,"pelicula otra vez en tendencias, la serie va para largo",1
c000130,seed_ent_3,2024-10-27,Entretenimiento,"interesante el analisis sobre actriz y director, deberian hacer una segunda parte",6
c000188,seed_ent_1,2024-10-28,Entretenimiento,porque nadie habla de temporada y trailer en las noticias grandes,2
c000194,seed_ent_1,2024-10-28,Entretenimiento,"este canal explico cancion mejor que cualquier noticiero, mencionaron actor",3
c000181,seed_ent_3,2024-10-28,Entretenimiento,"no puedo creer lo que paso con concierto y guion, alguien mas lo vio",2
c000171,seed_eco_2,2024-10-28,Economia,"llevo dias viendo videos sobre salario, la inversion cada vez es peor",1
c000197,seed_dep_4,2024-10-28,Deportes,yo creo que entrenador y gol se van a poner peor el proximo mes,3
c000202,seed_dep_4,2024-10-28,Deportes,"interesante el analisis sobre medalla y campeonato, deberian hacer una segunda parte",8
c000203,seed_dep_2,2024-10-28,Deportes,yo creo que seleccion y portero se van a poner peor el proximo mes,4
c000191,seed_ent_4,2024-10-29,Entretenimiento,"cancion otra vez en tendencias, la premio va para largo",2
c000169,seed_eco_5,2024-10-29,Economia,"este canal explico dolar mejor que cualquier noticiero, mencionaron deuda",4
c000189,seed_ent_1,2024-10-29,Entretenimiento,porque nadie habla de serie y director en las noticias grandes,6
c000216,seed_cli_2,2024-10-29,Clima y Energia,"primera vez que escucho de solar, alguien me explica que paso con sequia",2
c000213,seed_cli_3,2024-10-29,Clima y Energia,"interesante el analisis sobre renovables y sismo, deberian hacer una segunda parte",2
c000192,seed_ent_4,2024-10-29,Entretenimiento,"mi familia esta afectada por trailer, tambien por pelicula, gracias por cubrir el tema",5
c000208,seed_dep_5,2024-10-29,Deportes,"interesante el analisis sobre jugador y transferencia, deberian hacer una segunda parte",2
c000164,seed_eco_4,2024-10-29,Economia,"llevo dias viendo videos sobre impuestos, la dolar cada vez es peor",4
c000172,seed_eco_3,2024-10-30,Economia,"primera vez que escucho de deuda, alguien me explica que paso con gasolina",6
c000186,seed_ent_1,2024-10-30,Entretenimiento,"este canal explico premio mejor que cualquier noticiero, mencionaron festival",2
c000211,seed_cli_2,2024-10-30,Clima y Energia,yo creo que clima y sequia se van a poner peor el proximo mes,1
c000195,seed_ent_2,2024-10-30,Entretenimiento,"este canal explico estreno mejor que cualquier noticiero, mencionaron festival",4
c000209,seed_dep_5,2024-10-31,Deportes,porque nadie habla de liga y campeonato en las noticias grandes,1
c000179,seed_eco_2,2024-10-31,Economia,"mi familia esta afectada por inversion, tambien por empleo, gracias por cubrir el tema",1
c000178,seed_eco_1,2024-10-31,Economia,"llevo dias viendo videos sobre gasolina, la mercado cada vez es peor",5
c000177,seed_eco_1,2024-10-31,Economia,"precios otra vez en tendencias, la empleo va para largo",4
c000196,seed_ent_5,2024-10-31,Entretenimiento,"mi familia esta afectada por concierto, tambien por director, gracias por cubrir el tema",3
c000201,seed_dep_3,2024-10-31,Deportes,porque nadie habla de transferencia y seleccion en las noticias grandes,2
c000198,seed_dep_4,2024-10-31,Deportes,"no puedo creer lo que paso con lesion y partido, alguien mas lo vio",5
c000212,seed_cli_4,2024-10-31,Clima y Energia,"inundacion otra vez en tendencias, la huracan va para largo",3
c000200,seed_dep_1,2024-11-01,Deportes,"primera vez que escucho de arbitro, alguien me explica que paso con lesion",2
c000199,seed_dep_4,2024-11-01,Deportes,"llevo dias viendo videos sobre portero, la transferencia cada vez es peor",1
c000166,seed_eco_3,2024-11-01,Economia,"mi familia esta afectada por inversion, tambien por impuestos, gracias por cubrir el tema",1
c000183,seed_ent_2,2024-11-01,Entretenimiento,yo creo que actor y streaming se van a poner peor el proximo mes,5
c000182,seed_ent_4,2024-11-01,Entretenimiento,"todos hablando de serie y de director, menos los medios tradicionales",9
c000205,seed_dep_5,2024-11-01,Deportes,"todos hablando de liga y de portero, menos los medios tradicionales",3
c000215,seed_cli_1,2024-11-01,Clima y Energia,"primera vez que escucho de temperatura, alguien me explica que paso con incendio",6
c000207,seed_dep_5,2024-11-01,Deportes,"llevo dias viendo videos sobre portero, la liga cada vez es peor",4
c000210,seed_dep_2,2024-11-02,Deportes,"no puedo creer lo que paso con gol y partido, alguien mas lo vio",3
c000176,seed_eco_4,2024-11-02,Economia,"todos hablando de credito y de salario, menos los medios tradicionales",1
c000175,seed_eco_2,2024-11-02,Economia,"no puedo creer lo que paso con ahorro y impuestos, alguien mas lo vio",3
c000170,seed_eco_4,2024-11-02,Economia,"ahorro otra vez en tendencias, la credito va para largo",4
c000168,seed_eco_2,2024-11-02,Economia,yo creo que inflacion y deuda se van a poner peor el proximo mes,7
c000214,seed_cli_4,2024-11-02,Clima y Energia,"mi familia esta afectada por inundacion, tambien por apagon, gracias por cubrir el tema",1
c000163,seed_eco_1,2024-11-02,Economia,"llevo dias viendo videos sobre inflacion, la deuda cada vez es peor",5
c000204,seed_dep_1,2024-11-02,Deportes,porque nadie habla de gol y portero en las noticias grandes,2
c000190,seed_ent_5,2024-11-02,Entretenimiento,"todos hablando de actriz y de streaming, menos los medios tradicionales",2
c000174,seed_eco_5,2024-11-03,Economia,"precios otra vez en tendencias, la inflacion va para largo",4
c000193,seed_ent_4,2024-11-03,Entretenimiento,"este canal explico serie mejor que cualquier noticiero, mencionaron estreno",2
c000187,seed_ent_2,2024-11-03,Entretenimiento,"primera vez que escucho de cancion, alguien me explica que paso con concierto",0
c000185,seed_ent_4,2024-11-03,Entretenimiento,"este canal explico director mejor que cualquier noticiero, mencionaron guion",2
c000184,seed_ent_1,2024-11-03,Entretenimiento,"llevo dias viendo videos sobre temporada, la estreno cada vez es peor",3
c000180,seed_ent_4,2024-11-03,Entretenimiento,"todos hablando de estreno y de director, menos los medios tradicionales",3
c000173,seed_eco_3,2024-11-03,Economia,"mi familia esta afectada por impuestos, tambien por inversion, gracias por cubrir el tema",2
c000167,seed_eco_3,2024-11-03,Economia,"llevo dias viendo videos sobre inversion, la gasolina cada vez es peor",1
c000165,seed_eco_5,2024-11-03,Economia,"llevo dias viendo videos sobre impuestos, la precios cada vez es peor",3
c000206,seed_dep_3,2024-11-03,Deportes,"llevo dias viendo videos sobre jugador, la estadio cada vez es peor",1
c000239,seed_ent_2,2024-11-04,Entretenimiento,"este canal explico serie mejor que cualquier noticiero, mencionaron trailer",3
c000267,seed_cli_5,2024-11-04,Clima y Energia,"apagon otra vez en tendencias, la tormenta va para largo",4
c000264,seed_dep_2,2024-11-04,Deportes,porque nadie habla de seleccion y lesion en las noticias grandes,3
c000261,seed_dep_4,2024-11-04,Deportes,"primera vez que escucho de lesion, alguien me explica que paso con torneo",1
c000252,seed_ent_1,2024-11-04,Entretenimiento,"llevo dias viendo videos sobre premio, la festival cada vez es peor",7
c000247,seed_ent_1,2024-11-04,Entretenimiento,yo creo que festival y actor se van a poner peor el proximo mes,10
c000230,seed_eco_3,2024-11-04,Economia,"primera vez que escucho de inflacion, alguien me explica que paso con dolar",2
c000254,seed_ent_5,2024-11-04,Entretenimiento,"interesante el analisis sobre temporada y director, deberian hacer una segunda parte",1
c000221,seed_eco_3,2024-11-04,Economia,"interesante el analisis sobre empleo y peso, deberian hacer una segunda parte",5
c000223,seed_eco_1,2024-11-04,Economia,"llevo dias viendo videos sobre sueldo, la credito cada vez es peor",3
c000244,seed_ent_5,2024-11-05,Entretenimiento,"todos hablando de banda y de actriz, menos los medios tradicionales",2
c000258,seed_dep_1,2024-11-05,Deportes,"equipo otra vez en tendencias, la entrenador va para largo",1
c000245,seed_ent_3,2024-11-06,Entretenimiento,"interesante el analisis sobre cancion y banda, deberian hacer una segunda parte",2
c000268,seed_cli_5,2024-11-06,Clima y Energia,"no puedo creer lo que paso con lluvia y sequia, alguien mas lo vio",2
c000243,seed_ent_3,2024-11-06,Entretenimiento,"actriz otra vez en tendencias, la banda va para largo",3
c000219,seed_eco_1,2024-11-06,Economia,porque nadie habla de precios y dolar en las noticias grandes,4
c000233,seed_eco_2,2024-11-06,Economia,"interesante el analisis sobre inversion y dolar, deberian hacer una segunda parte",0
c000246,seed_ent_5,2024-11-06,Entretenimiento,"no puedo creer lo que paso con actor y premio, alguien mas lo vio",2
c000237,seed_eco_1,2024-11-06,Economia,yo creo que desempleo y sueldo se van a poner peor el proximo mes,2
c000255,seed_dep_2,2024-11-06,Deportes,"todos hablando de medalla y de seleccion, menos los medios tradicionales",5
c000222,seed_eco_2,2024-11-06,Economia,yo creo que inflacion y salario se van a poner peor el proximo mes,5
c000248,seed_ent_3,2024-11-07,Entretenimiento,"interesante el analisis sobre streaming y estreno, deberian hacer una segunda parte",3
c000249,seed_ent_4,2024-11-07,Entretenimiento,"premio otra vez en tendencias, la estreno va para largo",5
c000225,seed_eco_3,2024-11-07,Economia,"no puedo creer lo que paso con mercado y salario, alguien mas lo vio",5
c000257,seed_dep_5,2024-11-07,Deportes,"todos hablando de gol y de transferencia, menos los medios tradicionales",2
c000262,seed_dep_1,2024-11-07,Deportes,"llevo dias viendo videos sobre seleccion, la portero cada vez es peor",2
c000218,seed_eco_1,2024-11-07,Economia,"llevo dias viendo videos sobre sueldo, la deuda cada vez es peor",3
c000269,seed_cli_5,2024-11-07,Clima y Energia,"este canal explico renovables mejor que cualquier noticiero, mencionaron tormenta",4
c000270,seed_cli_2,2024-11-07,Clima y Energia,"primera vez que escucho de temperatura, alguien me explica que paso con sequia",4
c000250,seed_ent_3,2024-11-07,Entretenimiento,"todos hablando de pelicula y de trailer, menos los medios tradicionales",1
c000256,seed_dep_3,2024-11-07,Deportes,"gol otra vez en tendencias, la equipo va para largo",3
c000224,seed_eco_5,2024-11-07,Economia,"interesante el analisis sobre credito y precios, deberian hacer una segunda parte",6
c000240,seed_ent_2,2024-11-07,Entretenimiento,"no puedo creer lo que paso con concierto y actriz, alguien mas lo vio",4
c000228,seed_eco_2,2024-11-07,Economia,"todos hablando de mercado y de peso, menos los medios tradicionales",2
