Fecha,Producción (tn),Striping Ratio,Humedad(%),Costo (US$/TN)
2022-05-14,2500.0,1.15,5,11.6
2022-05-15,303.0,0.19,5,0.87
2022-05-16,699.0,0.38,4,2.24
2022-05-17,1537.0,1.15,5,7.85
2022-05-18,609.0,0.31,4,3.96
2022-05-19,1270.0,1.15,4,5.69
2022-05-20,924.0,0.94,4,4.43
2022-05-21,632.0,0.57,6,2.48
2022-05-22,275.0,0.31,4,1.49
2022-05-23,994.0,0.64,5,4.33
2022-05-24,583.0,0.72,4,2.9
2022-05-25,849.0,0.38,7,4.22
2022-05-26,1167.0,1.43,4,5.06
2022-05-27,1387.0,0.95,5,6.15
2022-05-28,698.0,0.79,6,2.48
2022-05-29,631.0,0.85,6,3.12
2022-05-30,441.0,1.14,4,2.59
2022-05-31,1421.0,0.91,6,0.0
2022-06-01,2388.0,1.41,5,10.79
2022-06-02,1498.0,0.68,5,7.2
2022-06-03,1666.0,1.81,4,7.02
2022-06-04,612.0,0.64,4,2.14
2022-06-05,1132.0,0.57,6,5.49
2022-06-06,1329.0,0.69,5,4.75
2022-06-07,138.0,0.1,5,0.97
2022-06-08,508.0,0.44,6,1.89
2022-06-09,1952.0,0.61,6,9.42
2022-06-10,398.0,0.84,4,2.45
2022-06-11,1798.0,1.11,5,7.98
2022-06-12,396.0,0.29,4,2.7
2022-06-13,521.0,0.56,6,2.08
2022-06-14,1142.0,0.76,5,4.75
2022-06-15,936.0,0.42,7,3.59
2022-06-16,734.0,0.57,4,2.96
2022-06-17,1914.0,1.0,4,8.49
2022-06-18,447.0,0.48,4,2.57
2022-06-19,833.0,0.48,4,4.4
2022-06-20,1215.0,0.53,4,4.29
2022-06-21,1043.0,0.65,7,4.81
2022-06-22,642.0,0.45,4,2.37
2022-06-23,654.0,0.83,4,3.19
2022-06-24,1377.0,1.46,6,8.09
2022-06-25,1409.0,1.21,5,6.79
2022-06-26,1057.0,0.75,6,5.52
2022-06-27,570.0,0.41,4,3.9
2022-06-28,665.0,0.98,5,4.17
2022-06-29,893.0,0.92,4,4.06
2022-06-30,960.0,1.29,4,4.05
2022-07-01,1191.0,0.84,7,5.6
2022-07-02,811.0,1.51,4,4.01
2022-07-03,1361.0,0.89,5,5.31
2022-07-04,1353.0,0.65,5,6.2
2022-07-05,1694.0,0.79,4,7.61
2022-07-06,913.0,0.88,6,5.54
2022-07-07,1066.0,0.58,4,4.59
2022-07-08,843.0,1.51,5,4.7
2022-07-09,574.0,0.75,7,2.69
2022-07-10,2359.0,1.14,5,10.89
2022-07-11,1586.0,0.93,7,7.18
2022-07-12,1340.0,0.74,4,5.3
2022-07-13,897.0,0.35,5,4.04
2022-07-14,548.0,0.44,4,2.89
2022-07-15,1459.0,1.6,6,7.25
2022-07-16,835.0,0.74,7,4.76
2022-07-17,1115.0,1.19,4,4.5
2022-07-18,664.0,1.07,5,3.04
2022-07-19,1024.0,0.71,4,5.11
2022-07-20,686.0,0.87,5,3.08
2022-07-21,699.0,0.3,5,3.37
2022-07-22,1018.0,1.4,7,3.81
2022-07-23,393.0,1.16,5,4.15
2022-07-24,403.0,0.72,4,2.08
2022-07-25,608.0,0.69,4,3.76
2022-07-26,806.0,0.65,4,3.61
2022-07-27,1382.0,1.34,4,6.78
2022-07-28,829.0,0.97,4,4.99
2022-07-29,894.0,0.58,6,4.92
2022-07-30,773.0,0.38,5,3.45
2022-07-31,1066.0,0.44,5,4.7
2022-08-01,571.0,1.09,4,3.74
2022-08-02,852.0,0.66,6,5.5
2022-08-03,1109.0,0.92,6,5.4
2022-08-04,1014.0,0.75,4,5.88
2022-08-05,909.0,0.4,6,4.03
2022-08-06,914.0,0.36,5,4.7
2022-08-07,1163.0,0.64,4,5.9
2022-08-08,2417.0,1.04,5,10.3
2022-08-09,591.0,0.49,5,2.46
2022-08-10,2453.0,1.06,4,11.33
2022-08-11,577.0,1.68,7,3.35
2022-08-12,258.0,0.92,6,1.35
2022-08-13,678.0,0.7,5,2.97
2022-08-14,1076.0,0.72,5,4.66
2022-08-15,2161.0,1.05,5,10.04
2022-08-16,548.0,0.86,5,3.27
2022-08-17,1159.0,0.74,5,5.76
2022-08-18,425.0,0.92,4,2.7
2022-08-19,2122.0,1.18,5,9.09
2022-08-20,1602.0,2.0,6,8.33
2022-08-21,700.0,0.58,5,4.11
2022-08-22,1731.0,1.41,4,8.32
2022-08-23,850.0,0.42,6,4.22
2022-08-24,1644.0,0.74,4,6.76
2022-08-25,905.0,1.66,4,4.94
2022-08-26,925.0,1.04,4,4.03
2022-08-27,708.0,0.81,4,3.5
2022-08-28,1236.0,2.14,6,5.54
2022-08-29,961.0,0.69,5,3.53
2022-08-30,1172.0,1.24,4,5.52
2022-08-31,373.0,1.04,6,2.09
2022-09-01,1674.0,1.7,6,8.08
2022-09-02,1885.0,0.71,6,8.19
2022-09-03,959.0,0.68,4,4.46
2022-09-04,2330.0,1.23,5,10.67
2022-09-05,2056.0,1.8,7,9.37
2022-09-06,1249.0,0.96,6,5.74
2022-09-07,1742.0,1.45,4,8.91
2022-09-08,1516.0,0.59,4,6.62
2022-09-09,324.0,0.43,5,1.69
2022-09-10,782.0,1.27,7,4.29
2022-09-11,1293.0,0.75,5,5.78
2022-09-12,1949.0,1.01,5,8.22
2022-09-13,410.0,1.3,4,2.02
2022-09-14,336.0,0.3,5,1.31
2022-09-15,877.0,0.51,6,4.63
2022-09-16,267.0,0.2,5,1.06
2022-09-17,861.0,1.46,6,4.53
2022-09-18,1089.0,1.16,7,5.82
2022-09-19,534.0,0.98,4,2.76
2022-09-20,873.0,0.58,5,4.47
2022-09-21,1446.0,0.54,4,5.39
2022-09-22,677.0,0.28,6,3.1
2022-09-23,582.0,1.22,5,3.36
2022-09-24,853.0,0.88,5,4.21
2022-09-25,505.0,0.86,6,1.85
2022-09-26,2241.0,1.19,5,10.65
2022-09-27,920.0,0.49,7,3.81
2022-09-28,615.0,0.52,5,3.22
2022-09-29,1008.0,0.47,4,4.52
2022-09-30,851.0,0.41,5,4.5
2022-10-01,802.0,1.03,6,5.44
2022-10-02,677.0,0.29,4,0.0
2022-10-03,659.0,0.37,6,2.77
2022-10-04,377.0,0.46,7,2.25
2022-10-05,1741.0,0.97,4,7.08
2022-10-06,1208.0,0.48,7,5.94
2022-10-07,1059.0,0.89,4,5.48
2022-10-08,844.0,0.75,4,4.36
2022-10-09,530.0,1.19,4,3.17
2022-10-10,595.0,0.64,6,3.88
2022-10-11,400.0,0.74,5,1.6
2022-10-12,634.0,0.42,4,3.02
2022-10-13,491.0,0.38,5,2.0
2022-10-14,1998.0,0.73,5,9.21
2022-10-15,1397.0,0.65,4,5.08
2022-10-16,940.0,0.61,6,4.41
2022-10-17,560.0,1.13,6,3.42
2022-10-18,505.0,0.35,5,1.91
2022-10-19,816.0,1.81,7,4.32
2022-10-20,1427.0,1.08,5,6.62
2022-10-21,405.0,0.69,7,2.96
2022-10-22,1200.0,0.79,5,4.91
2022-10-23,632.0,0.56,5,2.6
2022-10-24,693.0,0.47,4,3.93
2022-10-25,926.0,0.39,6,4.07
2022-10-26,570.0,0.38,5,2.29
2022-10-27,795.0,1.44,4,4.68
2022-10-28,545.0,0.79,4,2.56
2022-10-29,659.0,1.39,5,4.34
2022-10-30,1317.0,0.65,5,5.51
2022-10-31,951.0,0.45,6,4.28
2022-11-01,1314.0,0.82,6,6.62
2022-11-02,628.0,0.4,4,2.82
2022-11-03,1205.0,0.86,6,6.09
2022-11-04,352.0,0.19,4,1.69
2022-11-05,926.0,0.33,6,5.39
2022-11-06,1245.0,0.92,6,6.78
2022-11-07,345.0,1.33,5,1.63
2022-11-08,632.0,0.76,6,3.59
2022-11-09,925.0,0.9,4,3.95
2022-11-10,1480.0,0.89,5,6.82
2022-11-11,659.0,0.67,6,3.38
2022-11-12,1181.0,0.46,5,4.62
2022-11-13,1798.0,0.76,5,8.54
2022-11-14,1209.0,1.32,5,6.0
2022-11-15,810.0,0.57,6,3.71
2022-11-16,1092.0,1.27,4,5.07
2022-11-17,649.0,0.66,4,3.28
2022-11-18,944.0,0.77,6,4.78
2022-11-19,831.0,0.57,6,3.89
2022-11-20,1074.0,1.01,4,3.4
2022-11-21,723.0,1.02,4,3.72
2022-11-22,1105.0,0.54,4,4.08
2022-11-23,719.0,0.33,4,3.15
2022-11-24,1391.0,0.48,5,5.26
2022-11-25,758.0,0.83,6,2.98
2022-11-26,272.0,0.64,5,2.46
2022-11-27,513.0,2.0,5,3.31
2022-11-28,911.0,0.72,5,4.09
2022-11-29,1989.0,0.98,6,9.13
2022-11-30,1364.0,0.92,5,6.03
2022-12-01,245.0,0.6,7,2.95
2022-12-02,386.0,0.48,5,1.92
2022-12-03,1576.0,0.69,4,7.14
2022-12-04,1242.0,0.8,5,6.28
2022-12-05,2500.0,1.16,4,11.86
2022-12-06,704.0,0.62,5,2.99
2022-12-07,563.0,0.91,4,2.75
2022-12-08,937.0,0.7,4,5.13
2022-12-09,697.0,0.33,6,3.77
2022-12-10,1502.0,0.7,4,7.27
2022-12-11,684.0,0.56,6,2.55
2022-12-12,781.0,0.67,4,4.66
2022-12-13,522.0,0.77,5,2.34
2022-12-14,1318.0,0.83,5,6.14
2022-12-15,540.0,0.21,5,2.45
2022-12-16,1115.0,0.47,4,4.42
2022-12-17,2162.0,1.29,4,8.77
2022-12-18,320.0,0.45,4,0.7
2022-12-19,1841.0,1.02,4,8.25
2022-12-20,1043.0,0.63,5,3.88
2022-12-21,479.0,0.39,7,1.82
2022-12-22,956.0,0.61,6,4.36
2022-12-23,1298.0,0.86,6,4.43
2022-12-24,583.0,0.59,6,3.46
2022-12-25,1148.0,1.15,5,4.08
2022-12-26,1920.0,0.67,4,8.24
2022-12-27,684.0,0.32,7,3.29
2022-12-28,519.0,0.5,5,2.95
2022-12-29,844.0,0.87,5,4.13
2022-12-30,929.0,0.99,4,5.72
2022-12-31,1541.0,0.72,5,6.98
2023-01-01,830.0,0.26,5,4.36
2023-01-02,717.0,0.48,6,3.02
2023-01-03,512.0,0.71,5,2.8
2023-01-04,346.0,0.52,5,2.87
2023-01-05,433.0,0.76,7,2.4
2023-01-06,432.0,1.06,4,2.68
2023-01-07,786.0,0.6,5,4.34
2023-01-08,380.0,0.4,4,1.52
2023-01-09,877.0,0.45,6,2.78
2023-01-10,2137.0,0.75,7,9.5
2023-01-11,1564.0,0.55,4,7.38
2023-01-12,782.0,0.47,6,2.9
2023-01-13,2500.0,1.6,4,11.56
2023-01-14,931.0,0.96,7,5.05
2023-01-15,1000.0,0.58,6,3.28
2023-01-16,836.0,1.82,6,4.18
2023-01-17,887.0,0.52,4,3.82
2023-01-18,672.0,1.2,7,3.65
2023-01-19,788.0,1.39,6,3.84
2023-01-20,1848.0,1.14,4,7.79
2023-01-21,1650.0,0.73,6,8.34
2023-01-22,266.0,0.39,4,1.43
2023-01-23,403.0,0.6,6,1.86
2023-01-24,588.0,0.29,4,2.7
2023-01-25,1433.0,0.61,6,6.72
2023-01-26,1669.0,0.66,5,7.35
2023-01-27,1296.0,1.0,4,5.86
2023-01-28,478.0,1.07,4,2.36
2023-01-29,679.0,0.9,4,3.06
2023-01-30,1158.0,1.18,5,5.23
2023-01-31,794.0,0.46,4,3.85
2023-02-01,738.0,0.54,5,2.93
2023-02-02,743.0,0.56,4,3.75
2023-02-03,1587.0,1.06,4,8.03
2023-02-04,1218.0,0.61,6,5.73
