edad,monto_credito,antiguedad_laboral_meses,correo_dominio_gratuito,telefono_verificado,reputacion_negocio,ingresos_declarados,ingresos_declarados_reportados_bis,monto_credito_normalizado,region_operativa_constante,target
29,3444.0,4.0,0,0,0.271,7595.0,7590.0,2.238,1,0
58,4769.0,93.0,1,1,0.933,6828.0,7193.0,3.184,1,0
36,3651.0,22.0,1,0,0.517,6936.0,6986.0,2.384,1,0
25,3450.0,23.0,1,1,0.719,7214.0,7089.0,2.397,1,1
54,5403.0,0.0,1,1,0.759,10678.0,10678.0,3.719,1,0
44,3340.0,11.0,0,1,0.593,10669.0,10680.0,2.277,1,0
33,9385.0,23.0,0,1,0.564,18189.0,17428.0,6.215,1,0
63,2680.0,1.0,1,1,0.796,6305.0,6473.0,1.772,1,0
60,3436.0,52.0,1,1,0.519,12416.0,12010.0,2.284,1,0
51,4318.0,21.0,1,0,0.587,7051.0,7049.0,2.884,1,0
52,1598.0,4.0,0,0,0.528,10411.0,10130.0,1.038,1,0
32,5302.0,16.0,1,1,0.525,6504.0,6375.0,3.477,1,0
64,5417.0,69.0,1,1,0.901,12633.0,12544.0,3.463,1,0
25,2027.0,65.0,0,1,0.51,4625.0,4573.0,1.381,1,0
34,6560.0,19.0,0,0,0.388,9958.0,9750.0,4.414,1,0
50,4347.0,17.0,1,1,1.0,6570.0,6380.0,2.942,1,0
38,7657.0,5.0,0,1,0.473,21045.0,20065.0,4.93,1,0
20,5927.0,37.0,0,1,0.674,8939.0,9031.0,3.905,2,0
59,5142.0,10.0,1,1,0.421,4975.0,5099.0,3.399,2,0
27,11805.0,3.0,1,1,0.753,8650.0,8425.0,7.844,1,0
42,8064.0,119.0,0,1,0.787,11468.0,10812.0,5.615,1,0
36,2043.0,4.0,0,0,0.671,4154.0,4035.0,1.351,1,0
20,9479.0,4.0,1,1,0.304,6780.0,6578.0,6.233,2,0
28,13386.0,6.0,1,1,0.624,7614.0,7817.0,8.59,1,0
46,7914.0,2.0,1,1,0.315,5006.0,5076.0,5.262,1,0
64,3968.0,21.0,0,1,0.771,10985.0,11077.0,2.591,1,1
57,12744.0,27.0,1,1,0.455,7723.0,7855.0,8.485,1,0
50,4431.0,13.0,0,0,0.608,4476.0,4542.0,3.02,1,0
31,857.0,18.0,1,1,0.217,4621.0,4613.0,0.554,2,1
25,4391.0,14.0,1,0,0.483,5475.0,5655.0,2.828,1,0
61,3077.0,46.0,1,1,0.4,13026.0,13203.0,2.085,1,0
42,7913.0,6.0,1,0,0.815,17006.0,17047.0,5.19,1,0
25,2524.0,68.0,0,0,0.596,4361.0,4333.0,1.694,1,0
38,621.0,19.0,1,0,0.753,12304.0,12143.0,0.418,1,0
47,7154.0,49.0,1,1,0.362,8430.0,8167.0,4.689,1,1
49,5248.0,31.0,0,1,0.529,12585.0,12633.0,3.709,2,0
44,7286.0,26.0,1,0,0.643,3464.0,3604.0,5.11,2,0
53,2050.0,13.0,0,1,0.627,6195.0,6369.0,1.303,1,0
48,2899.0,12.0,1,1,0.396,7535.0,7531.0,1.823,1,0
35,2747.0,18.0,1,1,0.498,4186.0,4127.0,1.884,1,0
26,3984.0,94.0,0,1,0.531,11427.0,11246.0,2.642,1,0
55,9649.0,44.0,1,1,0.385,9980.0,9904.0,6.383,1,0
40,6747.0,6.0,1,0,0.626,10862.0,11221.0,4.517,1,1
28,11497.0,14.0,0,0,0.379,5405.0,5291.0,7.718,1,0
52,10207.0,70.0,1,1,0.668,11936.0,12063.0,6.983,2,0
38,6947.0,31.0,0,1,0.516,9541.0,9230.0,4.667,1,0
33,1747.0,74.0,0,0,0.363,9153.0,9291.0,1.241,1,0
48,4971.0,18.0,0,0,0.488,4973.0,4867.0,3.271,1,0
38,3724.0,0.0,1,1,0.391,8240.0,8414.0,2.474,1,1
37,2142.0,1.0,0,1,0.745,10052.0,10488.0,1.406,1,0
42,6463.0,27.0,1,1,0.507,9187.0,8758.0,4.348,2,0
39,5736.0,16.0,0,1,0.401,18994.0,19410.0,3.861,1,0
63,5579.0,34.0,0,0,0.336,8271.0,8622.0,3.686,1,0
48,8578.0,12.0,0,1,0.479,7338.0,7347.0,5.567,2,0
39,5633.0,29.0,1,0,0.596,5097.0,5143.0,3.932,1,1
24,4876.0,106.0,1,1,0.568,6503.0,6557.0,3.18,2,0
38,3283.0,10.0,0,1,0.767,9884.0,10156.0,2.16,1,0
56,6411.0,12.0,1,1,0.73,4497.0,4515.0,4.162,1,0
61,4765.0,14.0,1,1,0.689,5607.0,5780.0,3.023,1,0
40,3051.0,6.0,1,1,1.0,12211.0,12444.0,2.028,1,0
52,6361.0,59.0,1,1,0.745,8812.0,8863.0,4.094,1,0
30,7141.0,68.0,1,1,0.797,11462.0,11009.0,4.866,1,0
51,3753.0,21.0,1,1,0.386,6422.0,6496.0,2.572,1,1
35,9165.0,5.0,0,0,0.361,16082.0,16436.0,6.042,1,0
42,6065.0,12.0,0,1,0.389,8642.0,8487.0,4.084,1,0
26,2973.0,3.0,0,0,0.116,11337.0,11513.0,1.96,1,0
29,3084.0,25.0,0,1,0.492,5644.0,5776.0,2.06,1,0
50,3278.0,5.0,0,1,0.37,9540.0,9940.0,2.145,2,0
34,7750.0,34.0,1,1,0.496,11838.0,12046.0,5.022,1,0
22,4717.0,28.0,0,0,0.877,15242.0,15699.0,3.3,1,0
39,5014.0,29.0,1,0,0.933,3463.0,3642.0,3.283,1,0
20,5792.0,10.0,1,1,0.432,8060.0,8349.0,3.971,1,0
28,4446.0,6.0,0,0,0.608,10403.0,11179.0,3.025,2,0
28,5634.0,20.0,0,0,0.389,4913.0,4820.0,3.735,1,0
27,4388.0,14.0,0,1,1.0,6812.0,6758.0,2.924,1,0
32,7573.0,79.0,1,0,0.585,7045.0,7018.0,5.27,1,0
40,7257.0,1.0,1,1,0.359,9583.0,9230.0,4.904,2,0
28,4443.0,2.0,0,1,0.626,6270.0,6346.0,3.07,1,0
30,13473.0,14.0,1,0,0.554,8455.0,8310.0,8.997,2,0
42,2440.0,6.0,1,1,0.708,10200.0,10426.0,1.635,1,0
28,6203.0,16.0,1,1,0.373,10840.0,10953.0,3.974,1,0
52,9122.0,4.0,1,1,0.58,10071.0,9696.0,6.152,1,0
35,3748.0,10.0,1,0,0.357,6988.0,6989.0,2.594,1,0
25,4213.0,38.0,0,1,0.402,3843.0,4092.0,2.732,1,0
55,6573.0,53.0,0,1,0.925,9082.0,8888.0,4.357,1,0
63,10893.0,6.0,0,0,0.672,8217.0,8348.0,7.3,2,0
63,9505.0,0.0,1,1,0.769,5142.0,5278.0,6.201,1,0
56,2444.0,14.0,1,1,0.627,8344.0,8153.0,1.564,1,0
20,12298.0,9.0,1,1,0.753,15897.0,15144.0,8.044,1,0
22,5111.0,33.0,1,0,0.28,7092.0,7212.0,3.441,1,0
22,7480.0,24.0,0,1,0.669,23393.0,23367.0,5.012,2,0
47,6431.0,4.0,1,1,0.576,8685.0,8813.0,4.172,1,0
21,4084.0,49.0,1,1,0.294,15572.0,15051.0,2.658,2,0
43,3335.0,17.0,1,1,0.489,2815.0,2670.0,2.339,1,0
21,12876.0,90.0,0,1,0.283,8233.0,8107.0,8.467,1,0
43,9662.0,30.0,1,1,0.613,4528.0,4481.0,6.612,1,0
42,7888.0,107.0,1,1,0.707,10115.0,10096.0,5.2,1,0
39,7585.0,13.0,1,1,0.281,10493.0,10090.0,4.836,1,0
44,4644.0,18.0,1,1,0.723,7088.0,7054.0,3.101,1,1
20,8769.0,8.0,0,1,0.447,8877.0,8715.0,5.751,2,1
33,7769.0,95.0,0,0,0.718,6882.0,7087.0,4.943,1,0
29,10126.0,2.0,0,1,1.0,2895.0,2809.0,6.871,2,0
21,5384.0,4.0,0,1,0.657,12497.0,12359.0,3.609,1,0
29,3251.0,35.0,0,0,0.603,7097.0,7159.0,2.156,2,0
20,6367.0,16.0,1,1,0.251,11410.0,11240.0,4.173,1,1
60,5964.0,108.0,1,1,0.429,11512.0,11755.0,3.786,1,0
43,5841.0,37.0,1,0,0.359,9458.0,9271.0,3.962,1,0
59,2815.0,69.0,1,1,0.504,5924.0,5624.0,1.869,1,0
24,3377.0,5.0,1,0,0.821,10619.0,10959.0,2.234,1,0
37,2838.0,45.0,1,1,0.439,6986.0,7321.0,1.959,1,0
47,6359.0,7.0,0,1,0.56,11886.0,12047.0,4.162,1,0
56,12044.0,3.0,1,1,0.531,13756.0,12862.0,7.668,1,0
53,6547.0,56.0,0,1,0.656,3908.0,3774.0,4.597,1,0
43,8973.0,6.0,1,1,0.817,15897.0,15760.0,5.848,2,0
25,4975.0,26.0,1,1,0.52,9024.0,9344.0,3.073,1,0
56,11157.0,47.0,1,1,0.988,12229.0,12398.0,7.48,1,0
38,5166.0,11.0,0,1,0.746,14548.0,14372.0,3.459,1,0
54,4401.0,28.0,0,1,0.404,6688.0,6763.0,2.894,1,0
50,6298.0,73.0,1,1,0.988,13068.0,13092.0,4.261,1,0
33,4162.0,15.0,1,1,0.483,16457.0,15613.0,2.737,1,0
53,7494.0,1.0,0,1,0.755,5042.0,4902.0,4.94,1,0
55,6740.0,2.0,0,0,0.501,11394.0,11106.0,4.423,1,0
49,6519.0,40.0,1,1,0.397,4152.0,4149.0,4.617,1,1
21,6936.0,10.0,1,0,0.365,4081.0,4105.0,4.793,1,0
38,8916.0,42.0,1,1,0.573,6315.0,6412.0,6.13,1,0
40,10244.0,48.0,1,0,0.322,9359.0,9863.0,6.79,1,0
61,7251.0,10.0,1,1,0.572,20471.0,20374.0,4.863,1,0
20,5636.0,6.0,1,1,0.993,14584.0,14816.0,3.862,1,0
54,11579.0,50.0,1,1,0.606,4673.0,4706.0,7.508,1,1
34,3304.0,5.0,1,1,0.599,6561.0,6113.0,2.28,1,1
50,4570.0,37.0,1,0,0.655,3323.0,3204.0,2.912,2,1
60,9675.0,1.0,1,1,0.873,4616.0,4657.0,6.64,2,1
30,10481.0,30.0,1,1,0.554,5428.0,5426.0,7.349,1,0
25,7290.0,12.0,1,1,0.437,8166.0,8353.0,4.919,1,0
35,11246.0,27.0,1,1,0.78,14201.0,14886.0,7.283,1,0
39,4839.0,28.0,0,1,0.391,10907.0,11649.0,3.211,1,0
46,6628.0,19.0,0,1,0.0,8666.0,8832.0,4.461,1,0
41,5878.0,42.0,0,1,0.175,9989.0,9706.0,3.801,1,1
45,1992.0,2.0,1,1,0.616,6570.0,6489.0,1.312,2,1
57,19233.0,10.0,1,1,0.557,6267.0,6260.0,12.994,2,0
37,5085.0,1.0,1,1,0.173,7292.0,7199.0,3.26,1,0
50,6103.0,71.0,1,1,0.564,8426.0,8620.0,4.074,2,0
20,9302.0,53.0,1,1,0.435,10859.0,10694.0,6.048,1,0
48,8908.0,15.0,0,1,0.708,7410.0,7497.0,5.826,1,0
28,5338.0,11.0,1,1,0.599,17510.0,17631.0,3.528,2,0
34,10321.0,23.0,1,0,0.293,20150.0,19890.0,7.023,1,0
20,9391.0,11.0,1,1,0.642,6429.0,6641.0,6.225,1,0
51,10374.0,11.0,1,1,0.453,8142.0,7719.0,7.206,1,1
25,10118.0,75.0,1,0,0.447,12807.0,13082.0,6.497,1,0
46,8056.0,60.0,1,1,0.659,6102.0,5902.0,5.399,2,0
61,6029.0,22.0,0,0,0.895,11753.0,12069.0,4.199,1,0
39,11027.0,12.0,0,1,0.666,7405.0,7201.0,7.109,1,0
48,11311.0,6.0,1,0,0.829,11381.0,11301.0,7.699,1,0
31,6486.0,48.0,0,1,0.567,13436.0,13443.0,4.351,1,0
55,4074.0,61.0,1,0,0.453,9025.0,9213.0,2.754,1,0
39,4167.0,10.0,1,0,0.315,9619.0,9437.0,2.837,2,0
23,3722.0,50.0,1,0,0.393,6898.0,6683.0,2.633,1,0
43,6698.0,68.0,1,1,0.522,8164.0,8008.0,4.322,1,0
23,4866.0,11.0,0,1,0.64,12452.0,12438.0,3.24,1,0
51,4819.0,26.0,1,1,0.576,9196.0,9115.0,3.234,1,0
22,4622.0,28.0,1,1,0.699,4913.0,5266.0,3.092,1,0
49,7420.0,26.0,0,1,0.506,6529.0,6816.0,5.069,1,0
58,4300.0,2.0,1,1,0.673,10360.0,10546.0,3.013,1,0
38,6826.0,14.0,0,1,0.606,9511.0,9238.0,4.551,1,0
27,4529.0,3.0,1,1,0.536,2712.0,2736.0,2.916,1,0
20,6789.0,25.0,1,1,0.548,5833.0,5646.0,4.608,1,1
55,1662.0,37.0,1,1,0.928,4398.0,4549.0,1.115,1,0
57,3769.0,45.0,1,0,0.728,6698.0,6831.0,2.507,1,0
21,4373.0,45.0,1,1,0.471,11953.0,11661.0,2.903,1,0
50,4854.0,3.0,1,1,0.192,10733.0,10457.0,3.097,1,0
47,7268.0,14.0,1,0,0.773,16295.0,15307.0,4.971,1,0
51,8802.0,3.0,0,1,0.671,9643.0,9889.0,5.764,1,0
49,3191.0,45.0,1,1,0.633,16893.0,16751.0,2.144,1,0
26,2372.0,6.0,1,0,0.342,6302.0,6327.0,1.559,2,0
27,10648.0,9.0,1,1,0.629,9670.0,9724.0,6.941,1,0
55,1924.0,23.0,1,1,0.921,13955.0,13824.0,1.241,2,0
34,4226.0,22.0,0,1,0.718,6717.0,6634.0,2.831,2,0
29,5037.0,29.0,1,1,0.101,3310.0,3390.0,3.214,1,0
27,2302.0,41.0,1,1,0.614,8669.0,8723.0,1.444,1,0
45,5656.0,21.0,0,1,0.816,11118.0,10774.0,3.598,1,0
46,1812.0,1.0,1,1,0.243,12479.0,12400.0,1.19,1,0
59,3287.0,5.0,1,0,0.304,5839.0,5961.0,2.167,2,0
51,10425.0,20.0,0,1,0.91,7584.0,7788.0,7.07,2,0
58,3094.0,16.0,1,0,0.747,4964.0,4906.0,2.105,1,0
34,5089.0,9.0,1,0,0.515,12577.0,12826.0,3.42,1,0
24,5670.0,9.0,1,0,0.388,4554.0,4702.0,3.777,1,0
62,5449.0,13.0,1,0,0.537,11483.0,11852.0,3.765,1,0
41,2904.0,12.0,0,1,0.511,16840.0,17466.0,1.921,1,0
30,890.0,7.0,1,0,0.477,4538.0,4370.0,0.574,2,0
24,6334.0,68.0,0,1,0.611,4010.0,3936.0,4.027,1,0
52,2445.0,8.0,0,1,0.441,15816.0,16131.0,1.664,1,0
37,6644.0,3.0,1,1,0.361,16362.0,16667.0,4.603,2,0
57,4637.0,47.0,1,0,0.417,10340.0,10590.0,3.096,1,0
23,13544.0,112.0,1,0,0.408,18318.0,18287.0,9.071,1,0
35,4059.0,48.0,1,1,0.205,15094.0,14458.0,2.678,1,0
37,5594.0,25.0,1,1,0.469,7476.0,7596.0,3.711,1,0
43,3672.0,14.0,0,0,0.317,5484.0,5172.0,2.477,1,1
31,10294.0,27.0,0,1,0.77,4597.0,4629.0,6.749,1,0
50,3662.0,21.0,1,0,0.504,7698.0,8123.0,2.517,1,0
46,8647.0,43.0,1,1,0.602,6286.0,6328.0,5.694,1,0
28,3901.0,27.0,1,1,0.973,6940.0,6987.0,2.616,1,0
40,2622.0,103.0,1,1,0.962,11037.0,11196.0,1.736,1,0
30,5435.0,12.0,1,1,0.411,4849.0,4946.0,3.646,1,0
45,4109.0,31.0,1,0,0.579,12411.0,12646.0,2.815,1,0
29,7455.0,18.0,1,1,0.472,10283.0,10090.0,5.054,1,0
51,5429.0,19.0,0,1,0.646,9346.0,9795.0,3.461,1,0
59,3160.0,4.0,0,1,0.411,8111.0,8095.0,2.085,1,0
61,3884.0,8.0,0,1,1.0,12108.0,11428.0,2.634,1,0
42,7683.0,99.0,0,1,0.827,7308.0,7584.0,5.037,1,0
36,7149.0,15.0,1,1,0.321,8716.0,9052.0,4.758,1,0
64,2015.0,11.0,1,0,0.48,7258.0,7289.0,1.308,1,1
35,11768.0,0.0,1,1,0.848,7442.0,7003.0,8.027,1,0
59,4641.0,12.0,1,1,0.363,7632.0,7321.0,3.022,1,0
35,9562.0,35.0,0,1,0.564,6021.0,5858.0,6.415,2,0
51,6261.0,10.0,1,1,0.393,10013.0,9843.0,4.357,1,0
33,15163.0,29.0,1,0,0.319,4336.0,4324.0,10.285,1,0
37,3952.0,19.0,1,1,0.564,3682.0,3706.0,2.603,1,0
55,5333.0,57.0,1,1,0.754,6858.0,7014.0,3.46,1,0
39,3639.0,16.0,1,1,0.723,10195.0,10071.0,2.459,1,0
48,4190.0,11.0,1,1,0.698,7854.0,7997.0,2.833,1,1
39,4154.0,9.0,0,1,0.69,9208.0,8803.0,2.698,1,0
41,10044.0,9.0,0,0,0.612,3897.0,3935.0,6.683,1,0
36,8624.0,29.0,1,1,0.588,7010.0,7394.0,5.906,1,0
52,2445.0,6.0,0,1,1.0,4310.0,4225.0,1.636,1,0
46,9755.0,8.0,1,1,0.598,11541.0,11155.0,6.316,1,0
50,4513.0,15.0,1,0,0.573,10884.0,11112.0,2.973,2,1
50,3378.0,29.0,1,1,0.371,7382.0,7374.0,2.192,2,0
49,1826.0,30.0,1,1,0.657,13855.0,13361.0,1.203,1,0
34,14011.0,28.0,1,1,0.768,11555.0,11448.0,9.094,2,0
34,5062.0,88.0,1,1,0.638,2744.0,2722.0,3.43,1,0
54,4823.0,41.0,0,1,0.501,11193.0,11005.0,3.24,1,1
28,4393.0,2.0,1,1,0.493,4336.0,4448.0,2.92,1,0
37,4600.0,48.0,1,1,0.677,6117.0,6136.0,2.953,2,0
60,7988.0,47.0,1,1,0.77,11749.0,12034.0,5.264,1,0
30,3052.0,46.0,1,0,0.408,8560.0,9218.0,2.135,1,0
26,6041.0,13.0,1,0,0.691,9380.0,9299.0,4.133,2,0
29,3193.0,1.0,1,1,0.629,9943.0,9991.0,2.289,1,0
49,3887.0,32.0,1,1,0.49,4653.0,4406.0,2.568,2,1
53,4892.0,18.0,0,0,0.78,5180.0,5305.0,3.186,1,0
44,4130.0,21.0,1,1,0.583,5363.0,5076.0,2.708,2,0
38,2316.0,69.0,1,1,0.531,19996.0,20295.0,1.51,1,0
40,6955.0,54.0,0,0,0.7,7391.0,7620.0,4.456,1,0
45,7255.0,17.0,1,1,0.414,6681.0,6788.0,5.08,2,0
25,8004.0,17.0,1,1,0.726,8269.0,8222.0,5.443,1,0
32,7581.0,12.0,1,1,0.381,10327.0,10341.0,5.099,1,0
35,1070.0,29.0,1,1,0.162,3670.0,3774.0,0.711,2,0
44,2213.0,25.0,0,1,0.651,6147.0,5973.0,1.563,1,0
58,9285.0,18.0,1,1,0.687,8057.0,7848.0,6.152,1,0
32,6632.0,0.0,1,0,0.486,7647.0,7438.0,4.463,1,0
21,10214.0,53.0,1,1,0.698,5856.0,5655.0,6.807,1,0
25,6533.0,5.0,0,1,0.704,3723.0,3883.0,4.45,1,0
37,6032.0,4.0,0,0,0.732,13280.0,13204.0,4.07,1,0
31,3664.0,17.0,0,0,0.557,14424.0,13681.0,2.362,1,0
44,2946.0,17.0,0,0,0.904,10331.0,10254.0,1.975,1,0
39,4787.0,116.0,0,1,0.639,8532.0,8142.0,3.259,1,0
46,6269.0,8.0,1,1,0.502,6300.0,6202.0,4.179,1,0
62,6935.0,10.0,0,1,0.351,5219.0,5453.0,4.51,1,0
43,4741.0,27.0,1,1,0.362,14884.0,15112.0,3.155,1,0
63,3257.0,67.0,1,1,0.339,14386.0,14020.0,2.171,1,0
28,2753.0,8.0,1,0,0.763,7489.0,7620.0,1.808,1,0
30,9012.0,49.0,1,0,0.754,12419.0,12407.0,6.124,1,1
59,2612.0,10.0,1,0,0.762,7943.0,8005.0,1.767,1,0
23,6133.0,35.0,1,0,0.639,9776.0,9510.0,4.209,2,0
64,1793.0,4.0,0,1,0.736,5911.0,5575.0,1.177,1,0
24,5432.0,12.0,0,0,0.615,8216.0,7898.0,3.626,1,0
50,6634.0,9.0,1,1,0.439,14510.0,14782.0,4.648,1,0
50,4723.0,26.0,1,0,0.646,6079.0,5963.0,3.174,2,0
51,3044.0,36.0,1,1,0.877,8598.0,8761.0,2.081,2,0
46,7672.0,10.0,1,1,0.485,9358.0,9557.0,5.17,1,0
52,3926.0,28.0,1,0,0.648,7046.0,7007.0,2.538,1,0
33,7758.0,22.0,0,1,0.768,8208.0,7853.0,5.028,1,0
32,4381.0,15.0,1,0,0.686,10238.0,9637.0,2.92,1,0
39,3900.0,9.0,0,1,0.736,12426.0,12431.0,2.538,1,0
30,6142.0,43.0,1,1,0.53,5754.0,5716.0,4.112,1,0
53,5055.0,17.0,1,1,0.492,7249.0,6825.0,3.409,1,0
57,4662.0,2.0,1,1,0.674,4606.0,4617.0,3.05,1,0
53,16833.0,5.0,1,1,0.653,8963.0,9494.0,11.742,1,0
20,4809.0,63.0,0,0,0.493,8623.0,8575.0,3.177,1,0
64,6827.0,41.0,0,1,0.854,8986.0,8492.0,4.582,2,0
56,8948.0,11.0,1,1,0.619,22070.0,23299.0,6.006,1,0
20,4837.0,34.0,0,1,0.347,8480.0,8299.0,3.104,2,0
28,6862.0,9.0,1,1,0.441,5507.0,5826.0,4.419,1,0
44,3433.0,14.0,1,0,0.529,10150.0,10273.0,2.301,1,0
46,7332.0,21.0,1,1,0.379,12155.0,12427.0,5.184,1,0
25,5606.0,18.0,1,1,0.376,2184.0,2131.0,3.715,2,0
49,6713.0,3.0,1,1,0.578,9408.0,9442.0,4.474,2,0
38,5976.0,6.0,0,0,0.537,4566.0,4605.0,3.926,1,0
32,4576.0,30.0,0,1,0.975,3161.0,3252.0,3.15,1,0
26,5900.0,42.0,1,0,0.545,9465.0,9342.0,3.892,1,0
41,6957.0,20.0,1,0,0.655,12921.0,13303.0,4.699,1,0
22,7835.0,25.0,1,1,0.412,19373.0,18427.0,5.4,1,0
42,7961.0,28.0,0,1,0.8,12295.0,11626.0,5.533,1,0
51,5615.0,1.0,1,0,0.442,7826.0,8191.0,3.59,1,0
32,6160.0,63.0,0,0,0.525,8736.0,8818.0,4.039,1,0
58,3166.0,51.0,0,1,0.349,13407.0,13707.0,2.165,1,0
25,11111.0,4.0,1,0,0.784,11993.0,12762.0,7.217,2,0
35,7622.0,76.0,1,1,0.838,10474.0,10536.0,5.228,2,0
42,6426.0,9.0,1,0,0.446,7270.0,7015.0,4.25,1,0
38,11207.0,47.0,0,1,0.423,9273.0,9224.0,7.773,1,0
51,3102.0,41.0,1,1,0.605,11848.0,12622.0,1.942,1,0
59,5606.0,31.0,0,1,0.779,3018.0,2970.0,3.701,1,0
57,2810.0,9.0,0,0,0.509,7828.0,8017.0,1.879,1,0
