tweet_text,location_name,latitude,longitude,polarity,max_word
Grupo Andina aparece mencionado en el informe de este mes,Cusco,-13.51699,-71.93938,neutral,reunión
Se espera un comunicado oficial de Grupo Andina mañana,Lima,-12.03427,-77.06895,neutral,debate
Al fin algo de claridad con el tema de Consulta Popular,Huancayo,-12.04515,-75.17821,positive,buena
Otra vez Consulta Popular sin dar la cara ante la situación,Trujillo,-8.06513,-79.06819,negative,indignante
Pésimo manejo de Ministro Rossi en las últimas semanas,Iquitos,-3.69955,-73.28177,negative,reclamo
Se espera un comunicado oficial de Consulta Popular mañana,Arequipa,-16.38928,-71.55734,neutral,pendiente
Grupo Andina fue tema de conversación en el debate de hoy,Lima,-12.06168,-77.04996,neutral,informe
"Grupo Andina sigue sin resolver lo prometido, cansado de esperar",Lima,-12.01144,-77.01057,negative,indignante
Aún no hay postura clara de Ministro Rossi sobre el tema,Trujillo,-8.11805,-79.00562,neutral,informe
Consulta Popular fue tema de conversación en el debate de hoy,Huancayo,-12.06861,-75.17233,neutral,pendiente
No confío nada en lo que dice Ministro Rossi sobre esto,Arequipa,-16.43111,-71.54242,negative,cansado
Pésimo manejo de Consulta Popular en las últimas semanas,Chiclayo,-6.81853,-79.8058,negative,pésimo
Ministro Rossi está manejando esto mejor de lo que esperaba,Chiclayo,-6.79343,-79.83128,positive,esperanza
Al fin algo de claridad con el tema de Consulta Popular,Arequipa,-16.43486,-71.54686,positive,avance
Aún no hay postura clara de Grupo Andina sobre el tema,Huancayo,-12.03581,-75.24559,neutral,comunicado
Ministro Rossi aparece mencionado en el informe de este mes,Chiclayo,-6.77407,-79.83781,neutral,debate
"Consulta Popular sigue sin resolver lo prometido, cansado de esperar",Huancayo,-12.08801,-75.22976,negative,indignante
"Buena decisión de Consulta Popular, era momento de actuar así",Trujillo,-8.14245,-79.00514,positive,esperanza
Indignante la respuesta de Consulta Popular frente al reclamo,Piura,-5.14645,-80.59954,negative,desconfianza
"Grupo Andina sigue sin resolver lo prometido, cansado de esperar",Lima,-12.0256,-77.08014,negative,indignante
No confío nada en lo que dice Grupo Andina sobre esto,Huancayo,-12.10484,-75.25367,negative,desconfianza
"Ministro Rossi sigue sin resolver lo prometido, cansado de esperar",Trujillo,-8.06505,-79.05375,negative,cansado
Aún no hay postura clara de Grupo Andina sobre el tema,Huancayo,-12.10769,-75.19196,neutral,reunión
"Buenas noticias sobre Grupo Andina hoy, esperemos que continúe",Piura,-5.23598,-80.65798,positive,avance
Indignante la respuesta de Ministro Rossi frente al reclamo,Cusco,-13.50443,-71.97946,negative,cansado
Aún no hay postura clara de Ministro Rossi sobre el tema,Piura,-5.18764,-80.67678,neutral,reunión
"Grupo Andina sigue sin resolver lo prometido, cansado de esperar",Arequipa,-16.44329,-71.57012,negative,indignante
Me parece correcta la postura de Grupo Andina en este caso,Huancayo,-12.08597,-75.23175,positive,esperanza
Consulta Popular tiene programada una reunión para la próxima semana,Cusco,-13.48961,-71.93872,neutral,pendiente
Se espera un comunicado oficial de Consulta Popular mañana,Iquitos,-3.78222,-73.27912,neutral,comunicado
Ministro Rossi tiene programada una reunión para la próxima semana,Lima,-12.07981,-77.06204,neutral,pendiente
Pésimo manejo de Ministro Rossi en las últimas semanas,Piura,-5.17453,-80.58853,negative,reclamo
Otra vez Consulta Popular sin dar la cara ante la situación,Lima,-12.00746,-77.01935,negative,reclamo
Al fin algo de claridad con el tema de Ministro Rossi,Lima,-11.99644,-77.02557,positive,esperanza
Al fin algo de claridad con el tema de Consulta Popular,Huancayo,-12.0632,-75.21068,positive,esperanza
Aún no hay postura clara de Grupo Andina sobre el tema,Huancayo,-12.01819,-75.2079,neutral,debate
Otra vez Ministro Rossi sin dar la cara ante la situación,Trujillo,-8.12862,-79.00963,negative,desconfianza
Consulta Popular fue tema de conversación en el debate de hoy,Lima,-12.05092,-77.06135,neutral,informe
Aún no hay postura clara de Grupo Andina sobre el tema,Lima,-12.03063,-77.03854,neutral,debate
