Age,Hours,streams,SWL_T,SPIN_T,Narcissism,Work,Degree,Playstyle,whyplay,earnings,outcome
24,8.1,4.9,13.0,16.0,4.3,Empleado,Preparatoria,Multijugador en linea,Competir,Gano un poco,2
34,19.2,4.7,24.0,3.0,1.4,Estudiante,Doctorado,Multijugador en linea,Competir,Es mi sustento,2
45,34.9,4.1,14.0,35.0,1.3,Empleado,Doctorado,Multijugador en linea,Diversion,Gano un poco,2
54,23.7,0.0,7.0,1.0,3.6,Estudiante,Licenciatura,Multijugador en linea,Diversion,Juego por diversion,1
40,7.0,0.0,8.0,36.0,3.2,Empleado,Licenciatura,Multijugador en linea,Mejorar habilidad,Juego por diversion,3
29,9.2,0.0,19.0,49.0,2.6,Estudiante,Preparatoria,Multijugador en linea,Socializar,Juego por diversion,3
37,1.0,0.2,17.0,25.0,5.3,Empleado,Licenciatura,Un jugador,Competir,Juego por diversion,1
31,3.7,4.7,29.0,19.0,1.5,Empleado,Maestria,Un jugador,Relajarme,Juego por diversion,2
36,36.6,0.0,26.0,17.0,3.0,Estudiante,Licenciatura,Un jugador,Competir,Juego por diversion,1
35,5.9,2.0,13.0,43.0,2.3,Empleado,Preparatoria,Un jugador,Relajarme,Juego por diversion,2
14,36.9,2.4,23.0,25.0,3.1,Estudiante,Licenciatura,Un jugador,Competir,Gano un poco,2
16,32.9,3.7,17.0,16.0,3.0,Estudiante,Maestria,Con amigos en linea,Mejorar habilidad,Juego por diversion,1
42,24.7,5.0,22.0,20.0,3.0,Estudiante,Maestria,Multijugador en linea,Socializar,Juego por diversion,2
14,10.2,2.8,33.0,43.0,2.0,Desempleado,Licenciatura,Con amigos en linea,Competir,Juego por diversion,2
37,45.8,3.3,21.0,27.0,1.8,Desempleado,Preparatoria,Un jugador,Competir,Juego por diversion,2
26,30.5,0.0,17.0,21.0,4.6,Desempleado,Preparatoria,Multijugador presencial,Socializar,Juego por diversion,3
46,33.3,1.5,19.0,32.0,2.0,Empleado,Licenciatura,Multijugador en linea,Diversion,Juego por diversion,2
38,20.4,1.5,21.0,18.0,3.3,Estudiante,Licenciatura,Con amigos en linea,Relajarme,Juego por diversion,2
49,1.9,8.1,17.0,18.0,2.3,Empleado,Preparatoria,Multijugador presencial,Relajarme,Juego por diversion,2
37,26.5,7.4,24.0,37.0,3.6,Estudiante,Preparatoria,Un jugador,Mejorar habilidad,Juego por diversion,2
42,28.6,7.0,22.0,29.0,3.0,Empleado,Preparatoria,Con amigos en linea,Mejorar habilidad,Juego por diversion,2
21,3.1,3.4,33.0,11.0,3.7,Empleado,Preparatoria,Con amigos en linea,Relajarme,Juego por diversion,2
39,19.6,2.5,11.0,15.0,5.0,Empleado,Licenciatura,Con amigos en linea,Socializar,Juego por diversion,3
26,22.5,0.5,17.0,27.0,1.6,Desempleado,Preparatoria,Un jugador,Diversion,Juego por diversion,3
17,4.2,1.9,18.0,31.0,4.3,Estudiante,Licenciatura,Multijugador presencial,Relajarme,Juego por diversion,2
45,21.5,0.0,21.0,26.0,1.2,Estudiante,Licenciatura,Un jugador,Diversion,Juego por diversion,3
28,19.8,0.8,20.0,0.0,3.9,Estudiante,Maestria,Multijugador presencial,Competir,Juego por diversion,2
27,24.8,0.3,19.0,6.0,3.2,Estudiante,Preparatoria,Con amigos en linea,Diversion,Juego por diversion,3
17,18.8,2.2,23.0,17.0,4.5,Empleado,Licenciatura,Multijugador en linea,Relajarme,Juego por diversion,4
32,15.1,14.1,29.0,22.0,2.1,Empleado,Preparatoria,Multijugador en linea,Mejorar habilidad,Es mi sustento,1
46,17.1,7.7,21.0,21.0,3.8,Estudiante,Licenciatura,Multijugador presencial,Diversion,Juego por diversion,2
27,13.5,0.1,21.0,32.0,2.6,Desempleado,Preparatoria,Un jugador,Socializar,Juego por diversion,2
15,37.4,7.3,9.0,34.0,5.2,Estudiante,Licenciatura,Multijugador presencial,Relajarme,Juego por diversion,4
48,24.5,0.8,11.0,22.0,4.9,Estudiante,Maestria,Con amigos en linea,Diversion,Juego por diversion,4
31,11.0,0.0,11.0,24.0,3.0,Desempleado,Licenciatura,Con amigos en linea,Socializar,Gano un poco,2
26,17.8,3.0,20.0,43.0,2.5,Empleado,Preparatoria,Un jugador,Relajarme,Juego por diversion,3
39,31.8,1.1,10.0,44.0,5.9,Estudiante,Preparatoria,Multijugador en linea,Mejorar habilidad,Juego por diversion,4
38,35.1,0.0,22.0,37.0,3.6,Empleado,Licenciatura,Con amigos en linea,Diversion,Juego por diversion,3
30,10.3,1.4,21.0,16.0,4.7,Estudiante,Licenciatura,Multijugador presencial,Mejorar habilidad,Juego por diversion,2
25,29.4,2.4,27.0,5.0,2.6,Desempleado,Licenciatura,Multijugador presencial,Socializar,Juego por diversion,2
24,27.8,9.3,13.0,41.0,0.0,Estudiante,Licenciatura,Multijugador presencial,Mejorar habilidad,Juego por diversion,2
45,27.0,0.0,22.0,8.0,3.3,Estudiante,Preparatoria,Multijugador en linea,Mejorar habilidad,Juego por diversion,2
41,9.7,1.6,23.0,14.0,4.7,Estudiante,Licenciatura,Con amigos en linea,Relajarme,Juego por diversion,2
38,35.4,6.9,7.0,19.0,2.9,Empleado,Licenciatura,Multijugador en linea,Mejorar habilidad,Juego por diversion,2
43,14.9,0.7,17.0,11.0,2.6,Empleado,Doctorado,Multijugador presencial,Competir,Juego por diversion,2
16,6.8,1.5,22.0,10.0,3.3,Empleado,Doctorado,Multijugador presencial,Relajarme,Juego por diversion,2
46,48.0,0.0,15.0,23.0,1.7,Estudiante,Licenciatura,Con amigos en linea,Competir,Juego por diversion,3
44,25.6,2.1,24.0,44.0,3.7,Estudiante,Preparatoria,Con amigos en linea,Mejorar habilidad,Juego por diversion,3
47,26.6,3.5,21.0,32.0,2.9,Empleado,Doctorado,Multijugador presencial,Competir,Juego por diversion,2
49,48.6,0.2,35.0,30.0,2.7,Estudiante,Preparatoria,Multijugador en linea,Relajarme,Juego por diversion,2
38,0.0,7.2,13.0,13.0,2.3,Empleado,Maestria,Con amigos en linea,Competir,Juego por diversion,2
44,11.2,0.0,21.0,1.0,3.6,Empleado,Licenciatura,Un jugador,Competir,Juego por diversion,1
29,0.0,1.3,21.0,8.0,3.5,Estudiante,Preparatoria,Multijugador presencial,Mejorar habilidad,Juego por diversion,1
20,14.9,1.1,11.0,30.0,6.7,Desempleado,Licenciatura,Con amigos en linea,Competir,Juego por diversion,3
48,40.9,2.0,19.0,33.0,5.5,Empleado,Preparatoria,Con amigos en linea,Diversion,Juego por diversion,2
34,26.2,0.0,29.0,44.0,1.9,Estudiante,Maestria,Multijugador presencial,Diversion,Gano un poco,2
18,29.4,0.0,13.0,18.0,1.6,Estudiante,Licenciatura,Con amigos en linea,Socializar,Gano un poco,3
54,11.8,1.9,29.0,34.0,2.5,Estudiante,Preparatoria,Un jugador,Relajarme,Juego por diversion,3
21,10.2,5.1,16.0,17.0,3.0,Estudiante,Maestria,Un jugador,Mejorar habilidad,Juego por diversion,2
48,9.6,4.1,13.0,32.0,4.1,Estudiante,Maestria,Multijugador presencial,Relajarme,Juego por diversion,3
27,45.1,2.2,14.0,10.0,2.4,Estudiante,Licenciatura,Multijugador en linea,Competir,Juego por diversion,3
47,21.4,2.0,15.0,17.0,1.4,Estudiante,Maestria,Un jugador,Competir,Juego por diversion,2
53,29.0,7.8,19.0,22.0,4.3,Desempleado,Maestria,Con amigos en linea,Diversion,Es mi sustento,2
15,0.0,2.3,16.0,29.0,3.6,Empleado,Preparatoria,Multijugador presencial,Socializar,Juego por diversion,3
34,26.8,3.2,22.0,0.0,2.9,Estudiante,Licenciatura,Un jugador,Diversion,Juego por diversion,2
19,1.6,3.1,21.0,12.0,4.5,Estudiante,Preparatoria,Multijugador presencial,Mejorar habilidad,Gano un poco,1
14,17.6,3.6,24.0,30.0,3.8,Estudiante,Maestria,Con amigos en linea,Socializar,Juego por diversion,3
41,27.8,4.0,23.0,14.0,3.5,Desempleado,Preparatoria,Con amigos en linea,Relajarme,Juego por diversion,2
28,25.5,2.4,25.0,23.0,2.9,Desempleado,Licenciatura,Multijugador en linea,Relajarme,Juego por diversion,2
25,28.7,5.9,19.0,38.0,5.0,Estudiante,Licenciatura,Multijugador presencial,Diversion,Juego por diversion,3
36,10.8,5.2,11.0,15.0,0.7,Estudiante,Preparatoria,Multijugador en linea,Socializar,Juego por diversion,2
21,9.6,3.7,17.0,15.0,1.1,Empleado,Preparatoria,Multijugador en linea,Competir,Juego por diversion,3
40,25.6,8.5,24.0,23.0,5.3,Empleado,Preparatoria,Multijugador en linea,Relajarme,Juego por diversion,2
39,35.5,0.0,32.0,0.0,2.7,Estudiante,Preparatoria,Multijugador presencial,Diversion,Juego por diversion,2
48,19.3,3.3,9.0,38.0,2.4,Empleado,Licenciatura,Un jugador,Socializar,Gano un poco,4
53,20.9,5.2,24.0,11.0,2.9,Desempleado,Licenciatura,Multijugador presencial,Relajarme,Juego por diversion,3
14,21.5,0.6,29.0,19.0,2.8,Estudiante,Preparatoria,Un jugador,Mejorar habilidad,Juego por diversion,1
25,16.2,4.5,26.0,17.0,4.8,Estudiante,Licenciatura,Multijugador presencial,Mejorar habilidad,Juego por diversion,2
48,22.3,2.2,17.0,25.0,2.3,Estudiante,Licenciatura,Con amigos en linea,Competir,Juego por diversion,2
50,12.9,0.0,22.0,17.0,2.6,Estudiante,Maestria,Multijugador en linea,Socializar,Juego por diversion,2
52,17.2,5.0,16.0,19.0,1.9,Empleado,Preparatoria,Con amigos en linea,Socializar,Juego por diversion,1
44,27.8,0.0,17.0,27.0,2.2,Empleado,Preparatoria,Multijugador en linea,Competir,Juego por diversion,2
37,5.6,1.0,25.0,30.0,1.2,Estudiante,Preparatoria,Multijugador presencial,Socializar,Juego por diversion,2
41,17.9,2.1,24.0,25.0,2.5,Estudiante,Preparatoria,Multijugador en linea,Mejorar habilidad,Juego por diversion,2
26,18.9,1.0,21.0,16.0,3.8,Empleado,Preparatoria,Multijugador presencial,Competir,Es mi sustento,2
18,20.1,0.9,18.0,14.0,2.2,Estudiante,Preparatoria,Un jugador,Mejorar habilidad,Juego por diversion,2
35,12.3,1.8,19.0,23.0,1.2,Estudiante,Licenciatura,Con amigos en linea,Socializar,Juego por diversion,2
44,21.0,1.3,15.0,37.0,2.0,Estudiante,Preparatoria,Multijugador presencial,Mejorar habilidad,Juego por diversion,2
42,26.9,6.2,14.0,0.0,3.4,Empleado,Maestria,Multijugador en linea,Mejorar habilidad,Gano un poco,2
33,31.8,2.5,17.0,23.0,4.9,Estudiante,Licenciatura,Multijugador en linea,Competir,Es mi sustento,3
51,0.0,7.3,26.0,21.0,5.3,Estudiante,Preparatoria,Con amigos en linea,Socializar,Juego por diversion,2
28,23.8,1.9,28.0,0.0,3.5,Empleado,Preparatoria,Con amigos en linea,Relajarme,Juego por diversion,1
25,14.5,6.1,22.0,20.0,1.4,Estudiante,Preparatoria,Multijugador en linea,Mejorar habilidad,Es mi sustento,2
36,36.3,0.8,19.0,32.0,2.4,Estudiante,Maestria,Un jugador,Diversion,Juego por diversion,3
47,6.8,0.0,25.0,24.0,1.8,Estudiante,Preparatoria,Un jugador,Socializar,Juego por diversion,2
54,14.6,2.5,22.0,19.0,0.8,Empleado,Licenciatura,Un jugador,Mejorar habilidad,Juego por diversion,2
48,22.7,0.0,23.0,14.0,3.3,Empleado,Preparatoria,Multijugador en linea,Diversion,Gano un poco,1
35,0.0,6.2,13.0,24.0,0.9,Estudiante,Preparatoria,Multijugador presencial,Relajarme,Juego por diversion,3
47,41.4,4.5,25.0,23.0,1.3,Estudiante,Licenciatura,Con amigos en linea,Competir,Juego por diversion,2
35,30.2,3.8,28.0,4.0,3.4,Empleado,Preparatoria,Con amigos en linea,Relajarme,Juego por diversion,2
34,14.9,1.7,14.0,15.0,3.5,Desempleado,Maestria,Multijugador en linea,Mejorar habilidad,Juego por diversion,3
21,2.4,3.0,15.0,21.0,3.0,Estudiante,Preparatoria,Multijugador en linea,Socializar,Juego por diversion,2
31,22.2,1.9,31.0,27.0,1.4,Estudiante,Preparatoria,Con amigos en linea,Socializar,Juego por diversion,2
17,26.8,7.9,27.0,26.0,1.4,Empleado,Licenciatura,Con amigos en linea,Mejorar habilidad,Juego por diversion,1
27,27.0,4.2,21.0,17.0,2.6,Estudiante,Preparatoria,Multijugador en linea,Socializar,Juego por diversion,2
38,27.0,1.1,25.0,25.0,2.8,Estudiante,Preparatoria,Multijugador en linea,Socializar,Juego por diversion,2
21,33.8,0.5,16.0,22.0,4.6,Empleado,Preparatoria,Con amigos en linea,Competir,Juego por diversion,3
29,31.0,5.6,23.0,28.0,4.5,Estudiante,Preparatoria,Multijugador presencial,Competir,Juego por diversion,2
30,0.0,2.9,14.0,35.0,2.0,Estudiante,Licenciatura,Multijugador presencial,Competir,Juego por diversion,2
29,40.7,6.1,31.0,0.0,0.9,Estudiante,Preparatoria,Un jugador,Socializar,Juego por diversion,2
49,33.4,3.4,14.0,0.0,0.8,Estudiante,Preparatoria,Un jugador,Relajarme,Juego por diversion,2
38,12.9,5.5,15.0,14.0,4.1,Estudiante,Maestria,Un jugador,Competir,Juego por diversion,3
24,20.5,0.0,15.0,34.0,2.0,Desempleado,Licenciatura,Multijugador presencial,Relajarme,Juego por diversion,3
37,30.6,4.4,13.0,33.0,3.1,Estudiante,Maestria,Multijugador en linea,Diversion,Juego por diversion,2
36,4.1,0.6,22.0,25.0,0.8,Estudiante,Doctorado,Multijugador presencial,Mejorar habilidad,Juego por diversion,1
14,42.7,5.5,13.0,31.0,0.3,Empleado,Preparatoria,Multijugador presencial,Competir,Juego por diversion,2
39,15.2,5.7,35.0,8.0,0.5,Estudiante,Licenciatura,Multijugador presencial,Mejorar habilidad,Juego por diversion,2
50,20.3,4.6,18.0,16.0,4.2,Estudiante,Preparatoria,Multijugador en linea,Socializar,Juego por diversion,3
46,8.3,3.0,18.0,18.0,3.7,Estudiante,Preparatoria,Multijugador en linea,Competir,Juego por diversion,3
43,22.7,3.1,29.0,16.0,0.3,Estudiante,Licenciatura,Multijugador presencial,Relajarme,Gano un poco,1
34,40.1,3.3,33.0,13.0,2.4,Empleado,Preparatoria,Multijugador presencial,Mejorar habilidad,Gano un poco,2
14,35.7,3.4,23.0,40.0,2.1,Desempleado,Licenciatura,Con amigos en linea,Socializar,Juego por diversion,4
21,17.8,0.0,12.0,31.0,4.3,Empleado,Preparatoria,Con amigos en linea,Diversion,Juego por diversion,4
28,0.0,4.5,18.0,7.0,4.9,Estudiante,Preparatoria,Multijugador en linea,Competir,Juego por diversion,2
45,15.9,3.4,26.0,36.0,3.3,Estudiante,Maestria,Con amigos en linea,Relajarme,Juego por diversion,2
27,10.3,1.5,18.0,21.0,5.2,Desempleado,Licenciatura,Multijugador presencial,Competir,Gano un poco,2
27,19.1,6.7,19.0,34.0,1.3,Empleado,Preparatoria,Multijugador en linea,Relajarme,Juego por diversion,3
44,4.9,1.9,25.0,14.0,1.8,Empleado,Licenciatura,Multijugador en linea,Mejorar habilidad,Juego por diversion,1
37,37.4,4.8,23.0,20.0,1.2,Empleado,Preparatoria,Multijugador en linea,Diversion,Juego por diversion,3
44,25.9,6.3,32.0,8.0,3.5,Estudiante,Licenciatura,Multijugador en linea,Diversion,Gano un poco,1
40,16.4,9.1,24.0,26.0,2.2,Empleado,Preparatoria,Un jugador,Diversion,Juego por diversion,2
39,16.4,3.1,18.0,1.0,3.7,Desempleado,Maestria,Un jugador,Diversion,Juego por diversion,1
33,21.4,5.1,26.0,1.0,2.5,Estudiante,Preparatoria,Multijugador presencial,Competir,Juego por diversion,3
31,30.1,0.0,18.0,8.0,3.6,Empleado,Licenciatura,Un jugador,Relajarme,Juego por diversion,3
53,6.1,2.8,19.0,16.0,3.0,Estudiante,Maestria,Multijugador presencial,Mejorar habilidad,Juego por diversion,1
50,13.3,1.5,25.0,39.0,3.2,Empleado,Preparatoria,Multijugador presencial,Diversion,Juego por diversion,2
45,19.6,3.9,28.0,39.0,3.5,Estudiante,Licenciatura,Un jugador,Mejorar habilidad,Juego por diversion,3
39,16.4,0.0,19.0,29.0,4.1,Estudiante,Maestria,Un jugador,Mejorar habilidad,Juego por diversion,2
33,29.3,5.2,24.0,20.0,5.7,Empleado,Preparatoria,Con amigos en linea,Relajarme,Juego por diversion,3
21,19.0,4.5,18.0,17.0,2.3,Desempleado,Licenciatura,Multijugador en linea,Relajarme,Gano un poco,1
32,33.1,6.6,21.0,28.0,5.6,Empleado,Licenciatura,Multijugador en linea,Relajarme,Juego por diversion,2
42,11.8,3.2,23.0,27.0,3.0,Empleado,Preparatoria,Un jugador,Competir,Juego por diversion,3
32,5.6,2.9,17.0,26.0,2.9,Empleado,Preparatoria,Un jugador,Competir,Juego por diversion,3
47,16.6,3.2,27.0,24.0,1.6,Estudiante,Preparatoria,Un jugador,Relajarme,Juego por diversion,2
22,0.0,4.9,15.0,15.0,3.2,Estudiante,Maestria,Multijugador presencial,Mejorar habilidad,Juego por diversion,2
36,12.1,0.0,12.0,13.0,3.0,Estudiante,Preparatoria,Con amigos en linea,Competir,Gano un poco,3
37,29.0,6.6,22.0,19.0,3.0,Empleado,Preparatoria,Con amigos en linea,Mejorar habilidad,Juego por diversion,2
30,37.3,1.9,23.0,43.0,5.5,Estudiante,Licenciatura,Multijugador en linea,Diversion,Juego por diversion,2
20,4.3,0.0,23.0,20.0,1.0,Empleado,Maestria,Multijugador presencial,Diversion,Juego por diversion,1
39,18.0,4.1,13.0,26.0,2.9,Estudiante,Preparatoria,Multijugador presencial,Diversion,Juego por diversion,4
27,25.2,8.9,30.0,23.0,3.7,Estudiante,Preparatoria,Con amigos en linea,Mejorar habilidad,Juego por diversion,2
33,0.0,1.2,19.0,35.0,3.7,Estudiante,Licenciatura,Con amigos en linea,Competir,Juego por diversion,3
42,30.3,0.0,25.0,34.0,4.7,Estudiante,Preparatoria,Multijugador en linea,Socializar,Juego por diversion,2
26,27.8,0.0,11.0,22.0,0.3,Estudiante,Preparatoria,Un jugador,Competir,Juego por diversion,3
35,32.7,0.0,22.0,13.0,3.2,Estudiante,Doctorado,Multijugador en linea,Mejorar habilidad,Juego por diversion,2
42,31.6,4.0,20.0,0.0,5.2,Estudiante,Licenciatura,Con amigos en linea,Diversion,Juego por diversion,2
46,11.4,0.8,25.0,26.0,3.0,Estudiante,Licenciatura,Multijugador presencial,Competir,Juego por diversion,2
44,4.3,4.6,22.0,11.0,1.0,Estudiante,Licenciatura,Con amigos en linea,Diversion,Juego por diversion,3
21,22.9,1.0,14.0,0.0,2.2,Estudiante,Licenciatura,Multijugador en linea,Mejorar habilidad,Juego por diversion,2
39,24.4,4.9,16.0,30.0,1.6,Estudiante,Preparatoria,Un jugador,Diversion,Juego por diversion,2
47,61.0,0.7,23.0,5.0,2.4,Empleado,Preparatoria,Un jugador,Socializar,Juego por diversion,1
43,4.2,6.9,24.0,42.0,3.0,Desempleado,Doctorado,Con amigos en linea,Mejorar habilidad,Gano un poco,3
21,6.2,1.2,35.0,15.0,2.3,Estudiante,Maestria,Un jugador,Competir,Juego por diversion,2
34,20.3,9.6,17.0,15.0,3.3,Estudiante,Licenciatura,Multijugador presencial,Relajarme,Juego por diversion,2
47,13.2,1.5,18.0,15.0,4.5,Estudiante,Preparatoria,Multijugador presencial,Relajarme,Juego por diversion,2
53,2.4,1.6,12.0,31.0,1.6,Empleado,Licenciatura,Un jugador,Socializar,Juego por diversion,3
25,9.4,7.0,13.0,20.0,2.3,Desempleado,Maestria,Un jugador,Socializar,Juego por diversion,2
45,32.4,8.2,18.0,34.0,3.3,Empleado,Licenciatura,Multijugador presencial,Diversion,Juego por diversion,3
53,19.0,0.0,16.0,15.0,3.4,Estudiante,Maestria,Multijugador presencial,Diversion,Juego por diversion,1
43,28.6,0.0,27.0,19.0,4.2,Estudiante,Licenciatura,Con amigos en linea,Relajarme,Juego por diversion,2
50,20.7,6.8,24.0,26.0,1.9,Empleado,Preparatoria,Multijugador presencial,Competir,Es mi sustento,2
35,48.9,1.6,18.0,22.0,2.2,Estudiante,Licenciatura,Multijugador presencial,Competir,Juego por diversion,2
35,13.8,0.0,13.0,11.0,5.7,Empleado,Preparatoria,Multijugador en linea,Competir,Juego por diversion,2
46,27.6,6.8,20.0,15.0,4.1,Desempleado,Doctorado,Multijugador presencial,Mejorar habilidad,Juego por diversion,2
49,13.4,0.0,16.0,27.0,3.4,Estudiante,Preparatoria,Multijugador presencial,Socializar,Juego por diversion,2
52,9.4,3.0,24.0,15.0,4.7,Estudiante,Preparatoria,Un jugador,Mejorar habilidad,Juego por diversion,3
48,7.2,4.6,22.0,10.0,3.2,Empleado,Licenciatura,Con amigos en linea,Mejorar habilidad,Es mi sustento,2
18,5.1,5.7,13.0,21.0,3.5,Estudiante,Licenciatura,Multijugador en linea,Diversion,Es mi sustento,2
37,12.6,6.2,21.0,0.0,4.0,Estudiante,Maestria,Multijugador en linea,Competir,Juego por diversion,1
51,12.1,0.2,31.0,27.0,0.6,Desempleado,Maestria,Multijugador en linea,Socializar,Juego por diversion,1
33,5.8,4.3,9.0,30.0,3.9,Estudiante,Preparatoria,Multijugador en linea,Competir,Juego por diversion,3
24,9.5,4.3,19.0,12.0,5.4,Estudiante,Preparatoria,Con amigos en linea,Mejorar habilidad,Juego por diversion,2
38,24.8,7.7,20.0,28.0,3.8,Empleado,Licenciatura,Multijugador presencial,Socializar,Juego por diversion,2
21,5.8,4.7,24.0,27.0,3.0,Estudiante,Preparatoria,Multijugador en linea,Socializar,Juego por diversion,2
50,33.2,0.0,18.0,28.0,3.2,Estudiante,Preparatoria,Un jugador,Mejorar habilidad,Juego por diversion,4
47,29.5,0.0,16.0,15.0,4.8,Desempleado,Preparatoria,Multijugador en linea,Mejorar habilidad,Juego por diversion,2
40,20.7,1.5,23.0,28.0,6.4,Empleado,Preparatoria,Con amigos en linea,Diversion,Juego por diversion,3
18,16.9,10.1,22.0,12.0,3.5,Estudiante,Licenciatura,Con amigos en linea,Socializar,Gano un poco,2
54,36.0,2.6,26.0,30.0,3.5,Empleado,Maestria,Con amigos en linea,Mejorar habilidad,Juego por diversion,2
25,36.2,0.0,20.0,33.0,3.2,Estudiante,Licenciatura,Un jugador,Competir,Juego por diversion,3
23,44.2,3.6,29.0,10.0,2.7,Empleado,Licenciatura,Multijugador en linea,Socializar,Juego por diversion,2
15,38.5,6.1,18.0,3.0,1.7,Estudiante,Licenciatura,Multijugador en linea,Diversion,Juego por diversion,1
35,22.3,4.2,18.0,28.0,3.4,Estudiante,Preparatoria,Con amigos en linea,Mejorar habilidad,Juego por diversion,2
44,6.6,2.3,20.0,4.0,3.3,Estudiante,Licenciatura,Con amigos en linea,Mejorar habilidad,Juego por diversion,2
52,14.1,8.2,19.0,1.0,3.7,Estudiante,Maestria,Un jugador,Socializar,Gano un poco,2
22,0.0,6.4,16.0,21.0,3.6,Empleado,Licenciatura,Un jugador,Socializar,Juego por diversion,2
22,15.7,6.7,12.0,6.0,2.2,Estudiante,Licenciatura,Un jugador,Diversion,Juego por diversion,2
52,16.3,0.0,30.0,9.0,3.4,Estudiante,Licenciatura,Un jugador,Relajarme,Juego por diversion,2
49,27.1,0.8,15.0,39.0,2.1,Empleado,Licenciatura,Multijugador en linea,Socializar,Juego por diversion,2
33,12.2,1.0,20.0,3.0,6.7,Empleado,Preparatoria,Multijugador en linea,Relajarme,Gano un poco,3
52,31.6,2.8,24.0,1.0,3.6,Estudiante,Licenciatura,Multijugador presencial,Socializar,Juego por diversion,2
46,28.1,3.4,28.0,27.0,2.4,Empleado,Preparatoria,Multijugador presencial,Competir,Es mi sustento,2
