PLACA_INI_INTERRUP,PLACA_FIN_INTERRUP,ELEM_FIN_INTERRUP,FECHA_INI_INTERRUP,FECHA_FIN_INTERRUP,DURACION_INT_HRS,CAUSA_FALLA,COMENTARIOS_OA,MUNICIPIO_ELEM_INI,CKTO_ELE_OPE
PLACA_0094,PLACA_0032,Transformador,2013-12-17 17:00:00,2013-12-17 18:12:36,1.21,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_4,Circuito_7
PLACA_0088,PLACA_0042,Poste,2016-02-15 07:00:00,2016-02-15 10:47:24,3.79,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_2,Circuito_14
PLACA_0009,PLACA_0028,Aislador,2015-04-02 08:00:00,2015-04-02 15:51:36,7.86,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_6,Circuito_6
PLACA_0059,PLACA_0019,Seccionador,2015-03-22 20:00:00,2015-03-22 22:30:36,2.51,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_2,Circuito_4
PLACA_0075,PLACA_0055,Aislador,2014-06-23 23:00:00,2014-06-24 00:54:00,1.9,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_4,Circuito_6
PLACA_0012,PLACA_0097,Poste,2015-11-10 15:00:00,2015-11-10 18:16:12,3.27,Contacto animal,Ave posada provoco corto en el aislador,Municipio_1,Circuito_3
PLACA_0009,PLACA_0050,Fusible,2015-05-15 19:00:00,2015-05-15 20:48:36,1.81,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_5,Circuito_8
PLACA_0093,PLACA_0015,Conductor,2013-01-24 21:00:00,2013-01-24 23:22:12,2.37,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_5,Circuito_13
PLACA_0038,PLACA_0056,Transformador,2014-11-28 03:00:00,2014-11-28 05:58:12,2.97,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_4,Circuito_1
PLACA_0098,PLACA_0023,Aislador,2014-06-24 16:00:00,2014-06-24 17:09:00,1.15,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_1,Circuito_14
PLACA_0026,PLACA_0020,Seccionador,2015-11-06 19:00:00,2015-11-07 00:21:00,5.35,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_2,Circuito_9
PLACA_0042,PLACA_0063,Poste,2013-01-02 19:00:00,2013-01-02 19:57:36,0.96,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_1,Circuito_15
PLACA_0031,PLACA_0113,Aislador,2014-05-06 01:00:00,2014-05-06 01:51:00,0.85,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_1,Circuito_2
PLACA_0017,PLACA_0085,Fusible,2015-12-27 04:00:00,2015-12-27 07:28:48,3.48,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_5,Circuito_3
PLACA_0119,PLACA_0070,Conductor,2015-05-17 06:00:00,2015-05-17 11:03:36,5.06,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_6,Circuito_4
PLACA_0048,PLACA_0057,Aislador,2016-10-07 20:00:00,2016-10-07 23:25:12,3.42,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_4,Circuito_2
PLACA_0076,PLACA_0071,Transformador,2014-11-24 00:00:00,2014-11-24 02:44:24,2.74,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_5,Circuito_4
PLACA_0030,PLACA_0009,Poste,2016-07-16 01:00:00,2016-07-16 03:21:00,2.35,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_3,Circuito_2
PLACA_0028,PLACA_0070,Transformador,2016-10-02 15:00:00,2016-10-02 17:03:00,2.05,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_6,Circuito_15
PLACA_0101,PLACA_0061,Fusible,2015-08-27 07:00:00,2015-08-27 13:11:24,6.19,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_2,Circuito_2
PLACA_0053,PLACA_0060,Conductor,2014-12-27 13:00:00,2014-12-27 16:49:12,3.82,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_1,Circuito_11
PLACA_0052,PLACA_0094,Seccionador,2013-07-21 01:00:00,2013-07-21 03:11:24,2.19,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_1,Circuito_4
PLACA_0055,PLACA_0024,Seccionador,2015-07-08 04:00:00,2015-07-08 05:41:24,1.69,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_4,Circuito_4
PLACA_0013,PLACA_0007,Conductor,2015-06-27 17:00:00,2015-06-27 21:39:36,4.66,Otros,Objeto extraño enredado en la red de distribucion,Municipio_5,Circuito_14
PLACA_0053,PLACA_0063,Fusible,2014-04-30 05:00:00,2014-04-30 11:05:24,6.09,Contacto animal,Ave posada provoco corto en el aislador,Municipio_2,Circuito_14
PLACA_0001,PLACA_0050,Seccionador,2013-12-04 12:00:00,2013-12-04 17:43:48,5.73,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_4,Circuito_5
PLACA_0092,PLACA_0063,Transformador,2016-02-13 21:00:00,2016-02-13 22:26:24,1.44,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_2,Circuito_5
PLACA_0070,PLACA_0008,Conductor,2016-04-01 23:00:00,2016-04-02 01:20:24,2.34,Contacto animal,Ave posada provoco corto en el aislador,Municipio_3,Circuito_1
PLACA_0021,PLACA_0008,Aislador,2015-10-27 16:00:00,2015-10-27 18:01:12,2.02,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_1,Circuito_14
PLACA_0111,PLACA_0031,Fusible,2013-05-20 21:00:00,2013-05-20 23:35:24,2.59,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_1,Circuito_15
PLACA_0080,PLACA_0011,Fusible,2016-05-02 01:00:00,2016-05-02 06:18:36,5.31,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_6,Circuito_10
PLACA_0086,PLACA_0092,Seccionador,2014-06-19 06:00:00,2014-06-19 13:22:48,7.38,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_2,Circuito_5
PLACA_0059,PLACA_0041,Poste,2016-08-14 09:00:00,2016-08-14 12:55:12,3.92,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_1,Circuito_8
PLACA_0069,PLACA_0028,Aislador,2013-07-24 02:00:00,2013-07-24 03:44:24,1.74,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_3,Circuito_3
PLACA_0037,PLACA_0021,Fusible,2014-05-16 11:00:00,2014-05-16 13:55:12,2.92,Otros,Objeto extraño enredado en la red de distribucion,Municipio_5,Circuito_12
PLACA_0086,PLACA_0105,Aislador,2015-12-20 00:00:00,2015-12-20 08:18:00,8.3,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_3,Circuito_15
PLACA_0114,PLACA_0014,Conductor,2014-06-26 03:00:00,2014-06-26 06:12:36,3.21,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_5,Circuito_3
PLACA_0044,PLACA_0027,Conductor,2014-03-08 22:00:00,2014-03-09 00:21:36,2.36,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_6,Circuito_14
PLACA_0012,PLACA_0082,Fusible,2014-05-30 01:00:00,2014-05-30 03:31:12,2.52,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_3,Circuito_1
PLACA_0021,PLACA_0095,Fusible,2016-07-28 08:00:00,2016-07-28 11:54:36,3.91,Contacto animal,Ave posada provoco corto en el aislador,Municipio_5,Circuito_12
PLACA_0114,PLACA_0089,Transformador,2013-08-18 02:00:00,2013-08-18 03:29:24,1.49,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_5,Circuito_1
PLACA_0056,PLACA_0017,Poste,2016-02-06 04:00:00,2016-02-06 05:58:48,1.98,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_3,Circuito_6
PLACA_0088,PLACA_0032,Conductor,2015-01-03 06:00:00,2015-01-03 11:40:12,5.67,Otros,Objeto extraño enredado en la red de distribucion,Municipio_1,Circuito_6
PLACA_0020,PLACA_0119,Transformador,2016-06-25 23:00:00,2016-06-26 02:49:48,3.83,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_2,Circuito_13
PLACA_0095,PLACA_0119,Seccionador,2013-02-20 05:00:00,2013-02-20 08:13:48,3.23,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_4,Circuito_13
PLACA_0021,PLACA_0101,Conductor,2014-05-24 08:00:00,2014-05-24 13:51:36,5.86,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_1,Circuito_7
PLACA_0105,PLACA_0118,Fusible,2014-04-01 06:00:00,2014-04-01 07:39:00,1.65,Otros,Cometa sobre la linea reportada por vecinos,Municipio_3,Circuito_5
PLACA_0085,PLACA_0025,Fusible,2014-04-02 00:00:00,2014-04-02 02:18:00,2.3,Otros,Objeto extraño enredado en la red de distribucion,Municipio_3,Circuito_5
PLACA_0066,PLACA_0052,Conductor,2014-12-21 20:00:00,2014-12-21 23:44:24,3.74,Otros,Cometa sobre la linea reportada por vecinos,Municipio_5,Circuito_6
PLACA_0075,PLACA_0034,Poste,2014-06-19 05:00:00,2014-06-19 08:39:00,3.65,Otros,Objeto extraño enredado en la red de distribucion,Municipio_1,Circuito_10
PLACA_0078,PLACA_0066,Poste,2014-10-05 13:00:00,2014-10-05 13:46:12,0.77,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_4,Circuito_15
PLACA_0056,PLACA_0001,Aislador,2013-04-01 22:00:00,2013-04-02 00:07:12,2.12,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_5,Circuito_11
PLACA_0047,PLACA_0056,Poste,2016-10-05 06:00:00,2016-10-05 08:38:24,2.64,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_6,Circuito_15
PLACA_0093,PLACA_0116,Seccionador,2016-09-20 03:00:00,2016-09-20 07:02:24,4.04,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_5,Circuito_5
PLACA_0038,PLACA_0071,Transformador,2015-04-05 22:00:00,2015-04-06 01:38:24,3.64,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_2,Circuito_7
PLACA_0116,PLACA_0023,Aislador,2016-10-19 23:00:00,2016-10-20 01:49:48,2.83,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_5,Circuito_5
PLACA_0027,PLACA_0056,Aislador,2014-09-15 09:00:00,2014-09-15 09:23:24,0.39,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_5,Circuito_11
PLACA_0028,PLACA_0066,Fusible,2015-06-25 21:00:00,2015-06-25 23:56:24,2.94,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_6,Circuito_3
PLACA_0082,PLACA_0080,Seccionador,2015-11-22 21:00:00,2015-11-23 00:08:24,3.14,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_1,Circuito_14
PLACA_0029,PLACA_0104,Transformador,2016-10-09 09:00:00,2016-10-09 22:08:24,13.14,Otros,Objeto extraño enredado en la red de distribucion,Municipio_2,Circuito_1
PLACA_0059,PLACA_0054,Conductor,2016-06-05 02:00:00,2016-06-05 04:34:12,2.57,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_5,Circuito_4
PLACA_0032,PLACA_0019,Conductor,2015-10-10 12:00:00,2015-10-10 15:45:36,3.76,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_6,Circuito_1
PLACA_0023,PLACA_0103,Conductor,2015-05-21 07:00:00,2015-05-21 13:31:12,6.52,Otros,Objeto extraño enredado en la red de distribucion,Municipio_5,Circuito_8
PLACA_0018,PLACA_0103,Fusible,2013-09-06 14:00:00,2013-09-06 19:06:36,5.11,Contacto animal,Ave posada provoco corto en el aislador,Municipio_6,Circuito_9
PLACA_0079,PLACA_0105,Conductor,2014-10-12 14:00:00,2014-10-12 21:34:48,7.58,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_5,Circuito_7
PLACA_0096,PLACA_0111,Fusible,2015-07-03 05:00:00,2015-07-03 05:46:48,0.78,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_4,Circuito_5
PLACA_0063,PLACA_0081,Transformador,2014-07-22 16:00:00,2014-07-22 17:14:24,1.24,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_3,Circuito_8
PLACA_0043,PLACA_0041,Aislador,2014-04-26 08:00:00,2014-04-26 09:52:12,1.87,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_1,Circuito_3
PLACA_0028,PLACA_0009,Fusible,2013-11-09 22:00:00,2013-11-09 22:39:00,0.65,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_4,Circuito_6
PLACA_0107,PLACA_0054,Fusible,2013-05-08 06:00:00,2013-05-08 09:09:36,3.16,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_5,Circuito_12
PLACA_0001,PLACA_0046,Seccionador,2015-02-19 15:00:00,2015-02-19 16:19:48,1.33,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_4,Circuito_14
PLACA_0095,PLACA_0070,Aislador,2016-01-08 23:00:00,2016-01-09 07:14:24,8.24,Otros,Cometa sobre la linea reportada por vecinos,Municipio_2,Circuito_8
PLACA_0050,PLACA_0044,Conductor,2015-09-22 00:00:00,2015-09-22 01:31:12,1.52,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_6,Circuito_13
PLACA_0080,PLACA_0069,Poste,2015-08-16 04:00:00,2015-08-16 06:18:36,2.31,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_4,Circuito_10
PLACA_0055,PLACA_0018,Fusible,2013-06-21 20:00:00,2013-06-22 01:19:12,5.32,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_2,Circuito_1
PLACA_0042,PLACA_0044,Fusible,2014-03-10 14:00:00,2014-03-10 14:57:00,0.95,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_3,Circuito_13
PLACA_0061,PLACA_0003,Conductor,2014-06-01 02:00:00,2014-06-01 02:36:00,0.6,Otros,Cometa sobre la linea reportada por vecinos,Municipio_5,Circuito_1
PLACA_0009,PLACA_0100,Conductor,2014-04-05 20:00:00,2014-04-05 23:27:00,3.45,Otros,Cometa sobre la linea reportada por vecinos,Municipio_1,Circuito_13
PLACA_0080,PLACA_0020,Transformador,2014-02-13 00:00:00,2014-02-13 03:39:00,3.65,Contacto animal,Ave posada provoco corto en el aislador,Municipio_2,Circuito_8
PLACA_0090,PLACA_0033,Seccionador,2014-03-23 14:00:00,2014-03-23 19:12:36,5.21,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_2,Circuito_10
PLACA_0040,PLACA_0014,Aislador,2013-08-23 05:00:00,2013-08-23 09:22:48,4.38,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_1,Circuito_15
PLACA_0092,PLACA_0026,Poste,2015-02-08 12:00:00,2015-02-08 15:44:24,3.74,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_5,Circuito_12
PLACA_0099,PLACA_0039,Conductor,2013-07-28 22:00:00,2013-07-28 23:40:48,1.68,Otros,Objeto extraño enredado en la red de distribucion,Municipio_5,Circuito_13
PLACA_0069,PLACA_0055,Conductor,2013-03-26 11:00:00,2013-03-26 14:34:12,3.57,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_3,Circuito_2
PLACA_0106,PLACA_0063,Poste,2013-01-26 13:00:00,2013-01-26 16:43:48,3.73,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_4,Circuito_6
PLACA_0023,PLACA_0094,Aislador,2013-11-10 13:00:00,2013-11-10 14:37:48,1.63,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_6,Circuito_5
PLACA_0056,PLACA_0106,Conductor,2015-09-18 14:00:00,2015-09-18 23:45:36,9.76,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_5,Circuito_5
PLACA_0113,PLACA_0058,Transformador,2013-06-27 08:00:00,2013-06-27 12:14:24,4.24,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_4,Circuito_10
PLACA_0064,PLACA_0109,Seccionador,2014-11-20 00:00:00,2014-11-20 01:15:36,1.26,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_2,Circuito_8
PLACA_0113,PLACA_0077,Conductor,2014-11-29 08:00:00,2014-11-29 13:13:48,5.23,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_3,Circuito_9
PLACA_0093,PLACA_0053,Fusible,2013-06-25 07:00:00,2013-06-25 12:50:24,5.84,Contacto animal,Ave posada provoco corto en el aislador,Municipio_5,Circuito_13
PLACA_0063,PLACA_0058,Poste,2016-08-15 22:00:00,2016-08-16 02:04:12,4.07,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_1,Circuito_5
PLACA_0085,PLACA_0075,Seccionador,2014-05-14 09:00:00,2014-05-14 11:28:12,2.47,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_4,Circuito_9
PLACA_0046,PLACA_0090,Fusible,2016-02-02 10:00:00,2016-02-02 11:34:12,1.57,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_3,Circuito_5
PLACA_0016,PLACA_0096,Aislador,2014-01-30 10:00:00,2014-01-30 12:49:12,2.82,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_6,Circuito_3
PLACA_0093,PLACA_0076,Aislador,2015-09-19 08:00:00,2015-09-19 11:51:36,3.86,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_5,Circuito_5
PLACA_0047,PLACA_0023,Seccionador,2014-08-30 07:00:00,2014-08-30 10:01:48,3.03,Otros,Objeto extraño enredado en la red de distribucion,Municipio_1,Circuito_12
PLACA_0071,PLACA_0038,Conductor,2013-04-04 01:00:00,2013-04-04 08:48:00,7.8,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_2,Circuito_11
PLACA_0074,PLACA_0037,Fusible,2013-07-30 00:00:00,2013-07-30 04:42:00,4.7,Otros,Cometa sobre la linea reportada por vecinos,Municipio_4,Circuito_8
PLACA_0015,PLACA_0106,Poste,2014-06-02 15:00:00,2014-06-02 16:25:12,1.42,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_4,Circuito_8
PLACA_0020,PLACA_0104,Aislador,2013-04-20 04:00:00,2013-04-20 05:08:24,1.14,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_3,Circuito_2
PLACA_0078,PLACA_0077,Aislador,2016-02-17 13:00:00,2016-02-17 17:16:12,4.27,Otros,Objeto extraño enredado en la red de distribucion,Municipio_2,Circuito_13
PLACA_0111,PLACA_0076,Fusible,2015-06-26 09:00:00,2015-06-26 11:30:36,2.51,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_3,Circuito_10
PLACA_0081,PLACA_0028,Seccionador,2013-07-23 06:00:00,2013-07-23 10:58:48,4.98,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_6,Circuito_2
PLACA_0021,PLACA_0001,Fusible,2016-02-05 02:00:00,2016-02-05 06:14:24,4.24,Contacto animal,Ave posada provoco corto en el aislador,Municipio_4,Circuito_12
PLACA_0037,PLACA_0091,Seccionador,2013-03-08 07:00:00,2013-03-08 09:49:48,2.83,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_6,Circuito_14
PLACA_0101,PLACA_0102,Conductor,2014-04-24 08:00:00,2014-04-24 09:25:48,1.43,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_5,Circuito_11
PLACA_0070,PLACA_0029,Conductor,2015-05-21 03:00:00,2015-05-21 03:40:48,0.68,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_2,Circuito_15
PLACA_0022,PLACA_0102,Seccionador,2013-05-27 01:00:00,2013-05-27 04:31:48,3.53,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_5,Circuito_12
PLACA_0060,PLACA_0089,Seccionador,2015-06-19 03:00:00,2015-06-19 03:56:24,0.94,Otros,Cometa sobre la linea reportada por vecinos,Municipio_6,Circuito_7
PLACA_0057,PLACA_0011,Aislador,2016-01-11 15:00:00,2016-01-11 16:22:48,1.38,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_1,Circuito_15
PLACA_0004,PLACA_0012,Transformador,2016-05-21 08:00:00,2016-05-21 11:22:12,3.37,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_6,Circuito_14
PLACA_0106,PLACA_0035,Aislador,2013-02-12 21:00:00,2013-02-13 00:08:24,3.14,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_1,Circuito_13
PLACA_0057,PLACA_0118,Seccionador,2015-11-29 20:00:00,2015-11-29 21:03:00,1.05,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_2,Circuito_10
PLACA_0045,PLACA_0053,Seccionador,2013-07-06 15:00:00,2013-07-06 21:17:24,6.29,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_3,Circuito_11
PLACA_0089,PLACA_0064,Seccionador,2014-11-07 13:00:00,2014-11-07 19:10:48,6.18,Contacto animal,Ave posada provoco corto en el aislador,Municipio_6,Circuito_7
PLACA_0012,PLACA_0041,Seccionador,2013-03-17 14:00:00,2013-03-17 18:21:36,4.36,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_3,Circuito_2
PLACA_0085,PLACA_0112,Aislador,2015-11-20 00:00:00,2015-11-20 04:21:36,4.36,Otros,Cometa sobre la linea reportada por vecinos,Municipio_4,Circuito_7
PLACA_0097,PLACA_0064,Conductor,2015-01-11 19:00:00,2015-01-11 23:21:36,4.36,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_4,Circuito_13
PLACA_0119,PLACA_0037,Fusible,2016-01-30 04:00:00,2016-01-30 09:48:36,5.81,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_6,Circuito_8
PLACA_0091,PLACA_0021,Seccionador,2016-05-31 07:00:00,2016-05-31 11:46:48,4.78,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_5,Circuito_1
PLACA_0060,PLACA_0016,Conductor,2014-04-06 03:00:00,2014-04-06 04:32:24,1.54,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_2,Circuito_8
PLACA_0035,PLACA_0054,Fusible,2015-11-09 22:00:00,2015-11-10 00:28:48,2.48,Otros,Cometa sobre la linea reportada por vecinos,Municipio_4,Circuito_4
PLACA_0118,PLACA_0077,Aislador,2015-02-25 06:00:00,2015-02-25 18:13:48,12.23,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_6,Circuito_15
PLACA_0044,PLACA_0120,Aislador,2014-07-20 13:00:00,2014-07-20 13:25:12,0.42,Contacto animal,Ave posada provoco corto en el aislador,Municipio_3,Circuito_14
PLACA_0075,PLACA_0085,Fusible,2014-09-04 18:00:00,2014-09-04 20:01:48,2.03,Contacto animal,Se hallaron restos de animal en el area del transformador,Municipio_2,Circuito_8
PLACA_0098,PLACA_0070,Fusible,2014-11-12 17:00:00,2014-11-12 23:18:36,6.31,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_4,Circuito_15
PLACA_0050,PLACA_0030,Fusible,2014-05-05 18:00:00,2014-05-05 19:37:48,1.63,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_1,Circuito_6
PLACA_0085,PLACA_0102,Conductor,2015-02-20 12:00:00,2015-02-20 16:52:12,4.87,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_2,Circuito_8
PLACA_0043,PLACA_0112,Poste,2015-10-26 18:00:00,2015-10-26 21:06:36,3.11,Otros,Objeto extraño enredado en la red de distribucion,Municipio_4,Circuito_2
PLACA_0019,PLACA_0053,Conductor,2013-02-01 23:00:00,2013-02-02 00:43:48,1.73,Vegetación,Caida de arbol cerca del circuito por viento fuerte,Municipio_2,Circuito_2
PLACA_0089,PLACA_0051,Conductor,2014-11-25 19:00:00,2014-11-25 19:19:48,0.33,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_1,Circuito_14
PLACA_0041,PLACA_0081,Conductor,2015-12-29 12:00:00,2015-12-29 15:27:00,3.45,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_4,Circuito_14
PLACA_0081,PLACA_0088,Seccionador,2013-05-21 07:00:00,2013-05-21 08:30:36,1.51,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_2,Circuito_12
PLACA_0112,PLACA_0013,Fusible,2016-07-21 22:00:00,2016-07-22 00:44:24,2.74,Contacto animal,Ave posada provoco corto en el aislador,Municipio_2,Circuito_12
PLACA_0102,PLACA_0008,Seccionador,2013-04-05 10:00:00,2013-04-05 14:19:48,4.33,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_3,Circuito_6
PLACA_0073,PLACA_0088,Transformador,2015-12-24 13:00:00,2015-12-24 18:30:00,5.5,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_2,Circuito_3
PLACA_0031,PLACA_0064,Aislador,2016-06-23 21:00:00,2016-06-23 23:01:48,2.03,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_2,Circuito_4
PLACA_0086,PLACA_0002,Fusible,2015-07-31 08:00:00,2015-07-31 09:43:12,1.72,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_3,Circuito_11
