data_Tcamp,data_productividad_per,data_import_unico,data_dias_empresa,data_Tedad,data_T_RangoEdad,data_numero_hijos,data_T_numero_hijos,data_pobreza,data_veces,data_Tsexo,dummies_Tsexo_Mujer,data_GRADO2,data_Testado_civil,data_distancia,data_sumCOD,data_sumHRSLB,data_n_lote,data_n_fundo,data_n_variedad,data_otros_bono,data_sum_hora_extra,data_sum_aux_bono_total,data_bono_produc,data_BANCARIZADO,data_PEOR_CALIF_U6M,data_MODA_CALIF_U6M,data_TIPCRE_UM,data_DEUDA_PROM_U6M,data_NRO_ENT_PROM_U6M,data_DIAS_ATRASO_PROM_U6M
19,125.99,5108.92,330,26,26-30,1,Con hijos,0.633,1,Hombre,0,Primaria incompleta,Soltero,31.7,4593.0,100.8,2,2,1,207.7,146.3,455.1,233.1,0,CPP,Normal,Consumo,0.0,0,0.0
19,49.55,257.74,160,35,31-40,1,Con hijos,0.409,3,Hombre,0,Secundaria completa,Soltero,198.6,1145.0,169.3,12,1,1,214.2,54.7,340.4,138.9,1,CPP,Normal,Comercial,5649.0,1,8.3
20,11.18,205.44,82,28,26-30,1,Con hijos,0.561,1,Mujer,1,Secundaria incompleta,Soltero,166.1,365.0,107.0,14,1,1,112.1,111.2,319.5,30.3,1,CPP,Normal,Consumo,5852.0,4,13.9
21,102.45,2614.72,124,26,26-30,0,Sin hijos,0.433,1,Mujer,1,Secundaria completa,Soltero,48.0,2097.0,149.2,7,3,1,197.1,43.1,280.1,185.1,1,Deficiente,Normal,Comercial,592.8,3,27.5
19,80.17,1934.27,187,26,26-30,1,Con hijos,0.276,3,Hombre,0,Superior,Soltero,55.7,2388.0,176.3,13,3,1,243.7,82.4,369.2,186.7,1,Normal,Normal,Consumo,1790.6,4,9.1
21,75.55,2002.23,190,20,18-25,1,Con hijos,0.395,2,Hombre,0,Secundaria incompleta,Soltero,28.8,1652.0,134.2,21,2,2,19.4,252.8,340.1,242.1,1,Dudoso,Normal,Consumo,3384.4,1,1.8
21,64.37,1572.26,273,34,31-40,2,Con hijos,0.114,3,Mujer,1,Secundaria incompleta,Soltero,166.8,2052.0,132.5,4,1,2,196.3,137.3,381.8,221.7,1,Normal,Normal,Ninguno,2043.7,1,4.8
20,35.99,114.0,115,26,26-30,1,Con hijos,0.503,3,Mujer,1,Secundaria incompleta,Casado,186.4,1099.0,46.8,1,3,3,73.7,5.0,109.5,101.9,1,Normal,Normal,Comercial,687.4,4,11.6
20,71.47,1013.09,243,27,26-30,1,Con hijos,0.429,2,Hombre,0,Superior,Soltero,139.7,2224.0,108.0,17,3,3,131.1,186.8,511.1,239.0,0,Normal,Normal,Ninguno,0.0,0,0.0
21,93.55,2066.24,182,43,41+,2,Con hijos,0.371,1,Hombre,0,Secundaria completa,Soltero,70.1,1977.0,133.7,3,1,3,227.7,169.1,474.8,165.0,1,Normal,Normal,Consumo,698.9,2,9.9
19,33.14,364.92,125,28,26-30,0,Sin hijos,0.513,3,Hombre,0,Superior,Soltero,133.5,962.0,117.8,17,2,2,46.0,55.5,149.9,114.3,1,CPP,Normal,Ninguno,416.4,4,1.6
20,79.25,2154.95,93,24,18-25,0,Sin hijos,0.406,2,Hombre,0,Primaria completa,Soltero,71.9,3084.0,201.1,8,3,3,135.0,87.7,323.7,124.2,0,CPP,Normal,Consumo,0.0,0,0.0
21,71.55,1779.84,162,25,18-25,0,Sin hijos,0.491,2,Hombre,0,Secundaria completa,Soltero,57.3,2091.0,202.2,3,3,2,174.0,40.8,346.2,182.8,1,Normal,Normal,Ninguno,1195.9,3,6.5
21,71.2,1017.04,210,35,31-40,2,Con hijos,0.544,4,Hombre,0,Primaria completa,Soltero,141.9,2697.0,186.2,10,1,1,74.5,135.3,232.7,148.2,1,CPP,CPP,Comercial,2855.9,4,1.9
21,76.31,1000.5,256,29,26-30,2,Con hijos,0.318,3,Hombre,0,Primaria completa,Soltero,151.4,2231.0,101.3,2,1,2,108.9,96.1,232.0,238.7,1,Normal,Normal,Consumo,2995.6,2,7.7
19,14.9,227.23,212,19,18-25,0,Sin hijos,0.275,1,Hombre,0,Superior,Soltero,169.2,456.0,166.3,22,2,2,73.2,27.8,227.4,28.8,0,Dudoso,Normal,Consumo,0.0,0,0.0
19,56.78,2209.46,183,32,31-40,0,Sin hijos,0.142,3,Hombre,0,Iletrado,Casado,73.3,1936.0,105.1,4,2,1,238.3,135.3,565.4,86.5,1,Normal,Normal,Ninguno,1967.8,4,2.9
19,39.43,301.54,113,23,18-25,0,Sin hijos,0.418,2,Mujer,1,Superior,Soltero,135.3,1726.0,74.2,14,3,1,77.3,43.9,232.1,91.8,0,Normal,Normal,Comercial,0.0,0,0.0
20,33.71,0.0,150,36,31-40,2,Con hijos,0.468,3,Hombre,0,Primaria incompleta,Soltero,146.3,766.0,95.2,11,2,1,316.3,131.0,505.3,54.9,0,Normal,Normal,Ninguno,0.0,0,0.0
19,153.4,5223.48,232,30,26-30,1,Con hijos,0.101,2,Mujer,1,Secundaria completa,Soltero,48.4,3194.0,43.5,14,3,3,191.3,76.4,383.2,319.1,0,Normal,Normal,Consumo,0.0,0,0.0
20,32.18,276.69,135,24,18-25,1,Con hijos,0.613,2,Hombre,0,Primaria completa,Casado,152.2,1133.0,93.0,13,3,3,242.1,53.8,328.8,89.7,0,Normal,Normal,Comercial,0.0,0,0.0
20,82.21,2449.13,192,34,31-40,0,Sin hijos,0.277,3,Hombre,0,Secundaria incompleta,Soltero,68.5,3595.0,117.5,4,1,3,103.9,23.2,178.9,171.8,1,Dudoso,Normal,Comercial,1896.0,4,31.2
21,144.51,5037.56,295,26,26-30,3,Con hijos,0.0,2,Mujer,1,Primaria completa,Soltero,55.0,6466.0,211.5,2,3,1,55.7,5.7,96.9,287.8,1,Normal,CPP,Comercial,1485.7,2,4.4
21,24.22,404.01,89,31,31-40,0,Sin hijos,0.624,3,Hombre,0,Secundaria incompleta,Soltero,158.9,777.0,89.5,2,1,3,90.0,76.2,184.7,43.9,1,Normal,Normal,Ninguno,3148.0,1,1.8
21,33.96,308.79,137,29,26-30,0,Sin hijos,0.104,3,Hombre,0,Secundaria incompleta,Soltero,196.8,1077.0,201.5,11,3,1,15.1,224.6,346.8,60.1,1,Deficiente,Normal,Consumo,4683.6,2,21.2
19,22.22,440.74,95,22,18-25,0,Sin hijos,0.545,1,Hombre,0,Secundaria completa,Soltero,132.6,803.0,73.5,22,3,1,157.9,71.9,289.9,56.7,0,Normal,CPP,Comercial,0.0,0,0.0
19,77.72,1249.01,273,25,18-25,2,Con hijos,0.508,2,Hombre,0,Iletrado,Soltero,174.6,2634.0,66.3,5,3,1,57.3,154.0,303.8,222.5,0,Deficiente,Normal,Comercial,0.0,0,0.0
21,115.44,4874.93,176,30,26-30,1,Con hijos,0.348,1,Mujer,1,Primaria incompleta,Soltero,40.0,4139.0,128.6,9,2,3,44.8,91.8,205.5,277.7,1,Deficiente,CPP,Consumo,349.5,3,16.2
20,42.29,579.67,110,25,18-25,0,Sin hijos,0.322,3,Hombre,0,Primaria incompleta,Soltero,189.6,1770.0,157.8,20,2,3,101.6,245.9,396.8,73.9,0,CPP,Deficiente,Consumo,0.0,0,0.0
20,78.62,1329.7,235,26,26-30,1,Con hijos,0.475,4,Mujer,1,Secundaria incompleta,Soltero,132.6,3039.0,38.4,21,1,1,146.2,71.3,226.0,219.8,0,Normal,CPP,Comercial,0.0,0,0.0
19,80.84,2246.44,205,23,18-25,2,Con hijos,0.557,3,Hombre,0,Secundaria completa,Soltero,30.1,2621.0,72.0,17,3,3,337.6,289.5,661.4,211.3,0,Normal,Normal,Consumo,0.0,0,0.0
19,85.76,853.33,290,31,31-40,0,Sin hijos,0.252,2,Hombre,0,Secundaria completa,Casado,167.1,2705.0,116.6,12,1,2,127.2,119.4,517.9,194.0,0,Normal,Normal,Consumo,0.0,0,0.0
20,199.64,4517.81,163,34,31-40,0,Sin hijos,0.446,1,Mujer,1,Primaria completa,Soltero,17.4,7185.0,92.9,18,1,3,72.6,96.8,294.2,431.2,1,Normal,CPP,Ninguno,1889.7,3,11.4
21,42.14,282.72,124,21,18-25,0,Sin hijos,0.54,2,Mujer,1,Secundaria incompleta,Soltero,161.9,1323.0,165.4,3,3,1,211.4,32.3,257.5,78.7,1,Normal,Normal,Consumo,5210.3,4,9.9
21,49.39,2139.38,146,28,26-30,0,Sin hijos,0.444,3,Mujer,1,Secundaria completa,Soltero,69.1,1553.0,127.1,5,2,1,152.1,164.7,338.8,88.5,1,Deficiente,CPP,Consumo,1902.2,3,25.4
20,19.2,146.69,85,34,31-40,0,Sin hijos,0.319,2,Mujer,1,Primaria completa,Casado,179.7,392.0,60.5,21,2,1,127.5,116.1,383.1,41.8,1,Normal,Normal,Comercial,3308.0,4,1.4
20,63.25,1165.13,239,28,26-30,1,Con hijos,0.54,2,Hombre,0,Secundaria incompleta,Casado,210.5,1540.0,199.9,20,1,2,274.8,64.8,505.6,100.1,1,Normal,CPP,Consumo,3067.7,2,3.3
21,32.26,477.1,113,29,26-30,1,Con hijos,0.476,2,Mujer,1,Secundaria incompleta,Casado,208.9,1039.0,85.7,14,2,1,195.5,200.8,620.2,76.6,0,Normal,Normal,Comercial,0.0,0,0.0
20,37.18,343.12,195,21,18-25,1,Con hijos,0.248,2,Hombre,0,Primaria incompleta,Casado,150.1,1508.0,168.9,16,3,1,45.2,99.0,166.4,100.5,0,Normal,Normal,Consumo,0.0,0,0.0
20,66.11,1817.75,186,30,26-30,0,Sin hijos,0.345,3,Mujer,1,Iletrado,Soltero,55.4,1783.0,178.2,19,3,3,188.0,117.0,450.4,223.7,0,Normal,Normal,Ninguno,0.0,0,0.0
21,33.87,222.08,81,26,26-30,0,Sin hijos,0.523,3,Hombre,0,Primaria completa,Casado,171.3,1120.0,213.0,9,2,2,136.4,27.7,274.4,93.2,0,Deficiente,Normal,Consumo,0.0,0,0.0
21,24.45,118.06,106,31,31-40,1,Con hijos,0.417,2,Hombre,0,Secundaria completa,Soltero,117.6,700.0,124.7,17,2,3,104.8,88.0,217.9,67.2,1,Normal,Normal,Consumo,1838.5,2,7.6
21,25.88,180.65,153,32,31-40,1,Con hijos,0.563,1,Hombre,0,Primaria incompleta,Soltero,140.1,586.0,147.0,22,1,1,53.3,52.0,115.9,58.2,1,Dudoso,Normal,Comercial,5420.9,1,4.5
19,17.93,176.77,185,39,31-40,0,Sin hijos,0.349,2,Hombre,0,Primaria completa,Soltero,153.4,788.0,93.6,7,2,1,73.2,36.7,117.3,31.7,0,CPP,Normal,Consumo,0.0,0,0.0
20,22.77,167.16,75,29,26-30,2,Con hijos,0.25,1,Mujer,1,Secundaria incompleta,Soltero,101.7,942.0,158.9,10,1,2,79.1,83.1,218.9,54.5,1,Perdida,Normal,Ninguno,4346.2,2,3.7
21,18.48,50.54,66,28,26-30,1,Con hijos,0.729,1,Mujer,1,Primaria incompleta,Soltero,174.7,406.0,118.0,4,3,1,14.3,203.2,282.4,49.9,0,Normal,Normal,Comercial,0.0,0,0.0
19,133.6,4866.0,287,26,26-30,0,Sin hijos,0.048,1,Mujer,1,Primaria completa,Soltero,35.5,5076.0,113.2,10,3,2,260.5,92.2,397.5,393.9,1,Normal,Normal,Ninguno,1912.9,4,44.1
21,92.8,1962.85,184,26,26-30,0,Sin hijos,0.325,2,Mujer,1,Superior,Soltero,29.9,2663.0,192.5,3,3,3,151.2,243.7,443.7,292.5,0,Normal,Normal,Consumo,0.0,0,0.0
19,134.27,4025.47,178,27,26-30,0,Sin hijos,0.342,1,Hombre,0,Iletrado,Soltero,42.0,6025.0,39.5,24,2,2,205.4,20.5,286.5,270.1,0,Dudoso,Normal,Ninguno,0.0,0,0.0
21,108.85,1585.77,273,27,26-30,3,Con hijos,0.548,3,Hombre,0,Secundaria completa,Casado,173.5,3000.0,197.6,9,2,3,347.9,24.5,427.1,215.8,0,CPP,Normal,Consumo,0.0,0,0.0
20,78.91,1373.64,130,30,26-30,0,Sin hijos,0.497,4,Hombre,0,Secundaria incompleta,Soltero,158.8,2049.0,191.9,13,2,1,83.8,156.8,423.1,207.6,1,CPP,Normal,Consumo,2580.7,1,9.5
19,79.77,2008.92,171,34,31-40,0,Sin hijos,0.747,1,Hombre,0,Secundaria completa,Soltero,50.1,2728.0,126.2,1,1,3,65.0,237.2,328.5,210.0,1,Normal,CPP,Consumo,4937.0,2,1.8
20,23.42,241.63,132,21,18-25,1,Con hijos,0.382,2,Hombre,0,Secundaria incompleta,Casado,193.7,957.0,123.1,15,1,3,137.0,17.7,197.6,45.3,1,Normal,Normal,Ninguno,3791.0,4,4.3
21,81.8,876.35,290,35,31-40,1,Con hijos,0.269,3,Hombre,0,Primaria completa,Casado,172.4,2030.0,98.7,15,1,3,120.0,78.6,287.8,218.8,1,Normal,Normal,Ninguno,1497.8,2,36.3
20,68.37,2526.93,135,34,31-40,1,Con hijos,0.367,3,Hombre,0,Secundaria completa,Soltero,59.6,2580.0,218.9,11,3,2,170.2,239.8,471.5,149.8,0,Normal,Normal,Consumo,0.0,0,0.0
20,33.22,523.4,125,26,26-30,0,Sin hijos,0.352,2,Hombre,0,Secundaria incompleta,Casado,144.1,715.0,51.1,10,1,3,226.4,29.5,373.0,92.3,0,Normal,Normal,Ninguno,0.0,0,0.0
21,115.4,2142.17,138,18,18-25,0,Sin hijos,0.39,2,Hombre,0,Secundaria completa,Soltero,59.1,4959.0,142.1,7,2,2,82.5,51.1,149.2,240.3,1,Normal,Normal,Ninguno,2148.8,3,2.5
20,31.04,392.34,130,23,18-25,0,Sin hijos,0.253,3,Mujer,1,Secundaria incompleta,Soltero,214.8,684.0,159.5,1,2,2,27.4,135.0,195.3,83.3,1,CPP,Normal,Consumo,1329.0,4,26.0
20,186.73,4956.89,177,31,31-40,1,Con hijos,0.418,3,Hombre,0,Superior,Soltero,32.0,8003.0,207.5,7,3,2,125.7,107.9,304.8,567.0,0,Dudoso,Normal,Comercial,0.0,0,0.0
19,24.97,38.3,110,26,26-30,1,Con hijos,0.456,3,Hombre,0,Secundaria completa,Soltero,246.4,806.0,178.2,5,2,1,241.7,36.8,334.6,86.4,1,CPP,Normal,Consumo,1289.6,4,17.2
21,31.65,177.04,93,22,18-25,1,Con hijos,0.21,2,Hombre,0,Superior,Casado,154.6,988.0,152.3,23,2,1,160.7,7.4,219.0,105.1,1,CPP,Normal,Ninguno,127.2,2,19.6
19,103.56,2135.98,193,25,18-25,1,Con hijos,0.545,1,Hombre,0,Secundaria incompleta,Soltero,55.5,4591.0,52.2,16,2,1,99.9,107.0,306.2,259.6,1,Perdida,Normal,Comercial,601.1,1,7.9
20,142.33,4767.94,247,29,26-30,0,Sin hijos,0.178,2,Mujer,1,Secundaria incompleta,Soltero,31.3,6370.0,101.0,8,1,2,55.3,19.7,178.8,352.5,1,Normal,Normal,Consumo,466.3,3,26.2
21,50.12,206.01,115,29,26-30,1,Con hijos,0.223,3,Hombre,0,Secundaria completa,Soltero,180.8,1817.0,56.4,22,1,1,262.6,195.6,548.7,119.1,1,Normal,Deficiente,Ninguno,2153.6,3,14.3
19,39.08,225.1,124,25,18-25,0,Sin hijos,0.413,1,Hombre,0,Secundaria completa,Soltero,112.0,906.0,197.4,2,2,3,62.6,58.2,138.4,60.8,1,CPP,CPP,Consumo,1138.8,3,11.0
20,26.38,226.68,79,25,18-25,0,Sin hijos,0.136,2,Hombre,0,Superior,Soltero,153.9,861.0,172.4,8,2,2,128.1,122.0,400.6,48.3,0,Normal,Normal,Ninguno,0.0,0,0.0
19,38.32,246.65,114,25,18-25,1,Con hijos,0.488,3,Hombre,0,Secundaria incompleta,Casado,134.8,1273.0,173.9,14,2,1,136.5,146.0,295.6,62.0,0,Normal,Normal,Consumo,0.0,0,0.0
21,182.31,4586.12,210,22,18-25,1,Con hijos,0.0,2,Hombre,0,Secundaria completa,Casado,39.4,5991.0,153.9,4,2,2,206.2,199.7,426.0,527.4,1,Normal,Normal,Ninguno,3462.6,3,10.0
20,80.71,976.37,366,38,31-40,0,Sin hijos,0.246,4,Mujer,1,Primaria completa,Casado,181.8,2763.0,126.3,24,1,1,34.4,189.5,285.1,187.8,1,Normal,Normal,Comercial,4290.4,2,13.4
21,53.45,1781.85,132,26,26-30,1,Con hijos,0.636,3,Hombre,0,Secundaria incompleta,Soltero,64.7,1094.0,58.5,15,3,3,266.1,64.7,349.5,87.0,0,Normal,Normal,Comercial,0.0,0,0.0
21,24.73,385.48,166,33,31-40,1,Con hijos,0.297,2,Hombre,0,Primaria completa,Soltero,90.0,934.0,92.6,7,2,2,147.1,111.5,272.8,71.2,0,Normal,Normal,Consumo,0.0,0,0.0
20,29.52,0.0,152,34,31-40,1,Con hijos,0.323,1,Hombre,0,Secundaria incompleta,Soltero,244.5,1116.0,56.0,20,1,1,167.6,422.0,627.6,82.3,1,Normal,Normal,Ninguno,639.4,3,4.4
21,70.96,1387.9,261,34,31-40,0,Sin hijos,0.591,2,Mujer,1,Superior,Soltero,160.9,1624.0,167.7,8,2,1,97.2,337.3,439.7,208.6,1,Normal,Normal,Consumo,11026.0,4,1.7
20,173.52,5320.21,283,24,18-25,0,Sin hijos,0.181,2,Mujer,1,Primaria incompleta,Soltero,30.2,5944.0,60.4,11,3,3,69.2,172.9,314.0,468.4,1,Dudoso,Normal,Consumo,3247.2,4,15.3
20,74.49,1067.64,265,31,31-40,0,Sin hijos,0.515,2,Mujer,1,Secundaria completa,Casado,156.7,2548.0,163.4,2,1,3,208.0,173.2,513.4,135.8,1,Perdida,Normal,Consumo,1215.1,2,0.1
20,53.31,561.42,266,28,26-30,0,Sin hijos,0.576,3,Mujer,1,Secundaria incompleta,Soltero,157.3,1976.0,161.5,9,1,1,222.8,52.0,466.2,86.5,0,Deficiente,Normal,Ninguno,0.0,0,0.0
21,35.8,184.61,121,22,18-25,0,Sin hijos,0.472,1,Hombre,0,Primaria incompleta,Soltero,149.7,792.0,117.3,6,3,1,100.3,98.8,283.9,112.2,1,Perdida,Normal,Consumo,2288.3,1,12.4
20,38.11,229.18,159,28,26-30,0,Sin hijos,0.183,2,Hombre,0,Secundaria incompleta,Soltero,179.9,1359.0,55.7,23,3,2,93.1,153.6,298.9,73.6,0,Normal,Normal,Comercial,0.0,0,0.0
19,37.6,87.22,155,21,18-25,0,Sin hijos,0.309,3,Hombre,0,Secundaria incompleta,Soltero,151.7,1016.0,89.8,1,1,2,96.9,81.5,280.9,97.2,1,Deficiente,Deficiente,Ninguno,2280.7,1,9.6
20,87.13,1020.77,220,36,31-40,2,Con hijos,0.807,2,Hombre,0,Primaria completa,Soltero,139.9,2847.0,90.8,3,3,1,33.2,48.2,148.5,215.3,0,Normal,Deficiente,Ninguno,0.0,0,0.0
20,89.51,2485.55,124,25,18-25,0,Sin hijos,0.326,1,Hombre,0,Secundaria completa,Soltero,44.7,3521.0,163.1,10,2,3,171.8,262.4,575.8,299.1,1,CPP,Normal,Consumo,1826.6,3,24.5
19,36.59,338.55,116,28,26-30,1,Con hijos,0.848,3,Hombre,0,Superior,Soltero,122.9,1377.0,51.6,5,3,2,105.5,382.3,532.2,95.3,1,Normal,CPP,Comercial,2259.4,3,3.6
20,31.3,100.12,98,28,26-30,1,Con hijos,0.656,3,Hombre,0,Primaria completa,Soltero,178.1,719.0,187.5,12,3,1,279.9,131.5,485.4,83.3,0,Deficiente,Normal,Consumo,0.0,0,0.0
20,15.39,0.0,121,25,18-25,0,Sin hijos,0.478,1,Hombre,0,Primaria completa,Soltero,193.5,535.0,174.6,23,1,3,167.8,133.9,406.9,32.9,0,Normal,Normal,Ninguno,0.0,0,0.0
20,36.3,189.76,160,29,26-30,0,Sin hijos,0.445,3,Mujer,1,Secundaria incompleta,Soltero,191.0,1605.0,65.4,1,3,3,150.6,115.8,405.2,124.0,0,Normal,Normal,Ninguno,0.0,0,0.0
20,74.91,1087.15,228,26,26-30,5,Con hijos,0.33,4,Hombre,0,Secundaria completa,Casado,176.6,1792.0,166.6,9,1,1,231.5,218.2,483.2,204.1,0,Deficiente,Normal,Ninguno,0.0,0,0.0
20,34.72,313.24,121,31,31-40,2,Con hijos,0.387,1,Mujer,1,Primaria completa,Soltero,184.4,1435.0,157.0,21,2,1,163.9,26.1,254.6,52.4,1,CPP,Normal,Ninguno,1476.1,3,27.6
21,54.13,1016.35,251,20,18-25,1,Con hijos,0.297,3,Mujer,1,Iletrado,Casado,136.0,2033.0,172.1,13,3,2,43.7,61.3,163.4,141.4,1,Normal,Normal,Consumo,3645.2,1,14.0
21,130.97,5057.75,246,26,26-30,0,Sin hijos,0.29,1,Mujer,1,Secundaria incompleta,Casado,46.4,5154.0,65.9,19,3,1,146.6,150.2,505.8,291.8,0,CPP,Normal,Consumo,0.0,0,0.0
20,92.8,2586.79,92,37,31-40,2,Con hijos,0.196,2,Mujer,1,Superior,Soltero,34.6,2510.0,59.9,7,1,2,8.9,89.8,117.5,145.2,0,Normal,Normal,Consumo,0.0,0,0.0
19,157.01,5148.95,188,21,18-25,2,Con hijos,0.088,2,Mujer,1,Secundaria incompleta,Soltero,29.0,4270.0,74.9,16,1,3,36.1,146.2,228.6,371.0,1,CPP,Deficiente,Consumo,9188.5,2,19.2
21,38.82,231.6,129,23,18-25,0,Sin hijos,0.595,3,Hombre,0,Secundaria incompleta,Casado,139.3,1655.0,99.5,8,3,2,151.3,41.1,267.9,118.3,0,Normal,Normal,Ninguno,0.0,0,0.0
21,72.4,1093.82,303,32,31-40,0,Sin hijos,0.158,3,Hombre,0,Superior,Soltero,184.4,2099.0,180.8,19,1,1,60.6,149.2,255.9,181.5,0,Deficiente,Deficiente,Consumo,0.0,0,0.0
19,32.3,185.31,108,27,26-30,0,Sin hijos,0.533,3,Hombre,0,Secundaria completa,Soltero,206.0,697.0,170.2,7,3,2,332.5,140.2,547.6,89.8,0,Normal,Normal,Ninguno,0.0,0,0.0
19,41.38,415.91,66,28,26-30,0,Sin hijos,0.116,3,Mujer,1,Secundaria completa,Soltero,190.1,1449.0,205.8,23,2,3,211.5,107.8,373.7,115.0,1,Dudoso,Deficiente,Ninguno,983.5,3,11.5
19,69.26,1946.17,192,30,26-30,0,Sin hijos,0.494,1,Mujer,1,Secundaria incompleta,Soltero,71.1,1601.0,41.1,4,3,3,101.0,55.4,199.0,196.8,1,Normal,CPP,Ninguno,4625.1,2,28.2
19,73.35,1144.06,220,32,31-40,1,Con hijos,0.369,2,Hombre,0,Superior,Soltero,125.6,2928.0,32.2,10,2,1,73.6,160.7,297.1,166.9,1,Normal,Normal,Comercial,1927.2,2,4.8
19,27.38,246.49,87,32,31-40,2,Con hijos,0.598,1,Hombre,0,Secundaria completa,Soltero,185.2,987.0,162.8,1,2,2,84.8,58.3,237.8,61.3,1,Normal,Normal,Consumo,6121.3,3,32.6
21,70.48,1977.55,149,30,26-30,0,Sin hijos,0.35,1,Hombre,0,Secundaria completa,Soltero,53.1,2951.0,83.1,17,1,1,67.6,76.5,179.9,106.4,1,Normal,Normal,Consumo,1059.1,4,4.0
20,150.27,4492.56,205,25,18-25,0,Sin hijos,0.0,1,Hombre,0,Secundaria completa,Soltero,46.5,5954.0,93.5,21,1,1,307.4,148.2,559.6,271.8,1,Normal,Deficiente,Comercial,4329.9,1,19.6
21,80.33,2183.74,149,31,31-40,1,Con hijos,0.372,3,Hombre,0,Secundaria completa,Soltero,53.3,1832.0,133.9,13,1,3,141.0,149.4,354.6,273.3,1,Deficiente,Normal,Consumo,5274.9,1,2.9
21,69.82,2087.75,93,37,31-40,2,Con hijos,0.424,1,Hombre,0,Primaria completa,Soltero,49.2,2062.0,49.5,19,1,2,131.3,46.0,206.6,222.4,1,Normal,Normal,Consumo,2271.2,1,4.1
21,44.56,313.85,149,26,26-30,2,Con hijos,0.38,1,Mujer,1,Secundaria incompleta,Soltero,191.9,1754.0,152.1,13,3,1,165.9,17.1,252.4,91.4,1,Normal,Normal,Comercial,1163.9,2,5.8
21,23.05,158.77,161,22,18-25,0,Sin hijos,0.486,1,Hombre,0,Secundaria completa,Soltero,203.7,702.0,91.8,9,2,3,447.5,89.8,583.0,53.1,1,Normal,Deficiente,Ninguno,508.0,4,1.9
21,30.13,421.93,142,32,31-40,2,Con hijos,0.315,2,Mujer,1,Primaria completa,Soltero,149.6,1335.0,150.2,5,3,1,218.3,123.1,373.4,101.8,1,Normal,Normal,Ninguno,2656.6,1,4.4
20,27.6,107.29,88,26,26-30,0,Sin hijos,0.21,2,Hombre,0,Secundaria incompleta,Casado,170.9,1060.0,188.5,23,2,2,183.9,67.7,308.3,55.2,1,CPP,Normal,Consumo,2677.9,4,3.7
21,46.47,495.62,116,18,18-25,0,Sin hijos,0.25,2,Mujer,1,Primaria completa,Soltero,136.0,947.0,62.5,1,2,1,29.3,160.4,256.6,119.2,1,Dudoso,Normal,Ninguno,259.4,2,7.8
